geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
conservation-area:COA00000001,COA00000001,COA00000001,local-authority-eng:HAV,,"MULTIPOLYGON (((0.263594 51.557110,0.262209 51.557165,0.260861 51.557394,0.259849 51.557444,0.259105 51.557442,0.259074 51.557094,0.259093 51.556898,0.259070 51.556898,0.259051 51.556547,0.259096 51.555298,0.259056 51.555014,0.259075 51.554706,0.259008 51.554472,0.259040 51.554472,0.259034 51.554207,0.259084 51.553949,0.259061 51.553948,0.259060 51.553684,0.259082 51.553684,0.259096 51.553482,0.259074 51.553482,0.259074 51.553416,0.259101 51.553417,0.259041 51.551439,0.259105 51.550938,0.259144 51.550018,0.259047 51.549514,0.258932 51.549414,0.258646 51.548953,0.258530 51.548820,0.258379 51.548296,0.258510 51.547543,0.258653 51.547018,0.258715 51.547001,0.258699 51.546978,0.259128 51.546801,0.260493 51.546675,0.261944 51.546730,0.262594 51.546693,0.264553 51.546324,0.265466 51.546215,0.265521 51.546047,0.265581 51.546027,0.265557 51.545980,0.266282 51.545644,0.267113 51.545101,0.269569 51.544137,0.270064 51.543882,0.271682 51.543216,0.271776 51.543536,0.271797 51.543931,0.271950 51.544344,0.272045 51.545439,0.272086 51.545511,0.272136 51.545533,0.272727 51.545493,0.272760 51.545538,0.272790 51.545775,0.272794 51.546303,0.272822 51.546375,0.275297 51.546355,0.275855 51.546387,0.275924 51.546572,0.276033 51.547314,0.275985 51.547329,0.276217 51.548366,0.276342 51.548762,0.276384 51.549207,0.276742 51.550423,0.276747 51.550648,0.276811 51.550938,0.276871 51.551555,0.276946 51.552631,0.276989 51.553960,0.276976 51.554008,0.276911 51.554041,0.276795 51.554596,0.276845 51.554963,0.276861 51.555743,0.276779 51.556719,0.276819 51.557734,0.276792 51.557797,0.274303 51.557919,0.272499 51.557854,0.272599 51.556889,0.270593 51.556813,0.269808 51.556746,0.269899 51.556365,0.269014 51.556238,0.268854 51.556594,0.268792 51.556615,0.268236 51.556519,0.268011 51.557018,0.267817 51.556992,0.267859 51.556605,0.267531 51.556596,0.266354 51.557186,0.266073 51.557179,0.265446 51.557087,0.263594 51.557110)))",2020-09-04,,,/conservation-area/local-authority-eng/HAV/COA00000001
conservation-area:COA00000002,COA00000002,COA00000002,local-authority-eng:HAV,,"MULTIPOLYGON (((0.179537 51.578782,0.179538 51.578743,0.179658 51.578667,0.179612 51.578640,0.179658 51.578612,0.179687 51.578630,0.179923 51.578470,0.179881 51.578450,0.179933 51.578412,0.177820 51.577366,0.177922 51.577265,0.178197 51.577197,0.178497 51.577420,0.180238 51.578290,0.180315 51.578278,0.181122 51.577384,0.181488 51.577463,0.180569 51.578381,0.183738 51.579909,0.183626 51.580048,0.183271 51.580292,0.181283 51.579250,0.180592 51.579780,0.180385 51.579695,0.180192 51.579864,0.179322 51.579592,0.178918 51.579972,0.178701 51.579877,0.179450 51.579143,0.179435 51.579026,0.179510 51.578962,0.179537 51.578782)))",2020-09-04,,,/conservation-area/local-authority-eng/HAV/COA00000002
conservation-area:COA00000003,COA00000003,COA00000003,local-authority-eng:HAV,,"MULTIPOLYGON (((0.200832 51.543827,0.200666 51.543644,0.201720 51.543254,0.201615 51.543177,0.201574 51.542913,0.201367 51.542925,0.201060 51.543056,0.200751 51.542788,0.200966 51.542768,0.200999 51.542739,0.200953 51.542513,0.201921 51.542462,0.202452 51.542517,0.202515 51.542566,0.202452 51.542822,0.202371 51.542917,0.201889 51.543101,0.202209 51.543371,0.201317 51.543693,0.200832 51.543827)))",2020-09-04,,,/conservation-area/local-authority-eng/HAV/COA00000003
conservation-area:COA00000004,COA00000004,COA00000004,local-authority-eng:HAV,,"MULTIPOLYGON (((0.187377 51.590622,0.187170 51.590246,0.187046 51.589833,0.187081 51.589733,0.188091 51.588950,0.188332 51.588850,0.188922 51.588435,0.189102 51.588256,0.189212 51.588084,0.189625 51.587783,0.189669 51.587708,0.189650 51.587644,0.190672 51.586805,0.190971 51.586453,0.191038 51.586277,0.191072 51.586013,0.191037 51.586012,0.191028 51.585965,0.190967 51.585917,0.190751 51.585883,0.190678 51.585801,0.190622 51.585434,0.190633 51.584732,0.190684 51.584370,0.190792 51.584092,0.191149 51.583661,0.190767 51.583486,0.191153 51.583207,0.191334 51.583173,0.191463 51.583569,0.192157 51.583795,0.192040 51.584073,0.194089 51.585047,0.195572 51.585653,0.197018 51.586181,0.197894 51.586321,0.199680 51.586531,0.199868 51.586256,0.198993 51.586108,0.198690 51.586022,0.199076 51.585553,0.199266 51.585595,0.199461 51.585207,0.199608 51.585212,0.200218 51.584254,0.200555 51.583799,0.200584 51.583805,0.201196 51.583099,0.201317 51.583014,0.201604 51.582694,0.201567 51.582678,0.201874 51.582348,0.202210 51.581872,0.202138 51.581852,0.202294 51.581613,0.202261 51.581602,0.202424 51.581438,0.203334 51.581766,0.203836 51.581818,0.204284 51.581653,0.205101 51.581198,0.205573 51.581385,0.206327 51.581506,0.206266 51.581631,0.207570 51.582231,0.207060 51.582638,0.206368 51.582388,0.206181 51.582923,0.206106 51.583309,0.206002 51.583641,0.205547 51.584015,0.204790 51.584505,0.204484 51.585022,0.203881 51.585869,0.202783 51.587265,0.202570 51.587399,0.202230 51.587277,0.201691 51.587861,0.201646 51.587846,0.201163 51.588378,0.200288 51.588039,0.198954 51.589648,0.196325 51.592489,0.196532 51.592900,0.194806 51.595288,0.193930 51.595142,0.190127 51.594319,0.190323 51.593954,0.190441 51.593807,0.191901 51.594144,0.191983 51.593934,0.192506 51.593291,0.191336 51.592984,0.191272 51.592933,0.191306 51.592834,0.190530 51.592702,0.190780 51.592183,0.190021 51.592017,0.190091 51.591883,0.189668 51.591804,0.188855 51.592414,0.188788 51.592337,0.188499 51.592164,0.188315 51.592011,0.187377 51.590622)))",2020-09-04,,,/conservation-area/local-authority-eng/HAV/COA00000004
conservation-area:COA00000005,Dagenham Village Conservation Area COA00000005,COA00000005,local-authority-eng:BDG,,"MULTIPOLYGON (((0.162709 51.540762,0.161659 51.540497,0.161741 51.540293,0.161231 51.540192,0.161142 51.540242,0.160919 51.540209,0.160969 51.539949,0.160322 51.539903,0.160356 51.539620,0.160755 51.539639,0.160890 51.539072,0.161526 51.539139,0.161576 51.538831,0.161735 51.538845,0.161776 51.538581,0.163318 51.538791,0.163158 51.539113,0.162695 51.539050,0.162494 51.539753,0.162400 51.539922,0.163200 51.540136,0.163212 51.540301,0.163276 51.540318,0.163289 51.540534,0.163321 51.540574,0.163214 51.540593,0.162749 51.540511,0.162709 51.540762)))",2020-09-04,,,/conservation-area/local-authority-eng/BDG/COA00000005
conservation-area:COA00000006,Chadwell Heath Anti-aircraft Gun Site Conservation COA00000006,COA00000006,local-authority-eng:BDG,,"MULTIPOLYGON (((0.146271 51.587386,0.146335 51.587818,0.146312 51.587841,0.145225 51.587953,0.145135 51.587901,0.145074 51.587609,0.144889 51.587521,0.144829 51.587454,0.144903 51.587221,0.142536 51.587057,0.142529 51.587104,0.141511 51.587090,0.141567 51.586849,0.141631 51.586843,0.141638 51.586780,0.142365 51.586789,0.143220 51.586854,0.145069 51.587070,0.145111 51.587047,0.144985 51.586431,0.145002 51.586372,0.146065 51.586336,0.146118 51.586354,0.146222 51.587199,0.146271 51.587386)))",2020-09-04,,,/conservation-area/local-authority-eng/BDG/COA00000006
conservation-area:COA00000007,Chadwell Heath Anti-aircraft Gun Site Conservation COA00000007,COA00000007,local-authority-eng:BDG,,"MULTIPOLYGON (((0.075457 51.531919,0.075803 51.531361,0.075862 51.531106,0.076857 51.531347,0.076584 51.531630,0.076200 51.532182,0.075457 51.531919)))",2020-09-04,,,/conservation-area/local-authority-eng/BDG/COA00000007
conservation-area:COA00000603,COA00000603,COA00000603,local-authority-eng:ISL,,"MULTIPOLYGON (((-0.086259 51.544441,-0.086179 51.544640,-0.086870 51.544738,-0.086698 51.545217,-0.087117 51.545278,-0.087205 51.545097,-0.087767 51.545193,-0.087886 51.544949,-0.088431 51.545089,-0.091825 51.542673,-0.091164 51.542351,-0.090952 51.542498,-0.091344 51.542685,-0.091203 51.542810,-0.090849 51.542702,-0.090030 51.542567,-0.090055 51.542476,-0.090112 51.542485,-0.090417 51.542188,-0.091559 51.541526,-0.092326 51.542030,-0.092038 51.542201,-0.092306 51.542379,-0.093107 51.541975,-0.094175 51.541504,-0.093376 51.540939,-0.093002 51.541153,-0.092946 51.541114,-0.092975 51.541095,-0.092657 51.540879,-0.093346 51.540477,-0.092464 51.539873,-0.092422 51.539897,-0.091953 51.539577,-0.092072 51.539507,-0.091710 51.539276,-0.092490 51.538827,-0.092688 51.538964,-0.092894 51.538842,-0.092587 51.538640,-0.091481 51.537636,-0.091212 51.537758,-0.091234 51.537808,-0.091109 51.537861,-0.090894 51.537787,-0.090492 51.537734,-0.090291 51.537739,-0.089261 51.537589,-0.089075 51.537913,-0.090043 51.538125,-0.089935 51.538315,-0.090283 51.538455,-0.089967 51.538644,-0.089789 51.538527,-0.089538 51.538667,-0.090025 51.539000,-0.090285 51.538852,-0.091709 51.539805,-0.091299 51.540039,-0.091335 51.540062,-0.090931 51.540290,-0.090482 51.539986,-0.090328 51.540079,-0.090066 51.539915,-0.089972 51.539913,-0.089982 51.539234,-0.089765 51.539226,-0.089580 51.539307,-0.089384 51.539286,-0.089093 51.539308,-0.089092 51.539263,-0.088861 51.539262,-0.088219 51.539173,-0.088132 51.539135,-0.086907 51.539035,-0.086905 51.539183,-0.086751 51.539182,-0.086748 51.539597,-0.086663 51.539917,-0.086122 51.539861,-0.086073 51.540048,-0.085591 51.539974,-0.083646 51.545063,-0.084148 51.545139,-0.084556 51.544142,-0.086259 51.544441)))",2020-09-04,,,/conservation-area/local-authority-eng/ISL/COA00000603
conservation-area:COA00000008,7F COA00000008,COA00000008,local-authority-eng:KEC,,"MULTIPOLYGON (((-0.188387 51.480975,-0.188323 51.481033,-0.189095 51.481814,-0.190797 51.483238,-0.191737 51.484159,-0.191773 51.484144,-0.191698 51.484042,-0.191620 51.483824,-0.191036 51.483267,-0.188387 51.480975)))",2020-09-04,,,/conservation-area/local-authority-eng/KEC/COA00000008
conservation-area:COA00000009,0 COA00000009,COA00000009,local-authority-eng:LEW,,"MULTIPOLYGON (((-0.012197 51.439492,-0.012274 51.439614,-0.010719 51.439932,-0.010690 51.439976,-0.010620 51.440522,-0.010438 51.440647,-0.010210 51.440606,-0.009618 51.441441,-0.009558 51.441703,-0.010216 51.441803,-0.010991 51.441988,-0.010972 51.442022,-0.012455 51.442341,-0.012936 51.442391,-0.013399 51.442492,-0.013229 51.442784,-0.014115 51.442975,-0.014292 51.442976,-0.014404 51.442758,-0.014497 51.442767,-0.014547 51.442777,-0.014564 51.442814,-0.014705 51.442810,-0.016257 51.443147,-0.017386 51.443356,-0.017506 51.443376,-0.017563 51.443269,-0.019084 51.443595,-0.018973 51.443858,-0.019395 51.443967,-0.019382 51.443996,-0.019458 51.444010,-0.019445 51.444037,-0.019707 51.444085,-0.019935 51.444047,-0.020035 51.443994,-0.020113 51.443880,-0.022237 51.443913,-0.022342 51.443918,-0.022326 51.444293,-0.024573 51.444331,-0.024757 51.444292,-0.024711 51.444246,-0.024694 51.444064,-0.024890 51.443825,-0.024986 51.443572,-0.025081 51.443027,-0.025043 51.442929,-0.025449 51.440732,-0.025352 51.440669,-0.024649 51.439571,-0.024115 51.438861,-0.023313 51.439877,-0.023088 51.439982,-0.022236 51.439448,-0.021253 51.439178,-0.020587 51.438908,-0.020345 51.438851,-0.020187 51.438645,-0.020017 51.438305,-0.019794 51.437733,-0.019536 51.437775,-0.019390 51.437604,-0.019338 51.437426,-0.019592 51.437361,-0.018806 51.435642,-0.018747 51.435316,-0.018193 51.435379,-0.017898 51.435492,-0.017259 51.435626,-0.017280 51.435856,-0.017652 51.436625,-0.011204 51.437925,-0.012197 51.439492)))",2020-09-04,,,/conservation-area/local-authority-eng/LEW/COA00000009
