geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
conservation-area:1,Attenborough Village,1,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.228548 52.907179,-1.228605 52.907207,-1.228611 52.907092,-1.228530 52.906562,-1.229032 52.906269,-1.229133 52.906305,-1.229414 52.906035,-1.229087 52.905892,-1.229596 52.905510,-1.230033 52.905676,-1.230108 52.905627,-1.230707 52.905837,-1.230837 52.905675,-1.230236 52.905572,-1.230177 52.905530,-1.230673 52.905084,-1.231228 52.904656,-1.231360 52.904510,-1.231633 52.904579,-1.231967 52.904152,-1.232033 52.903950,-1.230917 52.903552,-1.230343 52.903160,-1.230390 52.903080,-1.230669 52.903020,-1.230698 52.902987,-1.230348 52.902947,-1.230064 52.902784,-1.229927 52.902744,-1.229780 52.902788,-1.229350 52.903083,-1.229039 52.903216,-1.228825 52.903377,-1.228652 52.903639,-1.228315 52.903816,-1.227922 52.903600,-1.227602 52.903506,-1.227344 52.903263,-1.227139 52.903136,-1.226993 52.902997,-1.227057 52.902891,-1.227485 52.902766,-1.227733 52.902638,-1.227746 52.902584,-1.227646 52.902486,-1.226725 52.902748,-1.226530 52.902738,-1.226482 52.902771,-1.226534 52.902835,-1.226525 52.902870,-1.226314 52.902979,-1.225735 52.903074,-1.225230 52.903214,-1.224971 52.903323,-1.224622 52.903397,-1.224601 52.903466,-1.224693 52.903559,-1.225068 52.903677,-1.225063 52.903773,-1.225121 52.903862,-1.225133 52.904010,-1.225421 52.904127,-1.225348 52.904199,-1.225331 52.904292,-1.225385 52.904570,-1.225447 52.904724,-1.225440 52.904789,-1.225222 52.904933,-1.225096 52.905090,-1.225040 52.905207,-1.225070 52.905262,-1.225046 52.905290,-1.225024 52.905598,-1.224973 52.905743,-1.224869 52.905882,-1.224691 52.905994,-1.224853 52.906207,-1.225613 52.906473,-1.225852 52.906212,-1.226725 52.906504,-1.227075 52.906157,-1.226154 52.905843,-1.226799 52.905293,-1.227290 52.905453,-1.227609 52.905163,-1.228720 52.905601,-1.228859 52.905631,-1.227759 52.906391,-1.227821 52.906424,-1.227426 52.906683,-1.228548 52.907179)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/1
conservation-area:2,Chilwell,2,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.225778 52.918743,-1.226781 52.919467,-1.227971 52.919047,-1.228315 52.919287,-1.228712 52.919130,-1.228747 52.919162,-1.228954 52.919077,-1.229079 52.919107,-1.229537 52.918917,-1.229636 52.919000,-1.230857 52.918866,-1.231496 52.918973,-1.231987 52.919338,-1.232299 52.919716,-1.232972 52.919864,-1.233382 52.919860,-1.234966 52.919522,-1.235227 52.919417,-1.235252 52.919445,-1.235670 52.919337,-1.235711 52.919500,-1.236222 52.919428,-1.236269 52.919719,-1.236526 52.919718,-1.236569 52.919710,-1.236600 52.919621,-1.236491 52.919203,-1.236432 52.919152,-1.236421 52.919075,-1.236372 52.919081,-1.236286 52.918669,-1.236331 52.918565,-1.236487 52.918523,-1.236311 52.918190,-1.236302 52.918101,-1.236362 52.917874,-1.236543 52.917533,-1.236637 52.917231,-1.236590 52.917127,-1.236121 52.917118,-1.236102 52.917754,-1.235463 52.917806,-1.235321 52.917605,-1.235367 52.917594,-1.235287 52.917433,-1.235315 52.917416,-1.235185 52.916988,-1.235001 52.916619,-1.234525 52.916762,-1.234263 52.916917,-1.233981 52.916748,-1.233578 52.917013,-1.233438 52.917069,-1.233290 52.916997,-1.233038 52.917231,-1.232710 52.917386,-1.232322 52.917538,-1.232254 52.917479,-1.231906 52.917610,-1.231650 52.917387,-1.230973 52.917628,-1.230648 52.917312,-1.230662 52.917295,-1.230465 52.917270,-1.230401 52.917294,-1.229776 52.918310,-1.229599 52.918262,-1.229293 52.918490,-1.229031 52.918617,-1.228797 52.918407,-1.227988 52.918719,-1.227500 52.918367,-1.227801 52.918215,-1.227696 52.918118,-1.228211 52.917755,-1.227449 52.917552,-1.227336 52.917596,-1.226996 52.917590,-1.226956 52.917513,-1.226628 52.917353,-1.226508 52.917403,-1.226578 52.917475,-1.226619 52.917587,-1.226281 52.917747,-1.226357 52.917919,-1.226316 52.917996,-1.226045 52.918180,-1.226043 52.918221,-1.226106 52.918267,-1.226001 52.918438,-1.225916 52.918499,-1.225617 52.918597,-1.225778 52.918743),(-1.233544 52.919161,-1.233440 52.919178,-1.232588 52.918448,-1.232713 52.918386,-1.232654 52.918328,-1.233037 52.918176,-1.233056 52.918195,-1.233255 52.918125,-1.232986 52.917849,-1.233301 52.917735,-1.233746 52.917501,-1.234142 52.917750,-1.234466 52.917592,-1.234760 52.917892,-1.234944 52.918117,-1.234929 52.918130,-1.235284 52.918516,-1.234856 52.918663,-1.234916 52.918719,-1.234270 52.918877,-1.234362 52.919010,-1.233755 52.919099,-1.233544 52.919161)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/2
conservation-area:3,Bramcote,3,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.250133 52.931685,-1.250220 52.931690,-1.250314 52.931758,-1.250507 52.931999,-1.250746 52.931812,-1.251044 52.931651,-1.251054 52.931540,-1.250991 52.931465,-1.250970 52.931360,-1.251064 52.931274,-1.251948 52.930996,-1.252388 52.930916,-1.252504 52.930908,-1.252736 52.930978,-1.252488 52.930532,-1.252235 52.929916,-1.252026 52.929631,-1.252035 52.929577,-1.252148 52.929514,-1.252038 52.929361,-1.251977 52.929323,-1.251780 52.929306,-1.250793 52.929474,-1.250269 52.929467,-1.249671 52.929578,-1.249245 52.929752,-1.249174 52.929830,-1.249121 52.929959,-1.249041 52.930035,-1.248584 52.930276,-1.248290 52.930324,-1.248024 52.930223,-1.248015 52.930175,-1.248076 52.930062,-1.248028 52.929897,-1.247942 52.929804,-1.247218 52.929368,-1.247073 52.929361,-1.246677 52.929073,-1.246253 52.928829,-1.246025 52.929019,-1.244858 52.929482,-1.244358 52.929827,-1.244303 52.929744,-1.243832 52.929339,-1.243185 52.928885,-1.242073 52.927860,-1.240145 52.928709,-1.240207 52.928751,-1.240214 52.928835,-1.240774 52.929262,-1.240890 52.929332,-1.240994 52.929295,-1.241228 52.929467,-1.242152 52.930351,-1.242220 52.930425,-1.242079 52.930477,-1.242127 52.930525,-1.241806 52.930630,-1.241888 52.930719,-1.242223 52.930942,-1.242902 52.931537,-1.242992 52.931654,-1.243135 52.931754,-1.243796 52.931753,-1.243906 52.931894,-1.243291 52.932166,-1.243346 52.932274,-1.243298 52.932306,-1.243997 52.933042,-1.243375 52.933344,-1.242751 52.933577,-1.240993 52.934473,-1.240454 52.934163,-1.240197 52.934276,-1.240005 52.934445,-1.239607 52.934238,-1.239347 52.934333,-1.239287 52.934301,-1.238453 52.934532,-1.238627 52.934648,-1.238327 52.934815,-1.238432 52.935603,-1.237964 52.936046,-1.238766 52.936349,-1.239263 52.935786,-1.239751 52.936151,-1.240335 52.935855,-1.240199 52.935753,-1.241279 52.935251,-1.240629 52.934779,-1.240784 52.934693,-1.241184 52.934523,-1.241560 52.934547,-1.241913 52.934730,-1.242451 52.934933,-1.243089 52.934531,-1.243331 52.934637,-1.243431 52.934637,-1.243546 52.934497,-1.243368 52.934344,-1.243750 52.934159,-1.243898 52.934035,-1.243985 52.934045,-1.244776 52.933596,-1.244944 52.933741,-1.244971 52.933733,-1.245036 52.933816,-1.244646 52.933995,-1.245150 52.934344,-1.245558 52.934143,-1.245797 52.934314,-1.245621 52.934409,-1.246347 52.934839,-1.245540 52.935316,-1.245140 52.935501,-1.245940 52.935975,-1.246892 52.936117,-1.246914 52.936342,-1.246792 52.936423,-1.246813 52.936718,-1.247486 52.936620,-1.248307 52.936432,-1.249415 52.936262,-1.250082 52.935724,-1.250337 52.935391,-1.249745 52.934724,-1.249629 52.934548,-1.249645 52.934524,-1.249021 52.933634,-1.248706 52.933010,-1.248648 52.932947,-1.248734 52.932844,-1.248689 52.932830,-1.248865 52.932624,-1.249762 52.931904,-1.249806 52.931931,-1.250133 52.931685)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/3
conservation-area:4,Chilwell Cottage Grove,4,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.225553 52.926711,-1.226140 52.926598,-1.226451 52.926502,-1.227689 52.925918,-1.227759 52.925857,-1.227570 52.925700,-1.228229 52.925347,-1.227470 52.924875,-1.226772 52.924501,-1.227045 52.924271,-1.225577 52.923417,-1.225356 52.923345,-1.224276 52.922629,-1.223621 52.922151,-1.223470 52.922223,-1.222616 52.921575,-1.222081 52.921840,-1.222550 52.922163,-1.221586 52.922657,-1.221162 52.922333,-1.220595 52.922619,-1.220991 52.922937,-1.221293 52.923267,-1.221329 52.923250,-1.221489 52.923389,-1.221689 52.923281,-1.221870 52.923392,-1.221794 52.923439,-1.222074 52.923613,-1.221728 52.923821,-1.222407 52.924181,-1.222317 52.924239,-1.222986 52.924701,-1.223054 52.924668,-1.223280 52.924844,-1.223218 52.924882,-1.223331 52.924988,-1.223252 52.925027,-1.223343 52.925101,-1.223548 52.925138,-1.223856 52.925375,-1.224788 52.926236,-1.225442 52.926731,-1.225553 52.926711)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/4
conservation-area:5,Brinsley,5,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.316811 53.034797,-1.316970 53.034598,-1.316365 53.034270,-1.316345 53.034210,-1.316042 53.034034,-1.316062 53.034012,-1.315434 53.033748,-1.315778 53.033328,-1.315653 53.033296,-1.315286 53.033225,-1.315073 53.033591,-1.314349 53.033489,-1.314095 53.033712,-1.313786 53.034125,-1.314618 53.034320,-1.315113 53.034517,-1.315403 53.034728,-1.316062 53.034919,-1.316021 53.034985,-1.315977 53.034995,-1.315980 53.035096,-1.315876 53.035103,-1.315840 53.035145,-1.316179 53.035221,-1.316327 53.035010,-1.316928 53.035218,-1.317323 53.035412,-1.317399 53.035505,-1.317099 53.035710,-1.317641 53.036014,-1.317599 53.036046,-1.317726 53.036145,-1.317520 53.036283,-1.317954 53.036645,-1.318680 53.036093,-1.319828 53.036331,-1.319869 53.036187,-1.320516 53.036017,-1.319781 53.035641,-1.318825 53.035030,-1.318552 53.035501,-1.317636 53.035250,-1.317799 53.035143,-1.317430 53.034953,-1.317321 53.035028,-1.317123 53.034925,-1.317157 53.034895,-1.316787 53.034825,-1.316811 53.034797)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/5
conservation-area:6,Eastwood,6,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.307143 53.016168,-1.306560 53.016284,-1.306704 53.016614,-1.306592 53.016631,-1.306699 53.016995,-1.307051 53.016955,-1.306915 53.017662,-1.305721 53.017573,-1.305010 53.017473,-1.304897 53.017816,-1.305647 53.017924,-1.305667 53.018458,-1.304896 53.018470,-1.304894 53.018302,-1.304372 53.018315,-1.304379 53.018256,-1.303831 53.018262,-1.303923 53.018587,-1.303884 53.019306,-1.303821 53.019343,-1.303789 53.019646,-1.307941 53.019596,-1.308107 53.019247,-1.308133 53.018974,-1.309077 53.018958,-1.309212 53.018928,-1.309317 53.018866,-1.309365 53.018740,-1.309300 53.018130,-1.309232 53.018053,-1.309118 53.018010,-1.309075 53.017941,-1.309120 53.017927,-1.309075 53.017289,-1.308937 53.017321,-1.309152 53.016963,-1.309062 53.016904,-1.309549 53.016934,-1.309582 53.016549,-1.310210 53.016764,-1.310259 53.016744,-1.310335 53.016642,-1.310383 53.016452,-1.310220 53.016050,-1.309870 53.016028,-1.309874 53.016008,-1.309608 53.015923,-1.308749 53.015864,-1.308957 53.015529,-1.308681 53.015473,-1.308644 53.015530,-1.308557 53.015563,-1.308316 53.015552,-1.308404 53.015224,-1.307694 53.015270,-1.307779 53.015583,-1.306888 53.015499,-1.306914 53.015813,-1.307008 53.015881,-1.307143 53.016168)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/6
conservation-area:7,Church Street Stapleford,7,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.273788 52.930722,-1.272371 52.930586,-1.272307 52.930815,-1.272380 52.930823,-1.272391 52.931006,-1.272439 52.931005,-1.272420 52.931357,-1.273833 52.931485,-1.273842 52.931444,-1.274138 52.931471,-1.274130 52.931505,-1.274276 52.931551,-1.274249 52.931969,-1.274773 52.931838,-1.274973 52.931711,-1.275212 52.931787,-1.275592 52.931312,-1.275257 52.931208,-1.275316 52.931090,-1.275446 52.930510,-1.274046 52.930344,-1.273938 52.930731,-1.273788 52.930722)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/7
conservation-area:8,Nottingham Road Stapleford,8,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.265979 52.932229,-1.266485 52.932244,-1.266428 52.931192,-1.264376 52.931319,-1.263538 52.931401,-1.263753 52.931964,-1.263761 52.932112,-1.264413 52.932124,-1.264572 52.932446,-1.264982 52.932446,-1.265033 52.932461,-1.265025 52.932520,-1.265298 52.932531,-1.265315 52.932185,-1.265979 52.932229)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/8
conservation-area:9,Kimberley,9,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.261650 53.001279,-1.261923 53.001388,-1.262223 53.001163,-1.261693 53.000856,-1.262101 53.000581,-1.262058 53.000541,-1.262225 53.000347,-1.262481 53.000153,-1.262799 52.999851,-1.262839 52.999856,-1.263152 52.999524,-1.263258 52.999388,-1.263296 52.999055,-1.263399 52.998761,-1.262798 52.998657,-1.262219 52.998208,-1.262482 52.998107,-1.262205 52.997827,-1.261486 52.998094,-1.261164 52.997792,-1.260299 52.998217,-1.259993 52.998330,-1.259672 52.997979,-1.259438 52.998067,-1.259277 52.998004,-1.259029 52.998235,-1.258430 52.998018,-1.258621 52.997881,-1.257772 52.997450,-1.258365 52.997094,-1.258418 52.997128,-1.258812 52.996919,-1.258697 52.996828,-1.259052 52.996597,-1.258673 52.996501,-1.258514 52.996415,-1.258252 52.996615,-1.258160 52.996567,-1.256997 52.997253,-1.257080 52.997316,-1.256960 52.997457,-1.256952 52.997521,-1.256893 52.997578,-1.256723 52.997533,-1.256549 52.997715,-1.257358 52.998106,-1.257290 52.998155,-1.257660 52.998343,-1.258062 52.998857,-1.257947 52.999029,-1.257986 52.999139,-1.257822 52.999229,-1.258031 52.999372,-1.257508 52.999651,-1.258205 53.000084,-1.258444 52.999961,-1.258670 53.000112,-1.258615 53.000141,-1.258688 53.000186,-1.258005 53.000502,-1.257392 53.000711,-1.257864 53.001131,-1.258520 53.000918,-1.259006 53.000694,-1.259280 53.000519,-1.260582 53.001272,-1.260858 53.000989,-1.261260 53.001154,-1.261516 53.001387,-1.261650 53.001279)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/9
conservation-area:10,Barratt Lane Attenborough,10,local-authority-eng:BRT,,"MULTIPOLYGON (((-1.231476 52.907972,-1.231559 52.907920,-1.231409 52.907834,-1.231643 52.907681,-1.231589 52.907651,-1.231922 52.907449,-1.232305 52.907655,-1.232781 52.907333,-1.232835 52.907361,-1.232994 52.907255,-1.232972 52.907206,-1.233108 52.907116,-1.232930 52.907027,-1.233350 52.906735,-1.233446 52.906786,-1.233715 52.906600,-1.233879 52.906686,-1.234748 52.906087,-1.234954 52.906200,-1.235381 52.905902,-1.235339 52.905880,-1.235831 52.905524,-1.236030 52.905606,-1.236455 52.905240,-1.235875 52.904930,-1.234598 52.904448,-1.233594 52.905066,-1.233533 52.905059,-1.232496 52.905675,-1.232476 52.905662,-1.232477 52.905692,-1.231776 52.906128,-1.231719 52.906123,-1.231598 52.906187,-1.232296 52.906389,-1.232002 52.906583,-1.232332 52.906755,-1.232169 52.906861,-1.231568 52.907161,-1.230666 52.907519,-1.230059 52.907158,-1.228794 52.907927,-1.229500 52.908240,-1.230277 52.907834,-1.231426 52.908464,-1.231657 52.908304,-1.231280 52.908096,-1.231476 52.907972)))",2020-09-05,,,/conservation-area/local-authority-eng/BRT/10
