name,geography,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
St Nicholas Hospital,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.639038 55.007332,-1.639016 55.007525,-1.639075 55.007757,-1.639032 55.007867,-1.638273 55.008085,-1.635221 55.008356,-1.634923 55.007977,-1.635055 55.007968,-1.634377 55.007155,-1.634175 55.007180,-1.634152 55.007119,-1.633382 55.007216,-1.632858 55.007295,-1.632886 55.007378,-1.631621 55.007563,-1.631544 55.007359,-1.630548 55.006400,-1.632984 55.005640,-1.634929 55.005399,-1.635979 55.005091,-1.638531 55.004784,-1.638369 55.004644,-1.638861 55.004495,-1.640009 55.004325,-1.640047 55.004532,-1.640271 55.005014,-1.640485 55.005353,-1.640844 55.005827,-1.640913 55.005993,-1.640986 55.006075,-1.641037 55.006352,-1.640515 55.006541,-1.639953 55.007082,-1.638988 55.007147,-1.639038 55.007332)))",2020-09-06,,,
Brandling Village,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.611310 54.990803,-1.607870 54.990531,-1.607457 54.990466,-1.607050 54.989644,-1.606733 54.988814,-1.604821 54.982596,-1.606781 54.981948,-1.607406 54.981667,-1.607745 54.981588,-1.607913 54.981607,-1.608791 54.981953,-1.609704 54.982256,-1.611169 54.982675,-1.611972 54.983126,-1.612168 54.983345,-1.612293 54.983532,-1.612500 54.983952,-1.612930 54.984965,-1.613046 54.985337,-1.613506 54.986157,-1.614683 54.989941,-1.612022 54.990173,-1.611994 54.990245,-1.612083 54.990681,-1.612188 54.990871,-1.611310 54.990803)))",2020-09-06,,,
Framlington Place,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.624604 54.983646,-1.624349 54.984234,-1.622541 54.983705,-1.620161 54.982899,-1.618921 54.982691,-1.618149 54.982620,-1.619088 54.981496,-1.620165 54.981846,-1.620762 54.981901,-1.622361 54.982211,-1.622651 54.982220,-1.623148 54.982109,-1.623412 54.982129,-1.623649 54.982186,-1.625383 54.982829,-1.625084 54.983153,-1.624877 54.983093,-1.624604 54.983646)))",2020-09-06,,,
South Jesmond,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.605833 54.987044,-1.605751 54.987272,-1.605711 54.987653,-1.605657 54.987871,-1.605489 54.988315,-1.605115 54.988272,-1.600932 54.988122,-1.601080 54.987721,-1.596437 54.987556,-1.596661 54.986481,-1.596147 54.986448,-1.596908 54.985852,-1.596930 54.985798,-1.596218 54.985692,-1.596784 54.985280,-1.597056 54.984784,-1.597235 54.984543,-1.598290 54.983359,-1.598652 54.982876,-1.599048 54.982513,-1.599257 54.982409,-1.600207 54.982059,-1.600735 54.981897,-1.601006 54.981682,-1.601980 54.981206,-1.600645 54.980046,-1.600851 54.979596,-1.601316 54.979671,-1.601173 54.979974,-1.602092 54.980124,-1.602255 54.980217,-1.602306 54.980337,-1.602345 54.980587,-1.602391 54.981133,-1.603955 54.980997,-1.604298 54.981999,-1.604693 54.983418,-1.605820 54.986862,-1.605833 54.987044)))",2020-09-06,,,
Summerhill Sqare,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.633030 54.972269,-1.630001 54.971726,-1.629723 54.971631,-1.629547 54.971464,-1.629423 54.971499,-1.629199 54.971489,-1.629176 54.971525,-1.628970 54.971481,-1.628955 54.971512,-1.628694 54.971411,-1.627838 54.971299,-1.627610 54.971319,-1.627110 54.971234,-1.627090 54.971277,-1.627014 54.971266,-1.627030 54.971232,-1.626846 54.971199,-1.626828 54.971239,-1.626734 54.971225,-1.626746 54.971200,-1.625380 54.970951,-1.625346 54.971037,-1.625198 54.971017,-1.625183 54.971053,-1.624829 54.971004,-1.624852 54.970935,-1.624799 54.970929,-1.624785 54.970973,-1.624702 54.970963,-1.624697 54.970984,-1.624253 54.970926,-1.624580 54.970138,-1.624992 54.970179,-1.625075 54.970141,-1.625150 54.969570,-1.625369 54.968767,-1.626910 54.968917,-1.627342 54.968938,-1.627513 54.968901,-1.627876 54.968926,-1.628914 54.969737,-1.629116 54.969654,-1.629408 54.969878,-1.629215 54.969964,-1.629189 54.970084,-1.628932 54.970114,-1.628917 54.970232,-1.629567 54.970305,-1.630263 54.969996,-1.630634 54.970246,-1.631387 54.970833,-1.631445 54.970958,-1.633043 54.972210,-1.633062 54.972245,-1.633030 54.972269)))",2020-09-06,,,
Northumberland Gardens,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.728438 54.999986,-1.728300 55.000450,-1.728046 55.000450,-1.725404 55.000710,-1.724905 55.000835,-1.724834 55.000872,-1.724828 55.000939,-1.724354 55.000935,-1.723561 55.000736,-1.723537 55.000691,-1.724185 54.998759,-1.725550 54.998805,-1.725682 54.998792,-1.725705 54.998728,-1.728792 54.998863,-1.728438 54.999986)))",2020-09-06,,,
Leazes,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.623956 54.980729,-1.620250 54.978407,-1.618660 54.977352,-1.618510 54.977519,-1.618278 54.977897,-1.615154 54.976809,-1.615600 54.976353,-1.615907 54.976088,-1.616774 54.975163,-1.617098 54.974548,-1.617333 54.974616,-1.618153 54.975323,-1.618626 54.975137,-1.619695 54.974845,-1.620228 54.975481,-1.620551 54.975712,-1.620509 54.975798,-1.621463 54.976611,-1.622990 54.976110,-1.624260 54.975200,-1.626550 54.975747,-1.626337 54.975971,-1.626138 54.977193,-1.626109 54.977209,-1.626135 54.977286,-1.626166 54.977296,-1.626175 54.977431,-1.626102 54.978130,-1.625988 54.978768,-1.625895 54.979015,-1.625649 54.979379,-1.625141 54.979914,-1.624662 54.980268,-1.623956 54.980729)))",2020-09-06,,,
Central,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.609820 54.966584,-1.609788 54.966555,-1.610568 54.966239,-1.611048 54.966000,-1.613830 54.964410,-1.615398 54.965538,-1.615733 54.965503,-1.616141 54.965577,-1.617533 54.966216,-1.618760 54.965255,-1.619020 54.965507,-1.619245 54.965817,-1.619411 54.966096,-1.619437 54.966283,-1.619481 54.966302,-1.619688 54.966638,-1.619364 54.967347,-1.620223 54.968669,-1.620728 54.968874,-1.620464 54.969112,-1.620540 54.969143,-1.620396 54.969254,-1.620299 54.969218,-1.619996 54.969507,-1.619817 54.970146,-1.619955 54.970262,-1.619975 54.970476,-1.620371 54.970535,-1.620590 54.969986,-1.620616 54.969837,-1.620763 54.969674,-1.621985 54.969923,-1.621829 54.970286,-1.622581 54.970383,-1.622251 54.971388,-1.622068 54.971472,-1.622345 54.971689,-1.621927 54.971869,-1.622701 54.972417,-1.621640 54.973021,-1.621039 54.973556,-1.619841 54.973619,-1.618500 54.974006,-1.617232 54.974186,-1.617313 54.974048,-1.617366 54.973808,-1.617611 54.973264,-1.617626 54.973023,-1.617396 54.972407,-1.616732 54.972071,-1.616391 54.972440,-1.616488 54.972468,-1.616304 54.972607,-1.616186 54.972577,-1.615501 54.973497,-1.615653 54.973532,-1.615656 54.973632,-1.615446 54.973653,-1.615406 54.973702,-1.615032 54.973686,-1.614129 54.973458,-1.614054 54.973558,-1.613875 54.973519,-1.613698 54.973751,-1.613347 54.973816,-1.613226 54.973971,-1.613791 54.973999,-1.613882 54.974288,-1.613086 54.974469,-1.613032 54.974360,-1.612783 54.974415,-1.612559 54.974090,-1.611727 54.974274,-1.611239 54.973472,-1.610831 54.972565,-1.610734 54.972415,-1.610569 54.972246,-1.609648 54.971503,-1.608828 54.970642,-1.608494 54.970245,-1.607560 54.970891,-1.607157 54.971261,-1.606823 54.971652,-1.605101 54.971291,-1.605081 54.970948,-1.605764 54.970714,-1.605546 54.970466,-1.605407 54.970334,-1.604214 54.969751,-1.603705 54.969469,-1.602786 54.968864,-1.604724 54.968355,-1.606679 54.967773,-1.609786 54.966555,-1.609820 54.966584)))",2020-09-06,,,
Ouseburn,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.594886 54.976046,-1.594679 54.976195,-1.594632 54.976277,-1.594614 54.976533,-1.594438 54.976674,-1.593910 54.976866,-1.592334 54.977303,-1.591803 54.977246,-1.591629 54.977147,-1.591386 54.977209,-1.591351 54.977138,-1.591593 54.977041,-1.591734 54.976922,-1.591558 54.976745,-1.591397 54.976670,-1.590915 54.976702,-1.590698 54.976804,-1.590578 54.976646,-1.590120 54.976629,-1.589976 54.976523,-1.589407 54.976545,-1.589351 54.976340,-1.589135 54.976040,-1.589448 54.976002,-1.589374 54.975781,-1.588839 54.975440,-1.589232 54.975213,-1.588036 54.974576,-1.588951 54.974238,-1.589764 54.973717,-1.588278 54.972891,-1.587621 54.973304,-1.586875 54.972916,-1.586816 54.972956,-1.586359 54.972734,-1.586315 54.972685,-1.586046 54.972578,-1.586361 54.972318,-1.586032 54.972184,-1.586393 54.971857,-1.586441 54.971654,-1.586526 54.971480,-1.587324 54.971682,-1.587457 54.971538,-1.588048 54.971560,-1.588260 54.971309,-1.588627 54.971408,-1.588957 54.971441,-1.591688 54.971386,-1.592876 54.971447,-1.592856 54.971607,-1.591763 54.971552,-1.591321 54.971593,-1.591247 54.972019,-1.592069 54.972106,-1.592759 54.972080,-1.592883 54.972251,-1.592950 54.972707,-1.593118 54.972743,-1.593230 54.972805,-1.593140 54.972883,-1.593125 54.972945,-1.593133 54.973470,-1.592877 54.973588,-1.592890 54.973608,-1.593096 54.973841,-1.593435 54.974084,-1.593363 54.974118,-1.593698 54.974341,-1.593515 54.974465,-1.593884 54.974597,-1.593852 54.974635,-1.594292 54.974857,-1.594178 54.974896,-1.594333 54.975063,-1.594695 54.974961,-1.594894 54.975197,-1.593683 54.975376,-1.593828 54.975505,-1.594962 54.975991,-1.594886 54.976046)))",2020-09-06,,,
Jesmond Dene,,local-authority-eng:NET,,"MULTIPOLYGON (((-1.607111 54.998774,-1.606803 54.998752,-1.606537 54.998808,-1.606397 54.998905,-1.606319 54.999820,-1.606175 55.000263,-1.605728 55.001183,-1.605648 55.001405,-1.605588 55.001905,-1.605494 55.002120,-1.605382 55.002282,-1.605184 55.002470,-1.603519 55.003701,-1.603347 55.003907,-1.603219 55.004147,-1.603138 55.004607,-1.602966 55.004919,-1.602379 55.004870,-1.602397 55.004801,-1.602342 55.004628,-1.601428 55.004863,-1.601260 55.004981,-1.601770 55.005456,-1.601946 55.005777,-1.602183 55.005988,-1.602231 55.006155,-1.602189 55.006389,-1.602201 55.006485,-1.602626 55.006492,-1.602541 55.006771,-1.602474 55.006865,-1.602230 55.006971,-1.601910 55.006916,-1.601606 55.006489,-1.601835 55.006426,-1.601818 55.006170,-1.601688 55.006022,-1.601511 55.005912,-1.601436 55.005828,-1.601128 55.005919,-1.600665 55.005304,-1.600753 55.005154,-1.600733 55.004815,-1.600933 55.004648,-1.601933 55.003160,-1.602280 55.003238,-1.602385 55.003018,-1.602349 55.002698,-1.602131 55.002512,-1.602162 55.002468,-1.602826 55.002309,-1.602900 55.002248,-1.602852 55.002149,-1.602874 55.002068,-1.602718 55.001794,-1.602410 55.001682,-1.597177 55.002518,-1.596478 55.002083,-1.596277 55.001918,-1.595961 55.001541,-1.595490 55.000667,-1.595327 55.000447,-1.594864 55.000003,-1.593631 54.997843,-1.593374 54.997327,-1.594609 54.997097,-1.594339 54.996642,-1.594494 54.996580,-1.594520 54.996537,-1.594300 54.996233,-1.593641 54.995502,-1.593498 54.995163,-1.593415 54.994687,-1.593213 54.994064,-1.592946 54.993725,-1.592671 54.993099,-1.591731 54.993059,-1.591867 54.992793,-1.591843 54.992494,-1.591750 54.992265,-1.591638 54.992123,-1.591376 54.991893,-1.590153 54.992129,-1.589249 54.992377,-1.587973 54.992622,-1.586625 54.992772,-1.586473 54.992269,-1.586187 54.991582,-1.586160 54.991443,-1.586157 54.991290,-1.586205 54.991131,-1.586299 54.990990,-1.586462 54.990852,-1.586758 54.990673,-1.586408 54.990354,-1.587343 54.989894,-1.588432 54.989476,-1.591294 54.988784,-1.591580 54.988677,-1.592528 54.988569,-1.593142 54.988435,-1.593187 54.988793,-1.593269 54.988916,-1.594365 54.989661,-1.594726 54.989627,-1.594895 54.989296,-1.595326 54.988627,-1.595536 54.988495,-1.596424 54.988624,-1.596241 54.988967,-1.596292 54.988977,-1.596161 54.989205,-1.596116 54.989197,-1.595996 54.989423,-1.598135 54.989857,-1.598012 54.990241,-1.597426 54.990169,-1.597387 54.990123,-1.594845 54.989644,-1.594972 54.989794,-1.595318 54.990471,-1.595236 54.990717,-1.595409 54.991121,-1.595363 54.991804,-1.595412 54.991996,-1.595488 54.992128,-1.596479 54.992176,-1.596626 54.992225,-1.598296 54.992423,-1.599357 54.992592,-1.599484 54.992507,-1.599578 54.992292,-1.600576 54.992394,-1.600295 54.992906,-1.598750 54.992645,-1.598391 54.992738,-1.598019 54.992736,-1.597318 54.992465,-1.597146 54.992432,-1.597208 54.992330,-1.596577 54.992275,-1.596419 54.992295,-1.596379 54.992361,-1.596660 54.992777,-1.596472 54.992772,-1.596629 54.993061,-1.596749 54.993435,-1.596865 54.993540,-1.596956 54.993532,-1.596958 54.993560,-1.597223 54.993535,-1.597436 54.993432,-1.597979 54.993408,-1.598571 54.993416,-1.599548 54.993500,-1.600238 54.993893,-1.600523 54.994014,-1.600704 54.994034,-1.600908 54.994127,-1.600938 54.994187,-1.601234 54.994352,-1.601687 54.994487,-1.601775 54.994445,-1.601928 54.994604,-1.602689 54.994326,-1.602894 54.994116,-1.603124 54.994048,-1.603324 54.994200,-1.603699 54.994407,-1.604904 54.994940,-1.605096 54.995064,-1.605307 54.995270,-1.605356 54.995416,-1.605326 54.995995,-1.607521 54.996152,-1.610475 54.996262,-1.610720 54.996341,-1.610857 54.996467,-1.611055 54.997352,-1.611211 54.997778,-1.611304 54.997922,-1.610725 54.998188,-1.609663 54.998587,-1.609492 54.998679,-1.609289 54.998727,-1.608938 54.998783,-1.608179 54.998808,-1.607111 54.998774)))",2020-09-06,,,
