geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
conservation-area:PORT,Chatsworh Square/Portland Square,PORT,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.928901 54.891046,-2.928705 54.891186,-2.929521 54.891547,-2.929179 54.891788,-2.929592 54.891999,-2.929291 54.892194,-2.930066 54.892577,-2.930483 54.892472,-2.930904 54.893035,-2.929651 54.893351,-2.930028 54.893855,-2.931190 54.893743,-2.931387 54.894578,-2.931330 54.894582,-2.931636 54.894985,-2.933523 54.894755,-2.933717 54.895656,-2.932030 54.895911,-2.931468 54.895607,-2.928230 54.896045,-2.928040 54.896083,-2.928074 54.896128,-2.927990 54.896149,-2.926398 54.896335,-2.926257 54.895938,-2.926068 54.895961,-2.925100 54.894728,-2.924369 54.894735,-2.923616 54.893583,-2.924221 54.893448,-2.925571 54.892515,-2.925893 54.892416,-2.925976 54.892362,-2.927031 54.891647,-2.926847 54.891553,-2.927190 54.891246,-2.927889 54.890741,-2.928547 54.891054,-2.928705 54.890946,-2.928901 54.891046)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/PORT
conservation-area:WOOD,Wood Street,WOOD,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.902780 54.892598,-2.902163 54.892747,-2.901942 54.892430,-2.901706 54.892474,-2.901504 54.892257,-2.901453 54.892282,-2.901590 54.892532,-2.900987 54.892638,-2.901077 54.892911,-2.900851 54.892919,-2.900252 54.893036,-2.900141 54.892776,-2.899803 54.892833,-2.899720 54.892573,-2.899600 54.892476,-2.899191 54.891731,-2.899640 54.891652,-2.899726 54.891584,-2.899822 54.891608,-2.900410 54.891496,-2.900450 54.891458,-2.901126 54.891290,-2.901107 54.891264,-2.901509 54.891149,-2.901933 54.891789,-2.902290 54.891751,-2.902423 54.892026,-2.902519 54.892080,-2.902636 54.892231,-2.902660 54.892223,-2.902921 54.892570,-2.902780 54.892598)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/WOOD
conservation-area:HOLM,Holme Head,HOLM,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.948105 54.875380,-2.947088 54.877530,-2.947045 54.878774,-2.946994 54.878775,-2.946993 54.878803,-2.945789 54.878873,-2.944224 54.879366,-2.943909 54.879499,-2.943704 54.879632,-2.943183 54.880160,-2.942720 54.880430,-2.942583 54.880474,-2.942463 54.880664,-2.942802 54.881003,-2.941995 54.881259,-2.942113 54.881395,-2.941860 54.881479,-2.941882 54.881495,-2.941808 54.881525,-2.941758 54.881514,-2.941445 54.881724,-2.941388 54.881697,-2.941088 54.881888,-2.941041 54.881867,-2.940387 54.882326,-2.940306 54.882324,-2.940329 54.882408,-2.940116 54.882429,-2.939020 54.881958,-2.938930 54.881573,-2.938665 54.881144,-2.938652 54.880979,-2.938606 54.880912,-2.938603 54.880820,-2.938634 54.880769,-2.938371 54.880660,-2.938283 54.880498,-2.938254 54.880349,-2.938243 54.879823,-2.938222 54.879704,-2.938100 54.879452,-2.938256 54.878273,-2.938269 54.877427,-2.938314 54.876974,-2.943535 54.877449,-2.943826 54.877088,-2.943891 54.876964,-2.943945 54.876698,-2.943959 54.876461,-2.943918 54.876381,-2.943967 54.875857,-2.943903 54.875653,-2.943876 54.875208,-2.943899 54.875141,-2.945596 54.873395,-2.945896 54.873026,-2.946081 54.872724,-2.946241 54.872566,-2.946272 54.872497,-2.946189 54.872102,-2.949184 54.871498,-2.951517 54.870875,-2.951675 54.871606,-2.951427 54.871573,-2.948105 54.875380)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/HOLM
conservation-area:VICT,Victoria Road,VICT,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.903057 54.892543,-2.903184 54.892520,-2.903402 54.892812,-2.904223 54.893448,-2.903782 54.893646,-2.903277 54.893159,-2.903303 54.893150,-2.902780 54.892598,-2.903057 54.892543)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/VICT
conservation-area:LONG,Longtown,LONG,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.974712 55.008925,-2.974565 55.008869,-2.974296 55.009197,-2.974521 55.009292,-2.974413 55.009400,-2.974306 55.009342,-2.973965 55.009507,-2.974107 55.009603,-2.973958 55.009580,-2.973861 55.009640,-2.973975 55.009758,-2.974258 55.009928,-2.974016 55.010127,-2.973965 55.010134,-2.974002 55.010382,-2.973898 55.010476,-2.973730 55.010428,-2.973701 55.010519,-2.973644 55.010559,-2.973342 55.010580,-2.973200 55.010532,-2.973078 55.010581,-2.972877 55.010418,-2.972757 55.010467,-2.972346 55.010156,-2.970612 55.010785,-2.969942 55.010865,-2.969918 55.010810,-2.969949 55.010606,-2.969964 55.009951,-2.969927 55.009950,-2.969699 55.009630,-2.968961 55.009777,-2.968695 55.009340,-2.970349 55.008984,-2.970030 55.008537,-2.970040 55.008470,-2.969608 55.008070,-2.969632 55.008064,-2.969496 55.007837,-2.969286 55.007887,-2.969111 55.007581,-2.968720 55.007659,-2.968577 55.007423,-2.968015 55.007189,-2.970239 55.006510,-2.970494 55.006779,-2.971112 55.006617,-2.971216 55.006792,-2.971300 55.006778,-2.971419 55.006815,-2.971952 55.006705,-2.972056 55.006962,-2.972415 55.007440,-2.972504 55.007647,-2.973051 55.007547,-2.973256 55.007754,-2.973953 55.007464,-2.974332 55.007738,-2.974418 55.007701,-2.974654 55.007876,-2.975062 55.007760,-2.975328 55.008196,-2.974712 55.008925)),((-2.974712 55.008925,-2.974712 55.008926,-2.974712 55.008925,-2.974712 55.008925)),((-2.971952 55.006705,-2.971952 55.006705,-2.971952 55.006705,-2.971952 55.006705)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/LONG
conservation-area:BRAM,Brampton,BRAM,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.737607 54.939068,-2.737169 54.938922,-2.737079 54.939009,-2.736937 54.938992,-2.736594 54.939148,-2.736715 54.939336,-2.736970 54.939624,-2.736075 54.939855,-2.736403 54.940459,-2.736843 54.941055,-2.737080 54.940996,-2.737181 54.941214,-2.737496 54.941160,-2.737632 54.941360,-2.737910 54.941280,-2.737978 54.941332,-2.738052 54.941302,-2.738108 54.941539,-2.738626 54.941571,-2.739035 54.941536,-2.738997 54.941411,-2.739416 54.941363,-2.739438 54.941420,-2.739584 54.941400,-2.739606 54.941435,-2.740288 54.941417,-2.740781 54.941349,-2.740823 54.941418,-2.740901 54.941405,-2.740984 54.941469,-2.741261 54.941450,-2.741642 54.941370,-2.741777 54.941568,-2.741901 54.941866,-2.742084 54.942075,-2.742006 54.942304,-2.740878 54.942304,-2.740374 54.942257,-2.740298 54.942154,-2.740083 54.942231,-2.740030 54.942366,-2.739746 54.942445,-2.739946 54.942637,-2.740114 54.942877,-2.738771 54.943053,-2.738865 54.943245,-2.739160 54.943664,-2.738985 54.943707,-2.738755 54.943674,-2.738462 54.943685,-2.738281 54.943633,-2.738213 54.943547,-2.737749 54.942594,-2.737214 54.942725,-2.737138 54.942716,-2.737156 54.942880,-2.736984 54.942888,-2.736989 54.942927,-2.736909 54.942940,-2.736845 54.943011,-2.736394 54.943142,-2.735982 54.943327,-2.735840 54.943208,-2.735378 54.943326,-2.735351 54.943372,-2.735489 54.943489,-2.734601 54.943835,-2.733784 54.944017,-2.732644 54.944348,-2.731833 54.944522,-2.730801 54.945200,-2.730988 54.945269,-2.730734 54.945502,-2.731638 54.946016,-2.730292 54.947341,-2.729361 54.947079,-2.728913 54.946994,-2.728004 54.945402,-2.725077 54.947295,-2.722420 54.945954,-2.721749 54.946278,-2.719800 54.944440,-2.719643 54.944416,-2.719520 54.944350,-2.719873 54.944147,-2.719864 54.944051,-2.720219 54.943710,-2.721036 54.943512,-2.721395 54.943526,-2.722061 54.943472,-2.722534 54.943472,-2.722472 54.943067,-2.722951 54.942933,-2.722819 54.942687,-2.722702 54.942558,-2.721149 54.942739,-2.720437 54.942644,-2.720273 54.942154,-2.718652 54.941918,-2.718528 54.942170,-2.718082 54.942102,-2.718003 54.942308,-2.716694 54.942166,-2.716637 54.942122,-2.716366 54.941644,-2.716228 54.941502,-2.716001 54.941391,-2.715940 54.941273,-2.715041 54.941235,-2.714381 54.941275,-2.713777 54.941155,-2.713355 54.940964,-2.713905 54.940547,-2.714258 54.940549,-2.714436 54.940503,-2.714540 54.940730,-2.714693 54.940811,-2.714698 54.940857,-2.714848 54.940866,-2.714913 54.940918,-2.715328 54.941016,-2.715435 54.940894,-2.716126 54.940687,-2.716086 54.940773,-2.717462 54.940933,-2.717519 54.940818,-2.718089 54.940897,-2.718174 54.940731,-2.720137 54.941023,-2.720304 54.940911,-2.720524 54.940681,-2.720682 54.940478,-2.720626 54.940436,-2.720788 54.940353,-2.721421 54.940540,-2.721495 54.940520,-2.723317 54.940620,-2.723430 54.940289,-2.724827 54.939309,-2.725866 54.938800,-2.726341 54.938473,-2.725819 54.938058,-2.725686 54.937836,-2.725885 54.937706,-2.725524 54.937319,-2.725038 54.936934,-2.725542 54.936822,-2.725704 54.936690,-2.725799 54.936675,-2.726303 54.936655,-2.726362 54.936740,-2.726839 54.936693,-2.727259 54.936855,-2.727572 54.937123,-2.728926 54.936507,-2.730113 54.936830,-2.730744 54.936038,-2.730915 54.935889,-2.731095 54.935884,-2.731981 54.936540,-2.733047 54.935842,-2.735164 54.935151,-2.736486 54.936666,-2.737110 54.937614,-2.737537 54.937700,-2.737016 54.938306,-2.737226 54.938423,-2.737350 54.938543,-2.737452 54.938575,-2.737635 54.938507,-2.738003 54.938475,-2.738307 54.938736,-2.737847 54.938846,-2.737954 54.938991,-2.737607 54.939068),(-2.727261 54.942204,-2.727335 54.942215,-2.727142 54.942715,-2.727218 54.942725,-2.727466 54.942669,-2.728144 54.942658,-2.728154 54.942702,-2.728558 54.942600,-2.729426 54.942278,-2.729908 54.942062,-2.730318 54.942380,-2.730469 54.942341,-2.731422 54.941686,-2.730881 54.941466,-2.730728 54.941533,-2.730681 54.941513,-2.730421 54.941376,-2.730354 54.941282,-2.730166 54.941144,-2.730133 54.941158,-2.729711 54.940911,-2.728694 54.940501,-2.727169 54.939587,-2.726207 54.940090,-2.725922 54.940289,-2.725918 54.940435,-2.725986 54.940521,-2.726605 54.940898,-2.726650 54.940996,-2.726623 54.941124,-2.726644 54.941155,-2.726934 54.941181,-2.727097 54.941298,-2.727184 54.941423,-2.727303 54.941426,-2.727351 54.941468,-2.727329 54.941506,-2.727352 54.941537,-2.727646 54.941665,-2.727071 54.941816,-2.726590 54.942002,-2.726636 54.942119,-2.727261 54.942204),(-2.731637 54.941561,-2.732050 54.941810,-2.733351 54.941552,-2.733798 54.941418,-2.733117 54.940755,-2.732766 54.940274,-2.732666 54.940234,-2.732123 54.940336,-2.731840 54.940427,-2.731642 54.940498,-2.731364 54.940700,-2.730806 54.940925,-2.730742 54.940892,-2.730725 54.940920,-2.730783 54.940978,-2.731182 54.941303,-2.731637 54.941561),(-2.735932 54.940371,-2.735576 54.939975,-2.733726 54.940508,-2.734251 54.941011,-2.734432 54.940958,-2.734685 54.941097,-2.735080 54.941548,-2.735673 54.941492,-2.736627 54.941303,-2.735932 54.940371)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/BRAM
conservation-area:TARR,Tarraby,TARR,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.924587 54.915020,-2.925058 54.915635,-2.925682 54.916364,-2.924665 54.915752,-2.923976 54.915227,-2.923315 54.914655,-2.922744 54.915317,-2.918850 54.913832,-2.919082 54.913306,-2.919388 54.912803,-2.919500 54.912648,-2.919546 54.912637,-2.919467 54.912925,-2.919387 54.913047,-2.920713 54.913352,-2.920576 54.913486,-2.921920 54.914100,-2.923815 54.912886,-2.924078 54.913022,-2.923147 54.913606,-2.923576 54.913836,-2.923552 54.913856,-2.923799 54.914004,-2.924018 54.914028,-2.924552 54.914362,-2.925027 54.914087,-2.925291 54.914279,-2.924358 54.914789,-2.924587 54.915020)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/TARR
conservation-area:GCOR,Great Corby,GCOR,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.829459 54.883843,-2.828450 54.883943,-2.828230 54.883887,-2.827440 54.883996,-2.826917 54.884111,-2.826307 54.884386,-2.826604 54.884644,-2.825786 54.884934,-2.825861 54.885059,-2.825867 54.885128,-2.824776 54.885523,-2.824324 54.885332,-2.824179 54.885077,-2.823906 54.884456,-2.823305 54.883929,-2.822528 54.883378,-2.821284 54.883889,-2.821042 54.883883,-2.821370 54.884169,-2.820783 54.884333,-2.820642 54.884164,-2.820209 54.884332,-2.820416 54.884566,-2.820514 54.884796,-2.819107 54.884932,-2.818281 54.885062,-2.818199 54.884875,-2.818288 54.884863,-2.818082 54.884386,-2.817813 54.884526,-2.817253 54.883427,-2.817207 54.882871,-2.817544 54.882908,-2.817610 54.882470,-2.817988 54.882493,-2.817941 54.882811,-2.820097 54.882966,-2.820268 54.882621,-2.820638 54.882691,-2.821020 54.882185,-2.821195 54.882243,-2.821847 54.881640,-2.821832 54.881338,-2.821952 54.881146,-2.822715 54.880591,-2.823383 54.880054,-2.823691 54.879896,-2.824131 54.879765,-2.824836 54.879698,-2.825132 54.879104,-2.825213 54.878753,-2.825893 54.878811,-2.826650 54.878707,-2.826750 54.878737,-2.826854 54.878846,-2.826865 54.878936,-2.826817 54.879069,-2.827055 54.879206,-2.827269 54.880228,-2.827209 54.880358,-2.827204 54.880489,-2.827457 54.880889,-2.827556 54.881013,-2.827653 54.881075,-2.827625 54.881103,-2.827665 54.881165,-2.827605 54.881200,-2.827584 54.881284,-2.827721 54.881447,-2.827705 54.881502,-2.827832 54.881693,-2.827846 54.881787,-2.827818 54.881827,-2.827935 54.882131,-2.828005 54.882753,-2.828084 54.882840,-2.828111 54.882928,-2.829459 54.883843)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/GCOR
conservation-area:LBUR,Longburgh,LBUR,local-authority-eng:CAR,,"MULTIPOLYGON (((-3.082219 54.923587,-3.082012 54.923640,-3.081637 54.923670,-3.081182 54.923616,-3.081135 54.923677,-3.080925 54.923684,-3.080887 54.923588,-3.080644 54.923350,-3.080672 54.923238,-3.080284 54.922804,-3.079214 54.922766,-3.079244 54.922312,-3.079400 54.922318,-3.079420 54.922241,-3.078299 54.922200,-3.078290 54.921640,-3.078350 54.921284,-3.078331 54.920888,-3.078257 54.920820,-3.078245 54.920678,-3.078089 54.920710,-3.077886 54.920670,-3.077735 54.920413,-3.077689 54.920384,-3.077765 54.920373,-3.077737 54.920321,-3.077658 54.920332,-3.077298 54.919609,-3.076881 54.919042,-3.077627 54.918743,-3.077870 54.918449,-3.078170 54.917771,-3.078759 54.917947,-3.079268 54.918460,-3.079509 54.918284,-3.080395 54.918624,-3.080311 54.918710,-3.080698 54.918957,-3.081640 54.919669,-3.082440 54.920365,-3.081500 54.920556,-3.082208 54.921481,-3.082600 54.921927,-3.082777 54.921941,-3.082699 54.922352,-3.083536 54.922411,-3.083433 54.922691,-3.083285 54.922868,-3.082219 54.923587)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/LBUR
conservation-area:RICK,Rickerby,RICK,local-authority-eng:CAR,,"MULTIPOLYGON (((-2.915947 54.905625,-2.915560 54.906413,-2.915423 54.906498,-2.915161 54.906521,-2.914985 54.906465,-2.914911 54.906400,-2.914884 54.906323,-2.915106 54.905500,-2.914571 54.905336,-2.913868 54.905000,-2.913517 54.904930,-2.912878 54.904915,-2.911929 54.905144,-2.910851 54.905181,-2.910897 54.903709,-2.913224 54.903505,-2.913227 54.903442,-2.913305 54.903436,-2.913456 54.903069,-2.914448 54.903014,-2.917259 54.903120,-2.917333 54.903129,-2.917242 54.903254,-2.917260 54.903343,-2.917391 54.903450,-2.917605 54.903528,-2.917765 54.903673,-2.917877 54.903844,-2.917866 54.904041,-2.917903 54.904121,-2.918013 54.904241,-2.918242 54.904372,-2.918504 54.904419,-2.918918 54.904304,-2.919412 54.904297,-2.919789 54.904383,-2.920003 54.904527,-2.920216 54.904431,-2.920268 54.904505,-2.920094 54.904551,-2.919166 54.904958,-2.917849 54.905431,-2.917271 54.905571,-2.916818 54.905644,-2.915947 54.905625)))",2020-09-05,,,/conservation-area/local-authority-eng/CAR/RICK
