conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
Conservation_Areas.2.11,,,2020-12-15,"MULTIPOLYGON (((-2.028109 53.533362,-2.026882 53.533982,-2.026448 53.534162,-2.026415 53.533999,-2.026377 53.534007,-2.026333 53.533855,-2.024600 53.534364,-2.024286 53.534524,-2.023671 53.534933,-2.023237 53.535002,-2.022720 53.534985,-2.022526 53.535130,-2.022410 53.535162,-2.022187 53.535143,-2.021971 53.535057,-2.021768 53.535061,-2.021137 53.535197,-2.020608 53.535389,-2.019926 53.533683,-2.020619 53.533452,-2.021286 53.533284,-2.021650 53.533262,-2.021876 53.533262,-2.023046 53.533446,-2.023364 53.533525,-2.023496 53.533515,-2.023572 53.533446,-2.024027 53.532099,-2.024219 53.531971,-2.029140 53.530458,-2.029335 53.530464,-2.029822 53.530574,-2.029966 53.530672,-2.029825 53.530881,-2.027894 53.533216,-2.028109 53.533362)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.12,,,2020-12-15,"MULTIPOLYGON (((-2.021266 53.564504,-2.021971 53.564910,-2.021448 53.565107,-2.021235 53.565080,-2.021193 53.565043,-2.020801 53.565147,-2.020605 53.565042,-2.019988 53.565006,-2.019532 53.564496,-2.019415 53.564503,-2.018750 53.564584,-2.018829 53.564831,-2.018356 53.564908,-2.018018 53.565110,-2.018079 53.565199,-2.017768 53.565373,-2.017734 53.565348,-2.017198 53.565652,-2.016641 53.566061,-2.016357 53.565904,-2.016239 53.565984,-2.014847 53.565766,-2.015721 53.564980,-2.015115 53.564719,-2.015952 53.564074,-2.016887 53.563281,-2.017506 53.563596,-2.018356 53.562674,-2.019329 53.562929,-2.020118 53.562394,-2.020373 53.562866,-2.020524 53.563028,-2.020606 53.563172,-2.020775 53.563323,-2.021171 53.562988,-2.021571 53.562783,-2.023549 53.561995,-2.023764 53.562127,-2.024101 53.561895,-2.024793 53.562336,-2.024817 53.562440,-2.025156 53.562607,-2.025268 53.562735,-2.025256 53.562870,-2.025150 53.563018,-2.024938 53.563148,-2.022715 53.564098,-2.022315 53.563822,-2.021762 53.564038,-2.021111 53.564399,-2.021266 53.564504)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.13,,,2020-12-15,"MULTIPOLYGON (((-2.143272 53.500251,-2.142702 53.500385,-2.142634 53.500720,-2.142540 53.500916,-2.142444 53.501021,-2.142219 53.500967,-2.142097 53.501161,-2.141538 53.501040,-2.141553 53.501091,-2.141730 53.501244,-2.141298 53.501732,-2.141069 53.501908,-2.142086 53.502385,-2.141664 53.502800,-2.141161 53.502572,-2.141013 53.502683,-2.140745 53.502546,-2.140640 53.502650,-2.140622 53.502729,-2.139962 53.503190,-2.139614 53.502947,-2.139457 53.503088,-2.138639 53.503493,-2.137680 53.503858,-2.137413 53.504084,-2.136910 53.504294,-2.137221 53.504621,-2.137367 53.504575,-2.137728 53.504960,-2.137409 53.505068,-2.137550 53.505266,-2.136933 53.505414,-2.136908 53.505491,-2.137023 53.505656,-2.136389 53.505788,-2.136269 53.505501,-2.135894 53.505603,-2.135490 53.505079,-2.135319 53.505121,-2.135170 53.504897,-2.135177 53.504864,-2.134128 53.505160,-2.133862 53.505274,-2.133118 53.505713,-2.132603 53.505401,-2.132593 53.505290,-2.132211 53.505029,-2.132611 53.504908,-2.133095 53.504652,-2.133680 53.504500,-2.133556 53.504319,-2.134234 53.504136,-2.134996 53.504018,-2.135268 53.503912,-2.135647 53.503834,-2.136057 53.503684,-2.136107 53.503746,-2.136454 53.503597,-2.136343 53.503495,-2.136718 53.503350,-2.136608 53.503253,-2.137686 53.502871,-2.138614 53.502358,-2.138670 53.502271,-2.138914 53.502128,-2.138484 53.501805,-2.138073 53.501437,-2.138095 53.501425,-2.137855 53.501280,-2.137979 53.501207,-2.138671 53.500619,-2.138908 53.500725,-2.139133 53.500889,-2.139374 53.501115,-2.139390 53.501181,-2.139480 53.501281,-2.139665 53.501430,-2.139994 53.501619,-2.140622 53.501199,-2.140752 53.500842,-2.141029 53.500420,-2.141192 53.500261,-2.141063 53.500215,-2.141118 53.500114,-2.141284 53.500188,-2.141748 53.499726,-2.141641 53.499622,-2.141657 53.499546,-2.141740 53.499430,-2.142364 53.499648,-2.142830 53.499058,-2.143037 53.498860,-2.143432 53.499039,-2.143524 53.498961,-2.143988 53.499168,-2.143771 53.499398,-2.144123 53.499603,-2.144168 53.499898,-2.144115 53.499956,-2.143766 53.500148,-2.143272 53.500251)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.14,,,2020-12-15,"MULTIPOLYGON (((-2.011986 53.555090,-2.012573 53.555489,-2.013272 53.555336,-2.013458 53.555593,-2.014457 53.555234,-2.014972 53.555130,-2.015302 53.555219,-2.015535 53.555353,-2.015495 53.555382,-2.015892 53.555542,-2.014965 53.556188,-2.014916 53.556163,-2.014754 53.556172,-2.014692 53.556315,-2.014445 53.556474,-2.014173 53.556848,-2.014208 53.556923,-2.014382 53.556966,-2.015340 53.556980,-2.015340 53.557165,-2.014868 53.557295,-2.014503 53.557463,-2.014277 53.557637,-2.013874 53.557776,-2.013660 53.557904,-2.012039 53.557417,-2.012220 53.557248,-2.011681 53.557075,-2.012507 53.556723,-2.011785 53.556639,-2.011694 53.556433,-2.011894 53.556384,-2.011934 53.556199,-2.011886 53.555976,-2.011783 53.555817,-2.011534 53.555605,-2.011576 53.555575,-2.011514 53.555550,-2.011150 53.555557,-2.010924 53.555613,-2.010770 53.555696,-2.010596 53.555619,-2.010829 53.555234,-2.010853 53.555043,-2.010896 53.555010,-2.011358 53.555077,-2.011986 53.555090)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.15,,,2020-12-15,"MULTIPOLYGON (((-2.113918 53.542560,-2.113933 53.542641,-2.112486 53.542685,-2.110202 53.543161,-2.109898 53.542583,-2.109939 53.542509,-2.110828 53.542299,-2.110689 53.542034,-2.109526 53.542164,-2.109372 53.541709,-2.108984 53.540951,-2.108848 53.540812,-2.108659 53.540424,-2.110851 53.540026,-2.110888 53.540040,-2.111089 53.540441,-2.112342 53.540215,-2.112573 53.540653,-2.112167 53.540725,-2.112121 53.540619,-2.111726 53.540686,-2.111932 53.541144,-2.111635 53.541194,-2.111578 53.541177,-2.111413 53.540870,-2.110885 53.540961,-2.111210 53.541493,-2.111513 53.541912,-2.111511 53.542013,-2.113807 53.542011,-2.113918 53.542560)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.16,,,2020-12-15,"MULTIPOLYGON (((-2.002090 53.536517,-2.002101 53.536664,-2.000894 53.537294,-1.999590 53.536689,-1.999423 53.536785,-1.999190 53.536857,-1.998860 53.537041,-1.998665 53.536952,-1.998485 53.537124,-1.998172 53.536731,-1.997636 53.536430,-1.997275 53.535598,-1.997992 53.535081,-1.998162 53.535134,-1.998540 53.535179,-1.998770 53.534933,-1.998690 53.534817,-1.999250 53.534703,-2.000077 53.534798,-2.001301 53.535320,-2.001165 53.535415,-2.000473 53.535710,-2.000446 53.535765,-2.000453 53.535873,-2.000647 53.536002,-2.000985 53.536151,-2.001235 53.536099,-2.001346 53.536213,-2.001558 53.536225,-2.001690 53.536457,-2.002101 53.536472,-2.002090 53.536517)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.17,,,2020-12-15,"MULTIPOLYGON (((-1.991670 53.581106,-1.994613 53.579967,-1.995185 53.580352,-1.996101 53.581470,-1.994908 53.582497,-1.993388 53.581762,-1.992568 53.581470,-1.991813 53.581501,-1.991774 53.581290,-1.991670 53.581106)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.18,,,2020-12-15,"MULTIPOLYGON (((-2.022495 53.555668,-2.022143 53.555795,-2.022011 53.555673,-2.021122 53.555920,-2.020762 53.555719,-2.020445 53.555642,-2.019969 53.555625,-2.019771 53.555265,-2.019661 53.554947,-2.020457 53.554682,-2.020447 53.554510,-2.019812 53.553988,-2.018583 53.554518,-2.018868 53.554093,-2.018927 53.553762,-2.018898 53.553703,-2.018756 53.553520,-2.018295 53.553345,-2.018119 53.553332,-2.017985 53.553078,-2.017878 53.552968,-2.017620 53.552849,-2.017475 53.552722,-2.018214 53.552884,-2.018915 53.553107,-2.019418 53.553306,-2.019414 53.553342,-2.020140 53.553680,-2.020507 53.553889,-2.020933 53.553751,-2.021165 53.553986,-2.020803 53.554085,-2.020932 53.554185,-2.020969 53.554213,-2.021709 53.554312,-2.022355 53.554854,-2.021959 53.555096,-2.022495 53.555668)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.19,,,2020-12-15,"MULTIPOLYGON (((-1.995878 53.558346,-1.994681 53.557923,-1.995066 53.557375,-1.995251 53.557313,-1.995511 53.556828,-1.996121 53.556337,-1.996488 53.556120,-1.996833 53.556162,-1.997104 53.556261,-1.997436 53.556454,-1.997603 53.556690,-1.997686 53.556924,-1.997658 53.556951,-1.997711 53.556985,-1.998025 53.556859,-1.998452 53.557067,-1.998219 53.557414,-1.998032 53.557869,-1.997656 53.558227,-1.997189 53.558019,-1.997245 53.557935,-1.996509 53.557670,-1.995878 53.558346)))",Polygon,local-authority-eng:OLD,
Conservation_Areas.2.20,,,2020-12-15,"MULTIPOLYGON (((-2.024116 53.577393,-2.022887 53.578096,-2.022206 53.578012,-2.021666 53.578099,-2.021266 53.578216,-2.021102 53.578204,-2.021031 53.577985,-2.020605 53.577702,-2.020330 53.577606,-2.020367 53.577545,-2.020294 53.577488,-2.020114 53.577393,-2.019874 53.577367,-2.019857 53.577287,-2.020491 53.576958,-2.020516 53.576646,-2.020601 53.576438,-2.020603 53.576321,-2.022083 53.576576,-2.022375 53.576658,-2.022903 53.576897,-2.023515 53.577324,-2.023635 53.577242,-2.023791 53.577323,-2.024116 53.577393)))",Polygon,local-authority-eng:OLD,
