geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
conservation-area:1,Daresbury,1,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.632272 53.342064,-2.632000 53.342246,-2.630564 53.342248,-2.631010 53.341861,-2.631736 53.341325,-2.630235 53.341062,-2.630382 53.340834,-2.630624 53.340780,-2.630643 53.340751,-2.630565 53.340685,-2.630569 53.340656,-2.630716 53.340444,-2.630946 53.340199,-2.631385 53.340299,-2.631711 53.339838,-2.632658 53.340090,-2.632914 53.339578,-2.632886 53.339572,-2.632938 53.339466,-2.632883 53.339455,-2.632928 53.339358,-2.632926 53.339175,-2.633046 53.338655,-2.633644 53.338665,-2.633816 53.338420,-2.634336 53.337360,-2.634501 53.337110,-2.634541 53.337110,-2.634560 53.337074,-2.635471 53.337125,-2.636015 53.336624,-2.637045 53.336812,-2.636267 53.338513,-2.635657 53.339521,-2.635132 53.340178,-2.634726 53.340523,-2.634311 53.340810,-2.633800 53.341136,-2.633067 53.341515,-2.632272 53.342064)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/1
conservation-area:2,Moore,2,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.636788 53.355180,-2.636566 53.355051,-2.634656 53.354445,-2.634469 53.354320,-2.633950 53.355283,-2.632576 53.354902,-2.631608 53.355792,-2.629762 53.357238,-2.629671 53.357191,-2.630008 53.356589,-2.629824 53.356548,-2.629577 53.356442,-2.629878 53.356211,-2.630278 53.355826,-2.629189 53.355599,-2.629324 53.355329,-2.629639 53.355405,-2.630029 53.354873,-2.630113 53.354895,-2.630323 53.354604,-2.630274 53.354593,-2.630386 53.354414,-2.630503 53.354320,-2.630239 53.354235,-2.630147 53.354123,-2.630085 53.353976,-2.630577 53.353724,-2.631140 53.353581,-2.631196 53.353548,-2.631283 53.353399,-2.631387 53.353336,-2.631342 53.353062,-2.631412 53.352863,-2.631215 53.352841,-2.631343 53.352506,-2.632176 53.352623,-2.632233 53.352511,-2.632692 53.352005,-2.635545 53.352806,-2.637117 53.351257,-2.637200 53.351242,-2.637707 53.351690,-2.637891 53.351919,-2.637998 53.351955,-2.638106 53.352388,-2.638433 53.353215,-2.638442 53.353328,-2.638406 53.353463,-2.638261 53.353726,-2.638780 53.353845,-2.638675 53.353945,-2.636788 53.355180)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/2
conservation-area:3,Hale Road,3,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.818057 53.336533,-2.818072 53.336628,-2.818011 53.336921,-2.817406 53.336814,-2.816510 53.336573,-2.816037 53.336520,-2.815695 53.336517,-2.815624 53.337082,-2.814746 53.336966,-2.814820 53.336553,-2.812551 53.336282,-2.809097 53.336083,-2.808998 53.336529,-2.808291 53.336540,-2.805577 53.336824,-2.805277 53.336754,-2.804935 53.337079,-2.804730 53.337016,-2.805106 53.336576,-2.805702 53.336429,-2.805693 53.335531,-2.805851 53.335249,-2.806389 53.335385,-2.807897 53.335948,-2.807856 53.335707,-2.807867 53.335416,-2.807113 53.335050,-2.808524 53.334853,-2.808904 53.334751,-2.808891 53.334708,-2.809165 53.334613,-2.809676 53.334359,-2.809974 53.334306,-2.810485 53.334309,-2.810478 53.334339,-2.810874 53.334379,-2.811849 53.334624,-2.812157 53.334640,-2.812546 53.334550,-2.812730 53.334466,-2.812825 53.334337,-2.813719 53.334080,-2.814913 53.333878,-2.816312 53.333776,-2.816700 53.333891,-2.816768 53.333809,-2.816923 53.333779,-2.816995 53.333793,-2.817121 53.333924,-2.817094 53.333997,-2.816962 53.334034,-2.817036 53.334105,-2.816954 53.334173,-2.816778 53.334438,-2.816552 53.335386,-2.816637 53.335759,-2.816751 53.336038,-2.816836 53.336116,-2.816993 53.336187,-2.817529 53.336384,-2.818057 53.336533)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/3
conservation-area:4,Hale Village,4,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.800712 53.336013,-2.800577 53.336147,-2.799244 53.335708,-2.798775 53.336009,-2.797759 53.335759,-2.796001 53.335268,-2.795158 53.335110,-2.795725 53.334271,-2.795031 53.334210,-2.795071 53.334073,-2.794657 53.334028,-2.794810 53.333488,-2.794192 53.333371,-2.794526 53.333086,-2.794534 53.332279,-2.795830 53.332201,-2.796290 53.332069,-2.796449 53.332611,-2.796488 53.332868,-2.797446 53.333087,-2.797805 53.333317,-2.798240 53.333683,-2.799479 53.334260,-2.799561 53.334352,-2.799610 53.334502,-2.799600 53.334625,-2.799669 53.334648,-2.799782 53.334535,-2.799878 53.334490,-2.800192 53.334474,-2.800793 53.334542,-2.801012 53.334646,-2.801099 53.334700,-2.801204 53.334850,-2.801400 53.334934,-2.801401 53.334972,-2.801225 53.335312,-2.800712 53.336013)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/4
conservation-area:5,Halebank,5,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.790713 53.354467,-2.789326 53.354118,-2.788689 53.353865,-2.788377 53.354499,-2.788070 53.354451,-2.788087 53.354401,-2.787446 53.354295,-2.787562 53.354066,-2.788128 53.353624,-2.787137 53.353148,-2.786644 53.353562,-2.785836 53.353287,-2.785347 53.353166,-2.785076 53.353034,-2.784712 53.352931,-2.784817 53.352056,-2.786471 53.352725,-2.786655 53.352691,-2.787728 53.353097,-2.787830 53.353005,-2.791442 53.354086,-2.791311 53.354241,-2.790911 53.354127,-2.790713 53.354467)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/5
conservation-area:6,Halton,6,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.693227 53.335331,-2.693447 53.335383,-2.694327 53.334351,-2.693908 53.334243,-2.694022 53.334133,-2.694132 53.333864,-2.694716 53.333640,-2.694467 53.333493,-2.694403 53.333363,-2.694460 53.332556,-2.694564 53.331995,-2.693957 53.332032,-2.693834 53.332479,-2.693322 53.332438,-2.693299 53.332461,-2.693113 53.332423,-2.693115 53.332534,-2.692840 53.333137,-2.692630 53.333135,-2.692543 53.333506,-2.692492 53.333774,-2.692770 53.333793,-2.692707 53.334156,-2.692117 53.334118,-2.691922 53.334249,-2.691885 53.334310,-2.691426 53.334160,-2.691262 53.334064,-2.690863 53.333556,-2.690880 53.333394,-2.690943 53.333253,-2.691183 53.332964,-2.691121 53.332950,-2.691188 53.332787,-2.691731 53.331994,-2.692040 53.331483,-2.692128 53.331177,-2.692236 53.331186,-2.692480 53.330549,-2.692703 53.330464,-2.692731 53.330298,-2.693449 53.330275,-2.694348 53.330411,-2.694500 53.330224,-2.696053 53.330691,-2.696712 53.330818,-2.697120 53.331016,-2.697543 53.331150,-2.697974 53.331513,-2.698730 53.331474,-2.698730 53.331901,-2.697517 53.331902,-2.697527 53.332103,-2.697930 53.332143,-2.697835 53.332467,-2.697487 53.332483,-2.697505 53.332631,-2.697476 53.332747,-2.697871 53.332818,-2.697752 53.333055,-2.697809 53.333272,-2.697697 53.333497,-2.697652 53.333482,-2.697261 53.333861,-2.697387 53.333896,-2.696965 53.334283,-2.696886 53.334394,-2.696465 53.334728,-2.696350 53.334779,-2.696269 53.334750,-2.695979 53.335220,-2.695886 53.335311,-2.695392 53.335210,-2.695301 53.335340,-2.694905 53.335248,-2.694534 53.335677,-2.693661 53.335400,-2.693469 53.335650,-2.693408 53.335841,-2.693405 53.336016,-2.692800 53.336002,-2.693227 53.335331)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/6
conservation-area:7,Higher Runcorn,7,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.740832 53.334688,-2.740729 53.334732,-2.740576 53.334900,-2.739397 53.334308,-2.739100 53.334035,-2.738614 53.334340,-2.738127 53.334059,-2.738345 53.333918,-2.737839 53.333591,-2.738316 53.333405,-2.738424 53.333226,-2.738597 53.333139,-2.738602 53.333050,-2.738807 53.332866,-2.738930 53.332838,-2.739387 53.332621,-2.739446 53.332644,-2.739493 53.332379,-2.739292 53.332380,-2.739295 53.332016,-2.739566 53.331969,-2.739776 53.331475,-2.739878 53.331487,-2.739858 53.331573,-2.739934 53.331646,-2.740570 53.332046,-2.740721 53.331991,-2.741273 53.332039,-2.741186 53.332432,-2.740965 53.332644,-2.742107 53.332511,-2.742306 53.332404,-2.742726 53.332537,-2.742533 53.332741,-2.742821 53.332841,-2.742553 53.333114,-2.742180 53.332961,-2.741687 53.333400,-2.741374 53.333312,-2.741195 53.333485,-2.741849 53.333764,-2.741998 53.334074,-2.741961 53.334230,-2.741578 53.334236,-2.741298 53.334199,-2.741366 53.334485,-2.740832 53.334688)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/7
conservation-area:8,Victoria Square,8,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.731365 53.363045,-2.731053 53.362891,-2.730754 53.362850,-2.730775 53.362714,-2.730293 53.362644,-2.730115 53.362238,-2.730912 53.362318,-2.730835 53.362023,-2.731277 53.361990,-2.731116 53.361318,-2.732305 53.361215,-2.732426 53.361753,-2.732679 53.361736,-2.732670 53.361692,-2.733238 53.361638,-2.733189 53.361440,-2.733417 53.361416,-2.733444 53.361347,-2.733789 53.361321,-2.733841 53.361538,-2.734216 53.361611,-2.734385 53.361750,-2.734403 53.361820,-2.734351 53.361934,-2.733942 53.362304,-2.733898 53.362376,-2.733786 53.363532,-2.732390 53.363471,-2.732489 53.363004,-2.732171 53.363021,-2.731921 53.363448,-2.731483 53.363356,-2.731344 53.363594,-2.731046 53.363530,-2.731365 53.363045)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/8
conservation-area:9,West Bank Promenade,9,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.736878 53.348174,-2.736795 53.348294,-2.736460 53.348218,-2.736396 53.348324,-2.735441 53.348096,-2.735486 53.348036,-2.735450 53.348005,-2.734754 53.348034,-2.733872 53.348146,-2.733567 53.348210,-2.733391 53.348493,-2.733776 53.348592,-2.733518 53.349003,-2.733089 53.348913,-2.732974 53.349104,-2.732848 53.349082,-2.732720 53.349270,-2.732253 53.349174,-2.732239 53.349218,-2.731575 53.349088,-2.731930 53.348832,-2.732240 53.348411,-2.732823 53.348042,-2.733988 53.347819,-2.734484 53.347756,-2.735530 53.347697,-2.735823 53.347730,-2.735845 53.347702,-2.735974 53.347706,-2.736756 53.347859,-2.736949 53.347937,-2.736934 53.348059,-2.736878 53.348174)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/9
conservation-area:10,Weston Village,10,local-authority-eng:HAL,,"MULTIPOLYGON (((-2.737815 53.317626,-2.737606 53.317396,-2.738557 53.317387,-2.738989 53.317447,-2.739001 53.317476,-2.739915 53.317597,-2.740556 53.317824,-2.740972 53.318030,-2.741620 53.318472,-2.741159 53.318699,-2.741172 53.318717,-2.740592 53.319038,-2.740524 53.318992,-2.740355 53.319086,-2.740727 53.319193,-2.740744 53.319277,-2.740061 53.319588,-2.740173 53.319669,-2.739981 53.319780,-2.739670 53.319842,-2.739486 53.319804,-2.739026 53.319832,-2.739059 53.319698,-2.738731 53.319657,-2.738865 53.319315,-2.738518 53.319318,-2.738477 53.319161,-2.737988 53.319216,-2.737875 53.318857,-2.737545 53.318935,-2.737647 53.318781,-2.737350 53.318828,-2.737353 53.318783,-2.737166 53.318463,-2.736632 53.318500,-2.736615 53.318461,-2.736371 53.318512,-2.736237 53.318106,-2.736822 53.318056,-2.737563 53.318048,-2.738075 53.317969,-2.737815 53.317626)))",2020-09-11,,,/conservation-area/local-authority-eng/HAL/10
