name,conservation-area,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
Ewell Village (Seymour Mews),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.245893 51.346869,-0.245648 51.346771,-0.245666 51.346675,-0.245839 51.346375,-0.246017 51.346177,-0.246709 51.346627,-0.246315 51.346841,-0.246276 51.346813,-0.246102 51.346909,-0.245896 51.346814,-0.245893 51.346869)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Ewell Village (Elm Road),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.250817 51.357390,-0.250885 51.357323,-0.251021 51.357384,-0.251202 51.357219,-0.251505 51.357354,-0.251196 51.357682,-0.250708 51.357497,-0.250817 51.357390)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Lintons Lane,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.260625 51.338290,-0.260603 51.338273,-0.260864 51.338128,-0.260677 51.337993,-0.260201 51.338226,-0.259938 51.338021,-0.258692 51.338685,-0.258397 51.338467,-0.258463 51.338421,-0.259678 51.337772,-0.259534 51.337663,-0.259913 51.337463,-0.259848 51.337421,-0.260249 51.337234,-0.260526 51.337064,-0.260679 51.337077,-0.260945 51.336904,-0.262348 51.337768,-0.261381 51.338351,-0.261224 51.338244,-0.261170 51.338264,-0.260898 51.338131,-0.260625 51.338290),(-0.261173 51.338091,-0.261296 51.338170,-0.261475 51.338058,-0.261164 51.337861,-0.260988 51.337975,-0.261173 51.338091),(-0.261235 51.337861,-0.261579 51.338081,-0.261857 51.337910,-0.260604 51.337135,-0.260549 51.337137,-0.260329 51.337277,-0.261235 51.337861),(-0.260091 51.337916,-0.259800 51.337707,-0.259469 51.337886,-0.259449 51.337928,-0.259381 51.337933,-0.259258 51.338019,-0.258460 51.338425,-0.258439 51.338467,-0.258699 51.338658,-0.260091 51.337916)),((-0.260603 51.338273,-0.260524 51.338215,-0.260525 51.338214,-0.260603 51.338273)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Pikes Hill,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.257307 51.334015,-0.257267 51.334009,-0.257026 51.334145,-0.256770 51.333770,-0.257094 51.333632,-0.257409 51.333613,-0.256855 51.333068,-0.256774 51.333025,-0.256803 51.333015,-0.256611 51.332859,-0.257194 51.332627,-0.256429 51.332062,-0.256785 51.331846,-0.257313 51.332232,-0.257557 51.332097,-0.257614 51.332008,-0.258123 51.332106,-0.258306 51.331976,-0.258444 51.331929,-0.259246 51.331888,-0.259165 51.331901,-0.257728 51.332856,-0.257628 51.333024,-0.257563 51.333266,-0.258524 51.334199,-0.259633 51.334568,-0.259681 51.334738,-0.257272 51.334983,-0.257034 51.334881,-0.257155 51.334388,-0.257342 51.334021,-0.257307 51.334015),(-0.257575 51.332103,-0.257320 51.332238,-0.257498 51.332373,-0.257416 51.332468,-0.257250 51.332561,-0.257530 51.332757,-0.257581 51.332735,-0.257671 51.332525,-0.257888 51.332169,-0.257575 51.332103)),((-0.255382 51.333933,-0.257077 51.333288,-0.257083 51.333294,-0.255387 51.333939,-0.255382 51.333933)),((-0.255595 51.334248,-0.255641 51.334228,-0.255646 51.334234,-0.255600 51.334253,-0.255595 51.334248)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
West Park (Epsom),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.303706 51.338648,-0.302955 51.338743,-0.302596 51.338483,-0.302115 51.338216,-0.301974 51.338140,-0.301826 51.338117,-0.301840 51.337999,-0.301688 51.337766,-0.300930 51.337802,-0.300775 51.337682,-0.298389 51.338073,-0.298484 51.338293,-0.297637 51.338456,-0.297622 51.338499,-0.297792 51.338881,-0.297611 51.338926,-0.297759 51.339253,-0.297672 51.339299,-0.296625 51.339533,-0.296300 51.339358,-0.295890 51.339197,-0.295602 51.339032,-0.294966 51.338532,-0.295149 51.338316,-0.294080 51.338722,-0.293519 51.338782,-0.292927 51.338760,-0.292740 51.338673,-0.292527 51.338508,-0.291965 51.337648,-0.291381 51.336505,-0.291285 51.335716,-0.291347 51.335593,-0.291498 51.335539,-0.292563 51.335339,-0.292754 51.335335,-0.293862 51.335411,-0.295234 51.335431,-0.298249 51.335892,-0.302012 51.337082,-0.302757 51.337454,-0.303577 51.338194,-0.303706 51.338648)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Higher Green/Longdown Lane,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.247836 51.332979,-0.247940 51.333147,-0.247062 51.333883,-0.246337 51.333943,-0.246001 51.333770,-0.245535 51.334104,-0.244794 51.334288,-0.244081 51.334535,-0.243957 51.334543,-0.243922 51.334483,-0.242738 51.335336,-0.242203 51.334836,-0.243010 51.334289,-0.242920 51.334212,-0.243503 51.333800,-0.242903 51.333233,-0.243293 51.332856,-0.243284 51.332661,-0.243483 51.332300,-0.243443 51.331662,-0.243283 51.330992,-0.244089 51.330855,-0.244337 51.330878,-0.244950 51.330533,-0.247616 51.332627,-0.247836 51.332979)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Horton (Epsom),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.285785 51.343470,-0.286646 51.343006,-0.287048 51.342924,-0.287201 51.342952,-0.287389 51.343082,-0.287698 51.343472,-0.287766 51.343630,-0.287728 51.343716,-0.287627 51.343792,-0.287076 51.343975,-0.286573 51.344254,-0.285818 51.345221,-0.285636 51.345146,-0.285117 51.345277,-0.284883 51.345372,-0.284523 51.345661,-0.284372 51.345731,-0.284134 51.345779,-0.283605 51.345737,-0.282825 51.345557,-0.281815 51.345371,-0.281505 51.345192,-0.281556 51.345061,-0.281922 51.344877,-0.281972 51.344856,-0.282071 51.344941,-0.282810 51.344628,-0.282714 51.344542,-0.282966 51.344436,-0.282716 51.344214,-0.283376 51.343923,-0.283646 51.344124,-0.284011 51.343971,-0.283864 51.343798,-0.283957 51.343763,-0.283914 51.343711,-0.284365 51.343490,-0.284621 51.343696,-0.284782 51.343623,-0.284809 51.343719,-0.284937 51.343710,-0.285048 51.343818,-0.285806 51.343490,-0.285785 51.343470)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
The Green/Ewell Downs Road,conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.245535 51.334104,-0.246001 51.333770,-0.246337 51.333943,-0.246331 51.334088,-0.246521 51.334397,-0.246315 51.334577,-0.247505 51.335936,-0.250979 51.339788,-0.249192 51.340909,-0.249153 51.340878,-0.248990 51.340960,-0.248872 51.341036,-0.248913 51.341083,-0.247595 51.341908,-0.244426 51.337972,-0.243688 51.336545,-0.243533 51.336384,-0.242738 51.335336,-0.243922 51.334483,-0.243957 51.334543,-0.244081 51.334535,-0.244794 51.334288,-0.245535 51.334104)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Church Street (Epsom),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.259391 51.332922,-0.259241 51.332794,-0.259204 51.332811,-0.258868 51.332526,-0.259751 51.332117,-0.259449 51.331866,-0.258444 51.331929,-0.258306 51.331976,-0.258123 51.332106,-0.257614 51.332008,-0.257553 51.331955,-0.257587 51.331867,-0.257611 51.331328,-0.257825 51.331194,-0.258080 51.331195,-0.258170 51.331132,-0.258021 51.330233,-0.258058 51.330102,-0.258142 51.329975,-0.258422 51.329761,-0.259076 51.329530,-0.259393 51.329814,-0.259994 51.329399,-0.260033 51.329604,-0.260386 51.329840,-0.261601 51.330464,-0.262058 51.330616,-0.262744 51.330668,-0.262859 51.330422,-0.263113 51.330463,-0.263192 51.330304,-0.264178 51.330409,-0.264184 51.330384,-0.264469 51.330407,-0.264385 51.330736,-0.264510 51.330698,-0.264129 51.331849,-0.264362 51.331886,-0.264105 51.332438,-0.263302 51.332211,-0.263323 51.332168,-0.262086 51.331720,-0.261838 51.331889,-0.261512 51.332002,-0.261641 51.332121,-0.260960 51.332422,-0.260689 51.332200,-0.260274 51.332403,-0.260407 51.332499,-0.260385 51.332509,-0.260413 51.332605,-0.260183 51.332682,-0.259955 51.333105,-0.259783 51.333200,-0.259702 51.333229,-0.259355 51.332940,-0.259391 51.332922)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
Lintons Lane (Part),conservationareas,local-authority-eng:EPS,,"MULTIPOLYGON (((-0.259156 51.338052,-0.259381 51.337933,-0.259449 51.337928,-0.259469 51.337886,-0.259800 51.337707,-0.260091 51.337916,-0.258699 51.338658,-0.258439 51.338467,-0.258460 51.338425,-0.259156 51.338052)),((-0.260387 51.337242,-0.260549 51.337137,-0.260612 51.337139,-0.261857 51.337910,-0.261579 51.338081,-0.260329 51.337277,-0.260387 51.337242)),((-0.261121 51.337886,-0.261164 51.337861,-0.261475 51.338075,-0.261296 51.338170,-0.260988 51.337975,-0.261121 51.337886)),((-0.260603 51.338273,-0.260402 51.338127,-0.260677 51.337993,-0.260862 51.338118,-0.260603 51.338273)))",2020-09-06,,,/conservation-area/local-authority-eng/EPS/conservationareas
