name,geography,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
Ellesmere Park,conservation-area:12,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.340291 53.488842,-2.340268 53.488832,-2.340227 53.488180,-2.341316 53.488158,-2.341246 53.487413,-2.339913 53.487582,-2.338503 53.487669,-2.338375 53.487701,-2.337695 53.488060,-2.337141 53.488227,-2.336330 53.488357,-2.336236 53.488152,-2.336177 53.488160,-2.336105 53.487967,-2.335515 53.488052,-2.335488 53.488000,-2.334829 53.488126,-2.335027 53.488575,-2.335324 53.488994,-2.335159 53.489101,-2.335572 53.489418,-2.335097 53.489611,-2.335370 53.489881,-2.335250 53.489976,-2.335661 53.490058,-2.335775 53.489830,-2.336312 53.489890,-2.336220 53.490041,-2.336207 53.490561,-2.336455 53.490644,-2.335754 53.491162,-2.336261 53.491398,-2.336143 53.491486,-2.336538 53.491676,-2.336334 53.491823,-2.337209 53.492238,-2.338352 53.491409,-2.339152 53.491800,-2.340040 53.491144,-2.340297 53.491267,-2.340934 53.490766,-2.341510 53.491037,-2.342127 53.490579,-2.341296 53.490192,-2.342799 53.489072,-2.342047 53.488704,-2.341563 53.489066,-2.340685 53.488647,-2.340357 53.488872,-2.340291 53.488842)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/12
Radcliffe Park Road,conservation-area:2,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.317686 53.499521,-2.317219 53.499240,-2.317534 53.499056,-2.317702 53.498908,-2.317752 53.498810,-2.317750 53.498621,-2.317680 53.498463,-2.317665 53.498289,-2.316731 53.498558,-2.316888 53.498752,-2.315318 53.499313,-2.315253 53.499234,-2.314391 53.499580,-2.314258 53.499561,-2.314048 53.499649,-2.314232 53.499804,-2.314902 53.500627,-2.315227 53.500599,-2.315294 53.500465,-2.315446 53.500323,-2.315969 53.500136,-2.316251 53.499980,-2.317397 53.500312,-2.317534 53.500206,-2.317317 53.500070,-2.317308 53.500034,-2.317929 53.499672,-2.317686 53.499521)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/2
Monton Green,conservation-area:15,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.357177 53.493117,-2.356430 53.492408,-2.356066 53.492135,-2.357976 53.492138,-2.357607 53.491986,-2.356935 53.491640,-2.357056 53.491444,-2.357481 53.491021,-2.357155 53.490879,-2.356463 53.491354,-2.355661 53.491707,-2.354360 53.492041,-2.353963 53.492035,-2.353650 53.491949,-2.353479 53.492102,-2.353534 53.492219,-2.353523 53.492319,-2.353476 53.492418,-2.353376 53.492518,-2.352854 53.492707,-2.351899 53.492994,-2.352019 53.493152,-2.353045 53.493064,-2.353642 53.492888,-2.353852 53.493199,-2.354374 53.493084,-2.354466 53.493319,-2.355053 53.493334,-2.355377 53.493532,-2.357241 53.493175,-2.357177 53.493117)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/15
St. Mark's,conservation-area:16,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.386115 53.502634,-2.385954 53.502416,-2.385933 53.502212,-2.386014 53.502119,-2.386508 53.501883,-2.386675 53.501742,-2.387259 53.500599,-2.387322 53.500408,-2.387334 53.500210,-2.387286 53.500045,-2.387182 53.499892,-2.387035 53.499760,-2.386860 53.499661,-2.386411 53.499520,-2.385879 53.499499,-2.385344 53.499627,-2.385118 53.499740,-2.384946 53.499875,-2.384486 53.500404,-2.383536 53.501772,-2.383073 53.502350,-2.382750 53.502631,-2.381807 53.503275,-2.381896 53.503397,-2.381418 53.503498,-2.383511 53.503681,-2.384986 53.503650,-2.386033 53.503674,-2.385902 53.503266,-2.386107 53.502744,-2.386115 53.502634)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/16
The Cathedral,conservation-area:8,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.243794 53.487244,-2.243767 53.487186,-2.244173 53.487111,-2.244446 53.487016,-2.244571 53.487134,-2.245159 53.486948,-2.245750 53.486646,-2.245790 53.486581,-2.245444 53.486431,-2.245407 53.486366,-2.246762 53.485913,-2.246404 53.485605,-2.246877 53.485394,-2.246065 53.484902,-2.245431 53.484602,-2.245199 53.484544,-2.244310 53.484427,-2.243890 53.484416,-2.242727 53.484745,-2.242404 53.484746,-2.242042 53.485175,-2.241287 53.486175,-2.241751 53.486544,-2.242019 53.486467,-2.242233 53.486721,-2.243108 53.487488,-2.243794 53.487244)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/8
The Cliff,conservation-area:13,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.266571 53.500207,-2.266431 53.500025,-2.266088 53.500116,-2.266351 53.500443,-2.266342 53.500580,-2.266703 53.500585,-2.266685 53.501135,-2.266577 53.501824,-2.266582 53.501925,-2.266826 53.501955,-2.266716 53.502236,-2.267538 53.502304,-2.267626 53.502080,-2.268037 53.502132,-2.267863 53.502642,-2.267538 53.502588,-2.267490 53.502732,-2.267311 53.502711,-2.267296 53.502933,-2.266453 53.502826,-2.266230 53.503161,-2.265652 53.503400,-2.265753 53.503644,-2.265753 53.503762,-2.265706 53.503875,-2.265582 53.504024,-2.265191 53.504366,-2.264301 53.504997,-2.263875 53.505467,-2.263680 53.505787,-2.263516 53.506210,-2.263392 53.506291,-2.262636 53.509166,-2.262989 53.509279,-2.264784 53.508713,-2.264702 53.508313,-2.264808 53.508095,-2.265195 53.507841,-2.265766 53.507638,-2.266104 53.507456,-2.266443 53.507338,-2.266996 53.507081,-2.267691 53.506685,-2.268030 53.506577,-2.268992 53.506117,-2.270077 53.505219,-2.270806 53.504514,-2.270983 53.504279,-2.271088 53.503874,-2.271226 53.503053,-2.271259 53.502562,-2.271593 53.501687,-2.271588 53.500973,-2.271375 53.500436,-2.270215 53.500354,-2.270419 53.499963,-2.270419 53.499878,-2.270365 53.499835,-2.269900 53.499879,-2.269874 53.499714,-2.267456 53.499979,-2.267500 53.500132,-2.267114 53.500236,-2.266571 53.500207)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/13
Roe Green / Beesley Green,conservation-area:4,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.381766 53.512963,-2.381909 53.512699,-2.380957 53.512659,-2.380994 53.512480,-2.381059 53.512344,-2.381339 53.512123,-2.381428 53.512151,-2.381836 53.511825,-2.382009 53.511768,-2.382180 53.511606,-2.382193 53.511471,-2.382404 53.511274,-2.384071 53.511485,-2.385027 53.511568,-2.385137 53.511295,-2.385052 53.511274,-2.385151 53.511044,-2.385091 53.510082,-2.384463 53.510236,-2.384376 53.509997,-2.384390 53.509738,-2.384150 53.509485,-2.383740 53.509632,-2.383586 53.509486,-2.383491 53.509461,-2.383397 53.509373,-2.383155 53.509431,-2.382735 53.509254,-2.382420 53.509196,-2.381923 53.508929,-2.381860 53.508680,-2.381771 53.508491,-2.381866 53.508317,-2.381860 53.508252,-2.382211 53.508092,-2.382145 53.508023,-2.382152 53.507897,-2.382779 53.507311,-2.382833 53.507149,-2.382726 53.506989,-2.380831 53.506472,-2.380536 53.506422,-2.380350 53.506439,-2.380000 53.506549,-2.378625 53.506854,-2.377096 53.506764,-2.376833 53.506642,-2.375098 53.507727,-2.374597 53.507989,-2.373741 53.508533,-2.374012 53.509090,-2.374302 53.509352,-2.374205 53.509395,-2.374047 53.509380,-2.374084 53.509452,-2.374209 53.509534,-2.374267 53.509614,-2.374285 53.509825,-2.374390 53.509912,-2.374328 53.510007,-2.374359 53.510043,-2.374653 53.509988,-2.374736 53.510056,-2.374636 53.510075,-2.374841 53.510348,-2.375203 53.510240,-2.375300 53.510470,-2.374870 53.510593,-2.374985 53.510737,-2.375108 53.510714,-2.375191 53.510962,-2.374976 53.510985,-2.375045 53.511249,-2.374931 53.511425,-2.374434 53.511514,-2.374493 53.511632,-2.374501 53.511884,-2.374385 53.512288,-2.374515 53.512423,-2.374684 53.512521,-2.374823 53.512569,-2.374903 53.512551,-2.375079 53.512598,-2.375423 53.512478,-2.376131 53.512450,-2.376145 53.512481,-2.376700 53.512385,-2.376547 53.512586,-2.376151 53.512667,-2.376578 53.513124,-2.376975 53.513385,-2.377413 53.513145,-2.377247 53.513084,-2.377025 53.512947,-2.376917 53.512931,-2.376990 53.512890,-2.376932 53.512851,-2.377195 53.512703,-2.377154 53.512677,-2.377297 53.512573,-2.377343 53.512594,-2.377579 53.512414,-2.378284 53.511815,-2.378610 53.511905,-2.378635 53.511877,-2.379137 53.512067,-2.379242 53.512115,-2.379216 53.512137,-2.379439 53.512227,-2.379273 53.512449,-2.379498 53.512504,-2.379672 53.512524,-2.379701 53.512496,-2.379859 53.512536,-2.380016 53.512655,-2.380145 53.512931,-2.380266 53.513059,-2.380605 53.513015,-2.381062 53.513147,-2.381335 53.513157,-2.381629 53.513094,-2.381766 53.512963)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/4
Barton-upon-Irwell,conservation-area:5,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.351981 53.474604,-2.352209 53.474779,-2.351761 53.474889,-2.351724 53.474928,-2.351745 53.474957,-2.351815 53.474969,-2.352310 53.474856,-2.352534 53.475027,-2.352328 53.475127,-2.352105 53.475310,-2.351650 53.475383,-2.350882 53.475407,-2.350957 53.475531,-2.351536 53.475479,-2.351612 53.475603,-2.351569 53.475619,-2.351619 53.475674,-2.351801 53.475703,-2.352552 53.475418,-2.352766 53.475699,-2.351631 53.476033,-2.351680 53.476110,-2.351859 53.476079,-2.351920 53.476185,-2.352217 53.476481,-2.352549 53.476375,-2.352850 53.476620,-2.353188 53.476424,-2.352883 53.476270,-2.353615 53.475921,-2.354026 53.476335,-2.354161 53.476626,-2.354172 53.476875,-2.353941 53.477297,-2.353979 53.477332,-2.354116 53.477276,-2.354572 53.477234,-2.354819 53.477137,-2.355030 53.477009,-2.355000 53.476892,-2.356334 53.476340,-2.356039 53.476083,-2.355708 53.476243,-2.355620 53.476166,-2.355373 53.476097,-2.355187 53.475887,-2.355158 53.475482,-2.355686 53.475267,-2.355645 53.475217,-2.356089 53.475019,-2.356357 53.474862,-2.356588 53.475072,-2.356928 53.474924,-2.357106 53.475186,-2.357781 53.474954,-2.357421 53.474597,-2.356794 53.474808,-2.356512 53.474574,-2.356115 53.474750,-2.355709 53.474269,-2.354743 53.474547,-2.353708 53.474783,-2.353538 53.474569,-2.353979 53.474459,-2.353994 53.474407,-2.353911 53.474386,-2.353480 53.474481,-2.353256 53.474143,-2.353992 53.473935,-2.354428 53.473750,-2.354762 53.473653,-2.354819 53.473587,-2.355304 53.473469,-2.355422 53.473491,-2.355398 53.473419,-2.355635 53.473348,-2.356075 53.473282,-2.354653 53.472569,-2.353917 53.472769,-2.353547 53.473247,-2.353437 53.473162,-2.353348 53.473155,-2.353246 53.473204,-2.352798 53.472880,-2.351955 53.473273,-2.351876 53.473187,-2.351811 53.473049,-2.351721 53.473305,-2.351885 53.473666,-2.351439 53.473864,-2.351143 53.474086,-2.351673 53.474419,-2.351777 53.474449,-2.351981 53.474604)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/5
Irlams o'th' Height,conservation-area:14,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.308966 53.499890,-2.309055 53.499955,-2.308676 53.500125,-2.308874 53.500288,-2.309021 53.500227,-2.309170 53.500336,-2.309337 53.500278,-2.309459 53.500376,-2.310135 53.500109,-2.310006 53.500005,-2.310268 53.499894,-2.310421 53.500022,-2.310622 53.499940,-2.310398 53.499152,-2.308989 53.499522,-2.308669 53.499680,-2.308966 53.499890)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/14
St. Augustine's,conservation-area:7,local-authority-eng:SLF,,"MULTIPOLYGON (((-2.321548 53.511659,-2.321890 53.511830,-2.322340 53.512109,-2.323000 53.511711,-2.322901 53.511663,-2.322789 53.511656,-2.323844 53.510722,-2.322643 53.510298,-2.321424 53.510743,-2.321160 53.511064,-2.321150 53.511217,-2.320966 53.511447,-2.321548 53.511659)))",2021-03-04,,,/conservation-area/local-authority-eng/SLF/7
