name,conservation-area,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
Watlington Conservation Area,F8__1,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.007048 51.647659,-1.007072 51.647618,-1.007438 51.647694,-1.009334 51.647764,-1.009487 51.647698,-1.009669 51.647863,-1.009744 51.647827,-1.009802 51.647869,-1.010864 51.647360,-1.011362 51.647740,-1.011802 51.647540,-1.012425 51.647184,-1.012740 51.647396,-1.012864 51.647421,-1.013160 51.647186,-1.013548 51.646943,-1.013405 51.646837,-1.013410 51.646804,-1.013874 51.646472,-1.013597 51.646370,-1.013816 51.646131,-1.013750 51.645969,-1.013373 51.645738,-1.012915 51.645266,-1.012795 51.645057,-1.013006 51.644973,-1.012727 51.644716,-1.012758 51.644702,-1.011973 51.644015,-1.012118 51.643942,-1.012099 51.643907,-1.012134 51.643886,-1.011725 51.643482,-1.011637 51.642637,-1.011723 51.642558,-1.011603 51.642072,-1.011101 51.642059,-1.009444 51.643164,-1.008589 51.642775,-1.008880 51.642615,-1.008178 51.642309,-1.007990 51.642059,-1.007780 51.641889,-1.007568 51.641535,-1.005498 51.640577,-1.005346 51.640670,-1.005126 51.640716,-1.003510 51.641500,-1.003535 51.641544,-1.003458 51.641594,-1.004181 51.642112,-1.004622 51.642368,-1.003132 51.643529,-1.002764 51.643851,-1.002339 51.644287,-1.002022 51.644212,-1.001925 51.644148,-1.001336 51.643912,-1.001122 51.644120,-1.001724 51.644339,-1.001599 51.644466,-1.001779 51.644532,-1.001740 51.644568,-1.002970 51.645073,-1.002748 51.645312,-1.003056 51.645431,-1.002802 51.645686,-1.002478 51.645555,-1.001953 51.646033,-1.001418 51.646585,-1.002264 51.646888,-1.001878 51.647315,-1.002278 51.647452,-1.002836 51.646778,-1.003775 51.647115,-1.003883 51.647094,-1.004467 51.646399,-1.004944 51.646555,-1.005415 51.646059,-1.005412 51.646005,-1.005633 51.645864,-1.005951 51.646071,-1.006002 51.646091,-1.006032 51.646068,-1.006334 51.646200,-1.006229 51.646281,-1.006512 51.646454,-1.006589 51.646542,-1.006979 51.646456,-1.007140 51.646708,-1.006742 51.647051,-1.007186 51.647200,-1.006939 51.647635,-1.007048 51.647659)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--1
West Hagbourne Conservation Area,F8__2,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.263726 51.584757,-1.263615 51.584315,-1.263307 51.584250,-1.263036 51.584316,-1.262479 51.584333,-1.261041 51.584186,-1.260269 51.584055,-1.259871 51.584024,-1.259805 51.584232,-1.259804 51.584458,-1.259693 51.584830,-1.259681 51.584983,-1.259576 51.584983,-1.259527 51.585348,-1.257960 51.585662,-1.255545 51.586038,-1.254592 51.586006,-1.254694 51.586863,-1.254904 51.587411,-1.254967 51.587443,-1.256042 51.587320,-1.255839 51.587063,-1.255759 51.586878,-1.256943 51.586745,-1.256851 51.586350,-1.257743 51.586498,-1.257844 51.586463,-1.259166 51.586460,-1.260427 51.586621,-1.260371 51.586743,-1.260269 51.586786,-1.260253 51.587152,-1.261044 51.587240,-1.261007 51.587396,-1.262072 51.587431,-1.262101 51.587341,-1.262060 51.587074,-1.261995 51.587013,-1.261307 51.586991,-1.261365 51.586649,-1.260631 51.586565,-1.260615 51.586385,-1.261923 51.586550,-1.261917 51.586400,-1.261352 51.586335,-1.261441 51.585646,-1.262197 51.585672,-1.262682 51.585596,-1.262706 51.585508,-1.262843 51.585350,-1.263124 51.585164,-1.263778 51.584956,-1.264225 51.584899,-1.265965 51.584776,-1.265966 51.584741,-1.265891 51.584464,-1.265251 51.584461,-1.265100 51.584539,-1.264789 51.584578,-1.264791 51.584780,-1.264156 51.584823,-1.263689 51.584896,-1.263655 51.584765,-1.263726 51.584757)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--2
Whitchurch Conservation Area,F8__3,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.085712 51.491470,-1.085766 51.491700,-1.086243 51.491667,-1.086276 51.491686,-1.086371 51.491930,-1.086396 51.492002,-1.086083 51.492022,-1.086161 51.492697,-1.085203 51.492686,-1.084608 51.492729,-1.084694 51.493039,-1.083869 51.493158,-1.084009 51.493413,-1.084488 51.493399,-1.085798 51.493282,-1.085833 51.493340,-1.085965 51.493334,-1.085969 51.493361,-1.086406 51.493339,-1.086433 51.493294,-1.086732 51.493236,-1.087318 51.493180,-1.087353 51.493667,-1.088648 51.493678,-1.088673 51.493356,-1.088868 51.493311,-1.089199 51.493361,-1.090350 51.493391,-1.090458 51.493262,-1.090079 51.493178,-1.089716 51.492968,-1.089603 51.492869,-1.089282 51.491961,-1.088567 51.492040,-1.088532 51.491962,-1.088462 51.491941,-1.088394 51.491769,-1.088464 51.491757,-1.088391 51.491584,-1.088709 51.491545,-1.088865 51.491466,-1.088358 51.491210,-1.088192 51.491161,-1.088201 51.491021,-1.088042 51.490501,-1.087893 51.490359,-1.087641 51.490393,-1.087570 51.490258,-1.087506 51.490250,-1.087280 51.489544,-1.087033 51.489362,-1.087088 51.489337,-1.087216 51.489137,-1.087970 51.489069,-1.088351 51.488891,-1.088195 51.488032,-1.088533 51.488015,-1.088513 51.487803,-1.088607 51.487711,-1.088582 51.487688,-1.088625 51.487629,-1.088525 51.487325,-1.088440 51.487208,-1.088744 51.487039,-1.089003 51.486838,-1.089284 51.486760,-1.089811 51.486710,-1.090425 51.486839,-1.090632 51.486316,-1.089920 51.486198,-1.089888 51.486149,-1.089910 51.485914,-1.089733 51.485807,-1.087779 51.485803,-1.087319 51.485878,-1.087040 51.486004,-1.086270 51.486127,-1.086145 51.486204,-1.085699 51.486274,-1.085153 51.486484,-1.085062 51.486570,-1.084396 51.486762,-1.083183 51.486972,-1.082291 51.487186,-1.080571 51.487418,-1.080768 51.487888,-1.081768 51.488858,-1.081945 51.488890,-1.083504 51.488802,-1.084146 51.489247,-1.084890 51.489478,-1.084999 51.489708,-1.083300 51.489924,-1.083456 51.490415,-1.083614 51.490396,-1.083666 51.490561,-1.084461 51.490477,-1.084444 51.490352,-1.085424 51.490287,-1.085712 51.491470)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--3
Wheatley Conservation Area,F8__4,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.142710 51.746295,-1.142627 51.746279,-1.142637 51.746196,-1.142575 51.746184,-1.142526 51.746255,-1.142307 51.746221,-1.141261 51.745954,-1.141189 51.746077,-1.140511 51.746847,-1.139170 51.746552,-1.138163 51.746226,-1.137568 51.746857,-1.136909 51.746717,-1.137084 51.746462,-1.136335 51.746427,-1.136129 51.746297,-1.136283 51.745747,-1.136012 51.745733,-1.135993 51.745813,-1.135856 51.745790,-1.135384 51.745891,-1.135403 51.746070,-1.134855 51.746253,-1.134554 51.746255,-1.134560 51.745932,-1.134088 51.745865,-1.134230 51.745139,-1.133642 51.745068,-1.133157 51.744962,-1.132945 51.745336,-1.132634 51.745270,-1.132442 51.745429,-1.132035 51.745245,-1.131427 51.744801,-1.130968 51.745291,-1.130843 51.745554,-1.131234 51.745621,-1.131150 51.745752,-1.131346 51.745839,-1.131216 51.746208,-1.131653 51.746272,-1.132503 51.746505,-1.132514 51.746853,-1.132455 51.746895,-1.133447 51.746950,-1.133321 51.746720,-1.133339 51.746548,-1.133675 51.746106,-1.134530 51.746423,-1.134605 51.746493,-1.134453 51.746506,-1.134272 51.746567,-1.134231 51.746650,-1.134227 51.746785,-1.134583 51.746781,-1.134775 51.746821,-1.134652 51.747042,-1.134665 51.747150,-1.134519 51.747544,-1.134937 51.747600,-1.134919 51.747647,-1.135186 51.747683,-1.135369 51.747237,-1.136096 51.747344,-1.135879 51.747903,-1.136556 51.747991,-1.136522 51.747739,-1.137067 51.747796,-1.137179 51.747520,-1.137273 51.747538,-1.137294 51.747570,-1.137392 51.747567,-1.137795 51.747664,-1.137596 51.747985,-1.138004 51.748077,-1.138182 51.747756,-1.138443 51.747818,-1.138257 51.748132,-1.138980 51.748305,-1.139069 51.748394,-1.139124 51.748408,-1.139053 51.748603,-1.139576 51.748829,-1.139977 51.748566,-1.139923 51.748550,-1.140027 51.748370,-1.140053 51.748250,-1.140498 51.748344,-1.140816 51.748448,-1.140964 51.748579,-1.140947 51.748625,-1.140832 51.748705,-1.140947 51.748766,-1.141082 51.748909,-1.141123 51.749006,-1.141394 51.748953,-1.141665 51.749320,-1.140845 51.749609,-1.140933 51.749781,-1.141072 51.749767,-1.141684 51.749517,-1.141841 51.749562,-1.141930 51.749811,-1.142033 51.749958,-1.142503 51.750285,-1.144450 51.749297,-1.144018 51.749136,-1.143877 51.748909,-1.143735 51.748750,-1.143607 51.748748,-1.143751 51.748503,-1.143765 51.748364,-1.143213 51.748306,-1.143134 51.748179,-1.143082 51.748184,-1.143023 51.748129,-1.142415 51.748410,-1.142089 51.748045,-1.141750 51.748141,-1.141633 51.747964,-1.141793 51.747897,-1.141767 51.747862,-1.141957 51.747835,-1.141944 51.747757,-1.142092 51.747170,-1.142752 51.747331,-1.144159 51.747176,-1.144469 51.747314,-1.145605 51.746483,-1.144857 51.746496,-1.143919 51.746430,-1.142710 51.746295)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--4
Woodeaton Conservation Area,F8__5,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.224516 51.803864,-1.224320 51.804214,-1.225081 51.804337,-1.225278 51.804422,-1.225086 51.804841,-1.224867 51.804962,-1.224377 51.805132,-1.224566 51.805319,-1.225119 51.805711,-1.225832 51.805298,-1.227133 51.804635,-1.227229 51.804660,-1.227185 51.804560,-1.227222 51.804554,-1.227206 51.804472,-1.228256 51.804186,-1.228480 51.804173,-1.228803 51.804243,-1.229338 51.804245,-1.229366 51.804162,-1.229543 51.804149,-1.229578 51.804131,-1.229569 51.804076,-1.229825 51.803973,-1.229778 51.803754,-1.229473 51.803693,-1.229428 51.803232,-1.227537 51.803187,-1.226801 51.803205,-1.226115 51.803399,-1.225875 51.802860,-1.225775 51.802527,-1.225863 51.801947,-1.225957 51.801568,-1.225554 51.801475,-1.225382 51.801496,-1.224265 51.801822,-1.224764 51.802383,-1.224803 51.802529,-1.224340 51.802705,-1.224573 51.802963,-1.224466 51.803009,-1.224496 51.803128,-1.224018 51.803321,-1.224104 51.803507,-1.224307 51.803603,-1.224290 51.803616,-1.224516 51.803864)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--5
Lewknor Conservation Area,F8__6,local-authority-eng:SOX,,"MULTIPOLYGON (((-0.968963 51.671866,-0.968889 51.671822,-0.968949 51.671799,-0.968808 51.671669,-0.969173 51.671517,-0.968705 51.671188,-0.968268 51.671422,-0.967636 51.671652,-0.967436 51.671444,-0.967247 51.671513,-0.967167 51.671510,-0.967067 51.671404,-0.966736 51.671546,-0.966454 51.671318,-0.966088 51.671522,-0.965676 51.671211,-0.965229 51.671428,-0.965714 51.671774,-0.965021 51.672104,-0.965112 51.672201,-0.965008 51.672234,-0.965505 51.672569,-0.965180 51.672755,-0.964708 51.672454,-0.964118 51.672759,-0.964557 51.673152,-0.964751 51.673196,-0.965275 51.673477,-0.965277 51.673594,-0.964921 51.673790,-0.965099 51.673943,-0.966115 51.673520,-0.966210 51.673556,-0.966243 51.673601,-0.966282 51.673593,-0.966989 51.674257,-0.967159 51.674441,-0.967279 51.674641,-0.967453 51.674601,-0.967456 51.674560,-0.967515 51.674534,-0.968061 51.674527,-0.968522 51.674462,-0.969392 51.674015,-0.969601 51.673945,-0.970041 51.673682,-0.969761 51.673398,-0.970218 51.673178,-0.969318 51.672340,-0.969572 51.672207,-0.969174 51.671958,-0.969133 51.671982,-0.968963 51.671866)),((-0.972633 51.674890,-0.972733 51.674837,-0.974454 51.675024,-0.974489 51.674992,-0.974612 51.674994,-0.975018 51.675049,-0.975133 51.675079,-0.975041 51.675301,-0.974977 51.675354,-0.975012 51.675388,-0.975089 51.675380,-0.975672 51.675633,-0.976068 51.675701,-0.976249 51.675658,-0.976651 51.675346,-0.976722 51.675274,-0.976907 51.674912,-0.975688 51.674740,-0.975445 51.674744,-0.975222 51.674795,-0.975182 51.674729,-0.975212 51.674695,-0.975235 51.674453,-0.975487 51.674159,-0.974979 51.674022,-0.975134 51.673902,-0.974876 51.673788,-0.974708 51.673806,-0.974220 51.673543,-0.973002 51.674515,-0.972649 51.674337,-0.972254 51.674711,-0.972633 51.674890)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--6
Little Haseley Conservation Area,F8__7,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.068290 51.701659,-1.069268 51.701057,-1.069521 51.701081,-1.069786 51.701215,-1.070336 51.701073,-1.070383 51.701101,-1.070885 51.701053,-1.072142 51.701106,-1.072080 51.701138,-1.072033 51.701258,-1.072070 51.701299,-1.072158 51.701373,-1.072288 51.701424,-1.072597 51.701348,-1.072795 51.701622,-1.072825 51.701719,-1.073229 51.702171,-1.074551 51.701752,-1.075333 51.701622,-1.075552 51.701606,-1.076121 51.701886,-1.079488 51.701520,-1.080049 51.701427,-1.080043 51.701243,-1.079996 51.701082,-1.078730 51.700781,-1.078398 51.700762,-1.076788 51.700830,-1.076113 51.700789,-1.076092 51.700754,-1.076142 51.700324,-1.076178 51.700282,-1.075956 51.699965,-1.075925 51.699974,-1.075904 51.699944,-1.075410 51.699153,-1.075096 51.698958,-1.073726 51.699637,-1.074145 51.700041,-1.073886 51.700158,-1.073833 51.700117,-1.073388 51.700385,-1.072703 51.700518,-1.072532 51.700064,-1.072288 51.699700,-1.072082 51.699469,-1.071890 51.699374,-1.071801 51.699223,-1.071124 51.698608,-1.068776 51.699630,-1.068461 51.699670,-1.068155 51.699584,-1.068005 51.699589,-1.067345 51.699838,-1.066433 51.700267,-1.068255 51.701669,-1.068290 51.701659)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--7
Little Milton Conservation Area,F8__8,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.107862 51.699716,-1.107867 51.699694,-1.107630 51.699697,-1.107495 51.699633,-1.107285 51.699645,-1.107257 51.699932,-1.107155 51.700033,-1.106499 51.700029,-1.106461 51.700618,-1.105677 51.700749,-1.105762 51.700953,-1.104854 51.701085,-1.104780 51.700859,-1.104735 51.700820,-1.104371 51.700846,-1.104025 51.700816,-1.103995 51.700840,-1.103447 51.700560,-1.102977 51.700409,-1.102865 51.700483,-1.102770 51.700431,-1.102730 51.700453,-1.102086 51.700174,-1.101799 51.700427,-1.102428 51.700687,-1.102661 51.700516,-1.102885 51.700630,-1.102781 51.700738,-1.102736 51.700999,-1.102911 51.701061,-1.103194 51.700807,-1.103792 51.701078,-1.104086 51.701319,-1.103401 51.701505,-1.103274 51.701633,-1.103532 51.701840,-1.103609 51.701795,-1.103759 51.701909,-1.103322 51.702148,-1.103147 51.702346,-1.103420 51.702516,-1.103726 51.702349,-1.104025 51.702551,-1.103844 51.702626,-1.103890 51.702666,-1.103775 51.702732,-1.103081 51.703087,-1.103386 51.703245,-1.103900 51.703669,-1.104052 51.703750,-1.104669 51.703939,-1.104534 51.704176,-1.105421 51.704244,-1.105374 51.704517,-1.105079 51.704496,-1.104427 51.704384,-1.104372 51.704495,-1.104770 51.704544,-1.104685 51.704869,-1.104598 51.704861,-1.104486 51.705187,-1.104823 51.705234,-1.104969 51.705289,-1.104929 51.705383,-1.105004 51.705438,-1.105378 51.705162,-1.105575 51.705180,-1.105591 51.705259,-1.105649 51.705301,-1.105897 51.705258,-1.106388 51.705263,-1.106524 51.704447,-1.106510 51.704416,-1.106445 51.704406,-1.106504 51.704170,-1.106152 51.704130,-1.105983 51.704065,-1.105748 51.704086,-1.105712 51.703859,-1.105796 51.703855,-1.105950 51.703727,-1.106284 51.703860,-1.106270 51.703926,-1.107227 51.704148,-1.107388 51.703712,-1.107528 51.702962,-1.107770 51.702194,-1.108088 51.701731,-1.108217 51.701425,-1.108231 51.701353,-1.108019 51.701305,-1.108046 51.700996,-1.108165 51.700443,-1.108156 51.700241,-1.109243 51.700183,-1.109084 51.699595,-1.107919 51.699863,-1.107871 51.699792,-1.107909 51.699756,-1.107862 51.699716)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--8
Little Wittenham Conservation Area,F8__9,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.184982 51.637633,-1.185495 51.637491,-1.186159 51.637438,-1.186026 51.637177,-1.185891 51.637009,-1.187216 51.636210,-1.187209 51.636169,-1.186867 51.635929,-1.186811 51.635858,-1.186803 51.635757,-1.186903 51.635652,-1.186767 51.635309,-1.186913 51.635116,-1.187230 51.634815,-1.187560 51.634429,-1.187610 51.634318,-1.187815 51.634131,-1.187373 51.633963,-1.187609 51.633689,-1.187693 51.633644,-1.187272 51.633451,-1.187582 51.633193,-1.187762 51.632996,-1.187034 51.632663,-1.186950 51.632779,-1.186232 51.632643,-1.185630 51.632883,-1.185107 51.633023,-1.184646 51.633124,-1.184102 51.633175,-1.183727 51.633291,-1.183553 51.633279,-1.183620 51.633685,-1.183529 51.634913,-1.183466 51.636445,-1.181493 51.636616,-1.181479 51.636891,-1.181245 51.637279,-1.180593 51.637703,-1.179706 51.638568,-1.180480 51.638502,-1.180854 51.638376,-1.181250 51.638388,-1.181614 51.638215,-1.182333 51.638267,-1.183351 51.638146,-1.183812 51.638019,-1.183894 51.637941,-1.184982 51.637633)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--9
Long Wittenham Conservation Area,F8__10,local-authority-eng:SOX,,"MULTIPOLYGON (((-1.213397 51.639015,-1.212813 51.639273,-1.212525 51.639330,-1.211824 51.639560,-1.211224 51.639855,-1.211611 51.640201,-1.211612 51.640297,-1.211271 51.640405,-1.211240 51.640387,-1.211138 51.640416,-1.211104 51.640448,-1.211076 51.640413,-1.210916 51.640464,-1.210644 51.640248,-1.209856 51.640687,-1.208881 51.641089,-1.208421 51.641324,-1.208262 51.641440,-1.208166 51.641568,-1.208385 51.641724,-1.208355 51.641778,-1.208089 51.641907,-1.207823 51.641704,-1.206934 51.642030,-1.206203 51.642410,-1.206191 51.642435,-1.206463 51.642694,-1.206467 51.642742,-1.206399 51.642860,-1.206248 51.642961,-1.206908 51.643459,-1.207380 51.643289,-1.208103 51.644176,-1.208278 51.644091,-1.208527 51.643842,-1.208621 51.643807,-1.210872 51.644283,-1.211783 51.644178,-1.211919 51.644218,-1.212210 51.644050,-1.212508 51.643771,-1.212831 51.643681,-1.213244 51.643504,-1.213413 51.643324,-1.213763 51.643151,-1.213896 51.642885,-1.213867 51.642710,-1.214100 51.642635,-1.214612 51.642358,-1.214816 51.642064,-1.215010 51.641885,-1.215366 51.641729,-1.215454 51.641489,-1.215868 51.641143,-1.215958 51.641021,-1.216530 51.640972,-1.216928 51.640868,-1.218517 51.640054,-1.219140 51.639784,-1.218763 51.639638,-1.218142 51.639556,-1.217842 51.639543,-1.217062 51.639590,-1.215894 51.638662,-1.216334 51.638427,-1.216980 51.638851,-1.217824 51.638371,-1.217001 51.637956,-1.216674 51.638161,-1.216134 51.638438,-1.215867 51.638240,-1.215338 51.638535,-1.215093 51.638350,-1.214559 51.638601,-1.214975 51.638970,-1.214544 51.639148,-1.214090 51.638758,-1.213397 51.639015)))",2020-09-05,,,/conservation-area/local-authority-eng/SOX/F8--10
