geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
conservation-area:CA1,Clapham,CA01,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/clapham,,2021-04-09,1968-06-20,,/conservation-area/local-authority-eng/LBH/CA1
conservation-area:CA10,Lambeth Palace,CA10,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/lambeth,,2021-04-09,1968-01-01,,/conservation-area/local-authority-eng/LBH/CA10
conservation-area:CA11,St Marks,CA11,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/st-marks,,2021-04-09,1969-01-01,,/conservation-area/local-authority-eng/LBH/CA11
conservation-area:CA12,Streatham Park & Garrads Road,CA12,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-21,,2021-04-09,1969-01-01,,/conservation-area/local-authority-eng/LBH/CA12
conservation-area:CA13,Brixton Water Lane,CA13,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-2,,2021-04-09,1969-01-01,,/conservation-area/local-authority-eng/LBH/CA13
conservation-area:CA14,Gipsy Hill,CA14,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/gipsy,,2021-04-09,1974-01-01,,/conservation-area/local-authority-eng/LBH/CA14
conservation-area:CA15,Sunnyhill Road,CA15,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-22,,2021-04-09,1973-04-02,,/conservation-area/local-authority-eng/LBH/CA15
conservation-area:CA16,Hackford Road,CA16,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/hackford,,2021-04-09,1974-06-25,,/conservation-area/local-authority-eng/LBH/CA16
conservation-area:CA17,Clapham Park Road/Northbourne Road,CA17,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-5,,2021-04-09,1974-08-09,,/conservation-area/local-authority-eng/LBH/CA17
conservation-area:CA18,Trinity Gardens,CA18,local-authority-eng:LBH,https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/trinity,,2021-04-09,1978-08-01,,/conservation-area/local-authority-eng/LBH/CA18
