categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,,,2021-06-10,conservation-area:1,"MULTIPOLYGON (((1.495214 52.163201,1.495628 52.163400,1.494365 52.163692,1.494669 52.163876,1.493518 52.164866,1.493532 52.164909,1.493837 52.165039,1.494253 52.165113,1.494540 52.165089,1.494531 52.164980,1.494675 52.164975,1.494720 52.165370,1.495443 52.165385,1.495981 52.165348,1.496134 52.165430,1.496209 52.165514,1.496364 52.165405,1.496499 52.165372,1.497014 52.165499,1.497216 52.165519,1.497553 52.165491,1.497578 52.165464,1.497553 52.165332,1.497596 52.165276,1.498495 52.165038,1.499020 52.164797,1.499306 52.164733,1.499534 52.164771,1.498965 52.163107,1.498858 52.162861,1.498727 52.162711,1.498868 52.162678,1.497864 52.161592,1.494098 52.162788,1.495214 52.163201)))",,Snape,,,,1,,
,,,2021-06-10,conservation-area:2,"MULTIPOLYGON (((1.598161 52.322756,1.598243 52.322757,1.598287 52.322595,1.598363 52.322582,1.598372 52.322604,1.598990 52.322465,1.599953 52.322138,1.600244 52.321985,1.600694 52.321678,1.601219 52.321165,1.602081 52.320019,1.601415 52.319909,1.601433 52.319854,1.601394 52.319519,1.600345 52.319353,1.599569 52.319156,1.599298 52.319499,1.599246 52.320557,1.598412 52.320443,1.598446 52.320016,1.598250 52.319438,1.598483 52.319448,1.598502 52.319391,1.598820 52.319434,1.598913 52.319270,1.598680 52.319236,1.598689 52.319210,1.598504 52.319198,1.598511 52.319172,1.598388 52.319153,1.598335 52.319249,1.597640 52.319146,1.597689 52.319060,1.596167 52.319038,1.593300 52.319268,1.592585 52.319298,1.592772 52.319604,1.593111 52.320365,1.593434 52.320980,1.593736 52.321354,1.594197 52.321745,1.594106 52.321787,1.593942 52.321793,1.594210 52.321881,1.594277 52.322031,1.594205 52.322103,1.594271 52.322154,1.595751 52.322956,1.597028 52.323249,1.597577 52.323426,1.597789 52.323453,1.598161 52.322756)))",,Blythburgh,,,,2,,
,,,2021-06-10,conservation-area:3,"MULTIPOLYGON (((1.395489 52.171863,1.395491 52.171987,1.395446 52.172103,1.395193 52.172221,1.394866 52.172149,1.394404 52.172119,1.394303 52.172527,1.394199 52.172671,1.394130 52.172670,1.394046 52.172621,1.393923 52.172380,1.393776 52.172302,1.393668 52.172364,1.393609 52.172545,1.393528 52.172624,1.393525 52.172717,1.393561 52.172769,1.393540 52.172923,1.393640 52.173137,1.393834 52.173299,1.393827 52.173373,1.393731 52.173464,1.393708 52.173651,1.393917 52.173788,1.393989 52.173906,1.393961 52.173967,1.393764 52.174072,1.393640 52.174210,1.393380 52.174732,1.393335 52.174918,1.393209 52.175048,1.393258 52.175344,1.393253 52.175376,1.393165 52.175413,1.393298 52.175701,1.393645 52.176205,1.393876 52.176135,1.394291 52.175924,1.394605 52.175808,1.395955 52.175515,1.396676 52.175412,1.397362 52.175177,1.397355 52.175131,1.397424 52.175170,1.397519 52.175173,1.398143 52.175067,1.398910 52.174822,1.399523 52.174674,1.400543 52.174572,1.400555 52.174713,1.400650 52.174720,1.400830 52.174866,1.400937 52.174907,1.401395 52.174625,1.401507 52.174486,1.402292 52.173971,1.402272 52.173767,1.403183 52.173269,1.403730 52.173629,1.404447 52.173237,1.404408 52.172963,1.404735 52.172940,1.404695 52.172665,1.405169 52.172634,1.405309 52.172579,1.405438 52.171857,1.404837 52.171831,1.404801 52.171771,1.404842 52.171601,1.403977 52.171555,1.403337 52.171585,1.402606 52.169605,1.402605 52.169510,1.402725 52.169144,1.401732 52.168809,1.401523 52.169159,1.401527 52.169432,1.401420 52.169495,1.401145 52.169468,1.401070 52.169495,1.401055 52.169544,1.401086 52.169585,1.401265 52.169654,1.401235 52.169763,1.401164 52.169826,1.401016 52.169760,1.400942 52.169770,1.400846 52.170075,1.400720 52.170224,1.400487 52.170349,1.400374 52.170461,1.400294 52.170591,1.400272 52.170758,1.400111 52.170888,1.399988 52.171061,1.399555 52.171116,1.398345 52.170973,1.398271 52.170431,1.398189 52.170419,1.396973 52.171093,1.396564 52.171557,1.396177 52.171658,1.395960 52.171797,1.395576 52.171768,1.395504 52.171811,1.395489 52.171863)))",,Marlesford,,,,3,,
,,,2021-06-10,conservation-area:4,"MULTIPOLYGON (((1.258509 52.197287,1.258411 52.197280,1.258351 52.197313,1.258375 52.197387,1.258370 52.197663,1.257185 52.197677,1.257085 52.197980,1.256947 52.197968,1.256713 52.198367,1.256253 52.198244,1.255860 52.198191,1.255632 52.198183,1.254908 52.198248,1.254521 52.198232,1.254339 52.198165,1.254090 52.197947,1.254000 52.197919,1.253417 52.198031,1.253237 52.198116,1.252719 52.198147,1.252501 52.198213,1.252169 52.198522,1.251853 52.198639,1.251652 52.198753,1.251425 52.198777,1.250892 52.199065,1.250535 52.199394,1.250558 52.199486,1.250743 52.199674,1.250637 52.199789,1.250403 52.199904,1.249739 52.200141,1.249981 52.200864,1.250601 52.200742,1.251223 52.200720,1.253717 52.200494,1.253640 52.200676,1.253825 52.200920,1.253948 52.201377,1.254441 52.201362,1.254419 52.200960,1.254597 52.200934,1.254572 52.200811,1.254722 52.200803,1.254740 52.200451,1.254773 52.200414,1.255530 52.200359,1.256405 52.200343,1.257565 52.200403,1.257539 52.200858,1.258758 52.200869,1.258755 52.200590,1.259111 52.200561,1.259086 52.200315,1.259363 52.199929,1.259454 52.199846,1.259506 52.199705,1.259579 52.199686,1.259509 52.199668,1.259500 52.198893,1.259156 52.198351,1.259125 52.198048,1.258952 52.197596,1.259445 52.197553,1.259405 52.197401,1.258875 52.197329,1.258604 52.197349,1.258591 52.197284,1.258509 52.197287)))",,Cretingham,,,,4,,
,,,2021-06-10,conservation-area:5,"MULTIPOLYGON (((1.281987 52.199448,1.283525 52.199048,1.283601 52.199323,1.284468 52.199222,1.285015 52.199192,1.284914 52.199930,1.284964 52.200398,1.285323 52.200381,1.286641 52.200467,1.286700 52.200086,1.285920 52.200038,1.286069 52.198959,1.286808 52.198827,1.286803 52.198963,1.287384 52.198967,1.289016 52.198739,1.289791 52.198694,1.289808 52.198580,1.290158 52.198602,1.290183 52.198025,1.290734 52.198056,1.290801 52.197758,1.290843 52.197711,1.290833 52.197631,1.290870 52.197623,1.290897 52.197554,1.290911 52.197404,1.291395 52.197752,1.291550 52.197783,1.291639 52.197701,1.291872 52.197590,1.292302 52.197211,1.294543 52.197330,1.294715 52.197254,1.294834 52.197286,1.294855 52.197518,1.296154 52.197534,1.296161 52.197296,1.296109 52.196759,1.296512 52.196161,1.297282 52.196095,1.297148 52.195650,1.296718 52.195714,1.295680 52.195383,1.295025 52.195246,1.293994 52.194971,1.293723 52.194870,1.293536 52.194744,1.293216 52.194749,1.292970 52.194672,1.292847 52.194798,1.292673 52.194808,1.292607 52.195236,1.292290 52.196039,1.291255 52.195841,1.289906 52.195726,1.290226 52.194607,1.290327 52.193657,1.289848 52.193765,1.289542 52.193942,1.289178 52.193958,1.288545 52.193851,1.288084 52.193710,1.286840 52.193531,1.286633 52.193448,1.286229 52.193119,1.285595 52.192864,1.284777 52.192401,1.284398 52.192130,1.284036 52.192016,1.283601 52.192005,1.283473 52.191965,1.283454 52.191953,1.283592 52.191821,1.283589 52.191762,1.283417 52.191632,1.283174 52.191577,1.282816 52.191752,1.282614 52.191727,1.282191 52.193154,1.281708 52.194645,1.281552 52.195019,1.283002 52.195240,1.282749 52.196798,1.283641 52.196884,1.286397 52.196845,1.286797 52.198053,1.283586 52.198555,1.283525 52.198530,1.282819 52.198526,1.282921 52.198895,1.281717 52.199059,1.281867 52.199486,1.281987 52.199448)))",,Brandeston,,,,5,,
,,,2021-06-10,conservation-area:6,"MULTIPOLYGON (((1.299983 52.230632,1.299920 52.230530,1.300094 52.230194,1.299315 52.229979,1.299004 52.230345,1.298588 52.230705,1.298384 52.230619,1.296770 52.230175,1.296214 52.230802,1.295985 52.231126,1.295190 52.231730,1.297477 52.233001,1.297049 52.233359,1.296746 52.233219,1.296673 52.233257,1.296347 52.233067,1.295877 52.233387,1.296192 52.233525,1.295780 52.233832,1.295863 52.233879,1.295583 52.234044,1.295651 52.234115,1.295411 52.234274,1.295711 52.234453,1.295527 52.234771,1.295267 52.235066,1.295220 52.235145,1.295262 52.235192,1.295121 52.235330,1.295315 52.235442,1.295372 52.235333,1.295593 52.235113,1.295919 52.235136,1.297116 52.235065,1.297451 52.235094,1.297454 52.235207,1.297678 52.235234,1.298466 52.235258,1.298739 52.235236,1.298663 52.235063,1.299260 52.234996,1.299409 52.235054,1.299476 52.234966,1.299513 52.234973,1.299645 52.235442,1.300212 52.235269,1.300088 52.235004,1.299996 52.234430,1.300271 52.233116,1.301169 52.233120,1.301062 52.232378,1.301109 52.232344,1.301125 52.232282,1.302214 52.232030,1.302842 52.231924,1.302870 52.231995,1.306230 52.232140,1.306226 52.232279,1.307867 52.232445,1.307882 52.232640,1.308406 52.232660,1.309296 52.232793,1.309686 52.232742,1.309831 52.231846,1.311630 52.231889,1.311900 52.231936,1.311944 52.231965,1.311947 52.232008,1.312103 52.232031,1.312199 52.231753,1.312349 52.231747,1.312440 52.230542,1.309266 52.230324,1.309281 52.230421,1.307354 52.230549,1.307162 52.230689,1.306955 52.230699,1.305261 52.230477,1.304464 52.230415,1.302452 52.230180,1.301958 52.231181,1.301059 52.231073,1.300009 52.231005,1.299985 52.230771,1.299920 52.230766,1.299933 52.230628,1.299983 52.230632)))",,Saxtead,,,,6,,
,,,2021-06-10,conservation-area:7,"MULTIPOLYGON (((1.306747 52.089550,1.306404 52.089936,1.306125 52.090019,1.303824 52.089838,1.303133 52.089835,1.302559 52.089889,1.303453 52.090635,1.303611 52.090732,1.305014 52.091361,1.305825 52.091780,1.306400 52.091943,1.306367 52.092018,1.307372 52.092838,1.307751 52.093334,1.307479 52.093367,1.307517 52.093512,1.306425 52.093630,1.306509 52.094038,1.305276 52.094137,1.305026 52.094090,1.304100 52.093634,1.303124 52.092858,1.302744 52.093021,1.302940 52.093250,1.302799 52.093301,1.303193 52.093747,1.303421 52.094067,1.303493 52.094232,1.303532 52.094230,1.303559 52.094303,1.303881 52.094270,1.303991 52.094879,1.304220 52.094935,1.304277 52.095849,1.304274 52.096424,1.305298 52.096052,1.307907 52.099747,1.308169 52.099655,1.309763 52.099249,1.309748 52.099222,1.311511 52.098647,1.311971 52.098734,1.311799 52.098955,1.312039 52.099055,1.312265 52.099026,1.312510 52.099234,1.312712 52.099449,1.312781 52.099576,1.312970 52.099547,1.313019 52.099458,1.313327 52.099255,1.314562 52.098536,1.315527 52.098146,1.318090 52.097234,1.319902 52.096878,1.320982 52.096531,1.322229 52.096365,1.321794 52.095677,1.322651 52.095473,1.322562 52.095300,1.322050 52.095412,1.321867 52.095123,1.321919 52.095111,1.321809 52.094932,1.321435 52.095017,1.321262 52.094733,1.321280 52.094637,1.321825 52.094506,1.321720 52.094385,1.321866 52.094244,1.322889 52.093909,1.323259 52.093739,1.323241 52.093940,1.323521 52.093996,1.323669 52.094158,1.324489 52.093993,1.325130 52.093971,1.325052 52.093808,1.324842 52.093525,1.324792 52.093375,1.324668 52.093284,1.324521 52.093238,1.324562 52.093161,1.324487 52.093091,1.324686 52.093020,1.324642 52.092971,1.324811 52.092911,1.324619 52.092577,1.323841 52.092770,1.323679 52.092753,1.323385 52.092661,1.322660 52.092265,1.321876 52.091767,1.321604 52.091231,1.321388 52.090978,1.320945 52.090663,1.320865 52.090498,1.320997 52.090330,1.320977 52.090324,1.321056 52.090291,1.321295 52.090355,1.321766 52.090350,1.322595 52.090243,1.322432 52.090050,1.322041 52.089801,1.321937 52.089783,1.321781 52.089807,1.320760 52.090138,1.320600 52.090497,1.320077 52.090212,1.319833 52.090031,1.319307 52.089773,1.318377 52.089578,1.318320 52.089624,1.317402 52.089192,1.317260 52.089051,1.316642 52.088073,1.316712 52.088019,1.316684 52.087949,1.316769 52.087926,1.316542 52.087326,1.316616 52.087299,1.316544 52.087107,1.316450 52.087110,1.316285 52.086721,1.314969 52.086996,1.315010 52.087063,1.314376 52.087265,1.313824 52.086655,1.312947 52.087247,1.312800 52.087134,1.311519 52.087627,1.311135 52.087692,1.311404 52.088056,1.311883 52.087967,1.313062 52.089335,1.313220 52.089384,1.315492 52.088497,1.316356 52.089385,1.316895 52.089711,1.316766 52.089966,1.316780 52.090134,1.316660 52.090760,1.316395 52.090738,1.315233 52.090783,1.314584 52.090765,1.313823 52.090569,1.313486 52.090517,1.313499 52.090312,1.313274 52.090243,1.312510 52.090332,1.312534 52.090560,1.312014 52.090594,1.311946 52.090562,1.311722 52.090316,1.311710 52.090069,1.311470 52.090063,1.311152 52.090348,1.310365 52.090017,1.310883 52.089647,1.310825 52.089498,1.310217 52.089683,1.309833 52.089465,1.309787 52.089494,1.309035 52.089165,1.308756 52.089424,1.308632 52.089381,1.308724 52.089234,1.308630 52.089184,1.308665 52.089141,1.308616 52.089082,1.309110 52.088581,1.308113 52.088005,1.308481 52.087659,1.309353 52.087069,1.308831 52.086469,1.307744 52.085339,1.306400 52.085920,1.306327 52.085854,1.305727 52.086129,1.305333 52.086270,1.305158 52.086524,1.303967 52.086859,1.303705 52.086684,1.302951 52.086841,1.302628 52.086959,1.302743 52.087140,1.302715 52.087149,1.302730 52.087285,1.302567 52.087512,1.303036 52.087635,1.303064 52.087673,1.302978 52.087699,1.302767 52.088098,1.304351 52.088425,1.304625 52.088498,1.304939 52.088641,1.305739 52.089188,1.305668 52.089514,1.306108 52.089548,1.306192 52.089480,1.306139 52.089435,1.306354 52.089306,1.306747 52.089550),(1.320119 52.090984,1.321127 52.091386,1.321682 52.091698,1.322506 52.092316,1.322246 52.092500,1.320841 52.093299,1.320623 52.093146,1.320087 52.093433,1.319426 52.093082,1.319533 52.093001,1.319298 52.092894,1.319372 52.092836,1.319446 52.092825,1.319491 52.092770,1.319463 52.092708,1.319596 52.092494,1.319851 52.092642,1.320367 52.091731,1.319990 52.091480,1.319027 52.092076,1.318629 52.091855,1.319664 52.091201,1.320119 52.090984)))",,Woodbridge,,,,7,,
,,,2021-06-10,conservation-area:8,"MULTIPOLYGON (((1.341488 52.255483,1.341569 52.255474,1.341630 52.255668,1.344062 52.255498,1.344034 52.255000,1.344055 52.254901,1.344589 52.254816,1.344460 52.254615,1.344257 52.254526,1.344041 52.254290,1.344141 52.254250,1.344096 52.254193,1.344433 52.254111,1.344192 52.253828,1.344007 52.253888,1.343571 52.253297,1.343285 52.252850,1.342956 52.252015,1.343343 52.251914,1.343763 52.251865,1.343657 52.251510,1.343253 52.250455,1.343121 52.249912,1.342839 52.249106,1.341570 52.249081,1.341902 52.248420,1.341475 52.248313,1.341134 52.249119,1.340745 52.249853,1.340536 52.250152,1.339914 52.250616,1.339605 52.250809,1.339480 52.250765,1.339102 52.251089,1.339265 52.251161,1.339220 52.251302,1.339119 52.251429,1.339538 52.251763,1.339647 52.251892,1.339769 52.252066,1.340009 52.252589,1.339332 52.252777,1.339910 52.253460,1.340305 52.253850,1.340083 52.253833,1.340109 52.254287,1.340244 52.254545,1.340235 52.254622,1.340348 52.254640,1.340819 52.254537,1.340867 52.254488,1.341086 52.254858,1.341049 52.254866,1.341101 52.255522,1.341488 52.255483)))",,Dennington,,,,8,,
,,,2021-06-10,conservation-area:9,"MULTIPOLYGON (((1.359592 52.118069,1.359546 52.117946,1.359292 52.117760,1.358780 52.117636,1.358946 52.117511,1.358927 52.117429,1.358007 52.116623,1.357803 52.116403,1.357428 52.116406,1.357322 52.116346,1.357274 52.116356,1.357212 52.116555,1.356827 52.116609,1.356525 52.116602,1.355322 52.116457,1.354344 52.116289,1.353919 52.116274,1.353831 52.116238,1.353706 52.115962,1.353329 52.115917,1.353212 52.115870,1.351644 52.116198,1.351862 52.116341,1.352033 52.116536,1.351666 52.116700,1.351752 52.116870,1.351853 52.116884,1.352617 52.117807,1.352516 52.117826,1.352751 52.118054,1.352862 52.118069,1.353130 52.118272,1.353314 52.118155,1.353694 52.118586,1.354032 52.118874,1.353912 52.119000,1.354155 52.119085,1.354185 52.119352,1.354011 52.119466,1.353920 52.119469,1.353900 52.119910,1.353477 52.119883,1.353437 52.120298,1.353600 52.120261,1.353590 52.120473,1.353627 52.120523,1.353574 52.121102,1.354085 52.121080,1.354230 52.121353,1.354340 52.121800,1.354983 52.121704,1.355141 52.121707,1.355228 52.121741,1.355316 52.121834,1.355301 52.121853,1.355339 52.121880,1.355516 52.122245,1.355611 52.122328,1.356244 52.122703,1.356574 52.122863,1.356685 52.122965,1.356695 52.123003,1.356632 52.123133,1.355859 52.123405,1.356032 52.123548,1.356622 52.123818,1.356720 52.123741,1.356937 52.123807,1.357953 52.123577,1.358122 52.123865,1.358242 52.123953,1.358878 52.123897,1.358749 52.124010,1.358741 52.124095,1.358921 52.124168,1.359353 52.124179,1.359927 52.124144,1.360031 52.124330,1.360162 52.124329,1.360439 52.124293,1.360550 52.124236,1.360844 52.123934,1.361313 52.123682,1.361660 52.123538,1.362333 52.123337,1.362855 52.123221,1.363373 52.123202,1.365394 52.123388,1.365510 52.122965,1.365229 52.122912,1.365286 52.122188,1.365253 52.122142,1.365266 52.121907,1.365219 52.121726,1.363919 52.121749,1.363404 52.121702,1.362814 52.121583,1.361893 52.121341,1.361490 52.121282,1.361351 52.121238,1.361360 52.121219,1.360724 52.121057,1.360174 52.120602,1.359957 52.120351,1.359870 52.120160,1.359978 52.119959,1.359892 52.119635,1.360046 52.119410,1.360054 52.119330,1.359981 52.119273,1.359662 52.119156,1.359510 52.119017,1.359470 52.118911,1.359658 52.118758,1.359675 52.118683,1.359299 52.118344,1.359595 52.118129,1.359592 52.118069)))",,Ufford,,,,9,,
,,,2021-06-10,conservation-area:10,"MULTIPOLYGON (((1.600436 52.150605,1.600493 52.152648,1.600468 52.152694,1.600615 52.153394,1.600090 52.153410,1.600121 52.153723,1.600598 52.153722,1.600614 52.154049,1.599659 52.153970,1.599615 52.154185,1.599319 52.154165,1.599292 52.154309,1.599112 52.154308,1.598584 52.154218,1.598449 52.154697,1.598318 52.154731,1.597602 52.154698,1.597605 52.154936,1.597847 52.154943,1.598108 52.155244,1.597515 52.155449,1.597725 52.155650,1.597845 52.155670,1.598151 52.155627,1.598220 52.155670,1.598635 52.155639,1.598626 52.155518,1.599019 52.155503,1.598994 52.155330,1.599324 52.155303,1.599417 52.155596,1.599639 52.155925,1.600138 52.155923,1.600165 52.156289,1.601970 52.156261,1.602438 52.157030,1.602923 52.156975,1.603095 52.156912,1.603142 52.156950,1.603151 52.157062,1.603122 52.157191,1.603085 52.157227,1.603147 52.157298,1.603567 52.157255,1.603541 52.157437,1.603570 52.157519,1.603699 52.157676,1.603870 52.158396,1.603460 52.158462,1.603483 52.158521,1.602855 52.158588,1.603233 52.159362,1.604036 52.159401,1.605839 52.159128,1.605348 52.157488,1.604610 52.155431,1.603852 52.153059,1.603501 52.152137,1.603095 52.150921,1.602599 52.149707,1.602268 52.148691,1.601833 52.147629,1.600935 52.147661,1.600956 52.147853,1.600882 52.147908,1.600746 52.147926,1.600794 52.148238,1.600232 52.148279,1.600078 52.147431,1.599515 52.147439,1.599517 52.147814,1.599437 52.147813,1.599337 52.147967,1.598921 52.147979,1.598842 52.148203,1.599038 52.148471,1.599423 52.148855,1.599650 52.148728,1.599779 52.148993,1.599733 52.149002,1.599791 52.149138,1.599976 52.149333,1.600028 52.149473,1.599956 52.149483,1.599974 52.149648,1.600128 52.149635,1.600194 52.149686,1.600132 52.149739,1.600198 52.149849,1.599778 52.149861,1.599816 52.150612,1.600076 52.150610,1.600071 52.150412,1.600426 52.150407,1.600436 52.150605)))",,Aldeburgh,,,,10,,
