conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
90,,,2020-09-08,"MULTIPOLYGON (((-1.206863 53.055314,-1.206986 53.055249,-1.207101 53.054797,-1.207790 53.055005,-1.208190 53.055028,-1.207724 53.054486,-1.207346 53.053987,-1.206859 53.053460,-1.205769 53.052488,-1.205520 53.052630,-1.205374 53.052661,-1.205046 53.052491,-1.205058 53.052621,-1.204727 53.052968,-1.204639 53.052931,-1.204157 53.052449,-1.203636 53.052075,-1.203343 53.052080,-1.202961 53.052201,-1.202921 53.052175,-1.202805 53.052238,-1.202411 53.051930,-1.202060 53.050929,-1.200118 53.051503,-1.200294 53.051520,-1.200516 53.051589,-1.201842 53.052187,-1.201668 53.052318,-1.201759 53.052367,-1.201368 53.052562,-1.201295 53.052563,-1.200298 53.052968,-1.200247 53.052923,-1.200076 53.053062,-1.198788 53.053381,-1.199544 53.054425,-1.197911 53.054576,-1.198211 53.055219,-1.197505 53.055255,-1.197297 53.055432,-1.196662 53.055719,-1.196883 53.055851,-1.196915 53.055901,-1.196923 53.056054,-1.197023 53.056159,-1.197198 53.056245,-1.197340 53.056262,-1.197608 53.056231,-1.198117 53.056102,-1.198416 53.056073,-1.198629 53.056081,-1.199033 53.056168,-1.199209 53.056169,-1.200258 53.055834,-1.200452 53.055824,-1.200529 53.055855,-1.200643 53.055964,-1.200906 53.056266,-1.200867 53.056446,-1.200857 53.056729,-1.202627 53.056359,-1.203375 53.057324,-1.203417 53.057325,-1.204523 53.056835,-1.206863 53.055314)))",LINBY C.A.,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/90
91,,,2020-09-08,"MULTIPOLYGON (((-1.179250 53.025517,-1.179216 53.025340,-1.179228 53.024687,-1.179571 53.024153,-1.180157 53.023644,-1.180552 53.023380,-1.182536 53.022235,-1.182902 53.021970,-1.183114 53.021751,-1.183390 53.021289,-1.183256 53.021162,-1.183031 53.020794,-1.182894 53.020813,-1.182856 53.021112,-1.182705 53.021485,-1.182469 53.021819,-1.182196 53.022062,-1.181855 53.022292,-1.180228 53.023213,-1.179725 53.023090,-1.179589 53.022986,-1.179566 53.022931,-1.179337 53.022945,-1.179383 53.022871,-1.179265 53.022846,-1.179340 53.022733,-1.175883 53.021949,-1.175948 53.021838,-1.175664 53.020854,-1.174990 53.020962,-1.174512 53.020921,-1.174557 53.021000,-1.174451 53.021039,-1.174080 53.020970,-1.173730 53.020949,-1.172431 53.020993,-1.171391 53.021220,-1.170507 53.021503,-1.170501 53.021608,-1.170541 53.021710,-1.170792 53.021917,-1.171013 53.022042,-1.171351 53.022156,-1.172645 53.023070,-1.172803 53.022996,-1.173092 53.023347,-1.173404 53.023461,-1.173358 53.023528,-1.174161 53.023734,-1.174055 53.023892,-1.174868 53.024086,-1.174543 53.024672,-1.175726 53.024936,-1.175447 53.025345,-1.176421 53.025501,-1.176590 53.025128,-1.177478 53.025325,-1.178048 53.025333,-1.178040 53.025516,-1.179250 53.025517)))",BESTWOOD VILLAGE C.A,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/91
92,,,2020-09-08,"MULTIPOLYGON (((-1.093174 53.039012,-1.093235 53.038828,-1.093709 53.038904,-1.093806 53.038728,-1.093740 53.038566,-1.093832 53.038440,-1.092533 53.038081,-1.092720 53.037768,-1.092211 53.037691,-1.092363 53.037300,-1.091693 53.037114,-1.091641 53.037217,-1.091436 53.037190,-1.091363 53.037398,-1.091192 53.037270,-1.091101 53.037307,-1.090996 53.037217,-1.091020 53.037204,-1.090861 53.037242,-1.090614 53.037179,-1.090245 53.037253,-1.090186 53.037236,-1.090254 53.037150,-1.090292 53.037161,-1.090331 53.037111,-1.090293 53.037099,-1.090414 53.036937,-1.090095 53.036910,-1.090097 53.035971,-1.088712 53.036115,-1.087655 53.036153,-1.087651 53.036191,-1.086826 53.036187,-1.086728 53.036551,-1.086727 53.036657,-1.086292 53.036669,-1.085546 53.036624,-1.085575 53.036194,-1.083911 53.036172,-1.083953 53.036587,-1.083826 53.036594,-1.083838 53.036699,-1.083757 53.036698,-1.083213 53.036668,-1.083252 53.036360,-1.082656 53.036303,-1.082657 53.036419,-1.082443 53.036413,-1.082477 53.036088,-1.082093 53.036088,-1.082093 53.036158,-1.081820 53.036141,-1.081846 53.035703,-1.081713 53.035675,-1.081366 53.035690,-1.081332 53.035900,-1.080964 53.035907,-1.080959 53.035071,-1.080817 53.035070,-1.080800 53.034772,-1.080408 53.034752,-1.080372 53.035094,-1.080043 53.035108,-1.079981 53.035051,-1.078980 53.034889,-1.078943 53.035040,-1.077497 53.034983,-1.077515 53.034760,-1.075430 53.034656,-1.075400 53.034915,-1.075736 53.034923,-1.075720 53.035145,-1.075486 53.035138,-1.075465 53.035359,-1.075599 53.035363,-1.075599 53.035426,-1.074901 53.035411,-1.074811 53.035463,-1.074838 53.035867,-1.075606 53.035861,-1.075617 53.035984,-1.076185 53.035986,-1.076196 53.035496,-1.078133 53.035558,-1.078175 53.036168,-1.079357 53.036341,-1.080297 53.036387,-1.080336 53.036651,-1.080439 53.036951,-1.081379 53.036886,-1.081338 53.036692,-1.081627 53.036651,-1.081611 53.036588,-1.081686 53.036560,-1.081754 53.036445,-1.082126 53.036544,-1.082839 53.036825,-1.082699 53.037052,-1.082679 53.037220,-1.082739 53.037374,-1.082991 53.037659,-1.083388 53.037641,-1.083418 53.037524,-1.083850 53.037535,-1.083957 53.037099,-1.085375 53.037193,-1.086059 53.037141,-1.086306 53.037150,-1.086330 53.037457,-1.086876 53.037490,-1.086843 53.037721,-1.087488 53.037752,-1.087502 53.037176,-1.088852 53.037063,-1.089299 53.037108,-1.089650 53.037197,-1.089482 53.037827,-1.089783 53.037880,-1.089758 53.037964,-1.090290 53.038055,-1.090264 53.038127,-1.090836 53.038205,-1.090884 53.038071,-1.090999 53.038081,-1.091050 53.037975,-1.091096 53.037984,-1.091124 53.037924,-1.091349 53.037956,-1.091286 53.038034,-1.091385 53.038068,-1.091253 53.038214,-1.091177 53.038208,-1.091151 53.038293,-1.092246 53.038438,-1.092119 53.038840,-1.093174 53.039012)))",CALVERTON C.A.,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/92
93,,,2020-09-08,"MULTIPOLYGON (((-1.061563 53.004277,-1.062185 53.004461,-1.062023 53.005003,-1.061704 53.005703,-1.061568 53.006475,-1.061996 53.006504,-1.062000 53.006313,-1.062044 53.006259,-1.062011 53.006235,-1.062025 53.006188,-1.062221 53.006165,-1.062488 53.005489,-1.062641 53.004961,-1.063720 53.005151,-1.063923 53.004743,-1.065098 53.004871,-1.066210 53.005127,-1.066574 53.004567,-1.067391 53.004861,-1.067826 53.005079,-1.067802 53.005119,-1.068207 53.005263,-1.068313 53.005000,-1.068421 53.004909,-1.068292 53.004762,-1.068233 53.004737,-1.068124 53.004776,-1.067951 53.004731,-1.067924 53.004687,-1.067735 53.004589,-1.067185 53.004491,-1.066916 53.004328,-1.066592 53.004311,-1.066262 53.004182,-1.065658 53.004101,-1.065545 53.004024,-1.065520 53.004071,-1.065360 53.004029,-1.064981 53.003874,-1.064565 53.003788,-1.064232 53.003760,-1.064014 53.003700,-1.063832 53.003604,-1.063696 53.003599,-1.062787 53.003357,-1.062395 53.003175,-1.061942 53.003112,-1.061544 53.003015,-1.061807 53.002570,-1.061902 53.002279,-1.061914 53.002210,-1.061822 53.001887,-1.061067 53.001950,-1.060979 53.001388,-1.061855 53.001290,-1.061694 53.000960,-1.062262 53.000906,-1.062517 53.001367,-1.062579 53.001797,-1.062533 53.001977,-1.062731 53.001991,-1.062882 53.001979,-1.062881 53.001954,-1.063216 53.001979,-1.063814 53.002029,-1.063823 53.002077,-1.064744 53.002156,-1.064663 53.001636,-1.064815 53.001615,-1.064737 53.001215,-1.066383 53.001016,-1.066248 53.000561,-1.067095 53.000523,-1.069052 53.000187,-1.070079 52.999930,-1.069870 52.999525,-1.069266 52.999599,-1.068642 52.999794,-1.068326 52.999800,-1.066782 53.000166,-1.065032 53.000389,-1.064698 52.999769,-1.064242 52.999671,-1.064050 52.999537,-1.063572 52.999813,-1.063242 52.999896,-1.063244 52.999938,-1.063016 52.999998,-1.062982 52.999973,-1.062877 53.000082,-1.062728 52.999878,-1.062580 53.000036,-1.061582 53.000121,-1.061593 52.999929,-1.061389 53.000019,-1.060975 52.999966,-1.060745 52.999855,-1.060349 52.999553,-1.059785 52.999828,-1.059439 52.999924,-1.059339 52.999995,-1.058350 53.000384,-1.057976 53.000585,-1.058508 53.001101,-1.058275 53.001193,-1.058660 53.001577,-1.057454 53.001607,-1.057166 53.001560,-1.056428 53.001319,-1.055785 53.001416,-1.055125 53.001577,-1.055650 53.002053,-1.055665 53.002096,-1.055052 53.002245,-1.055035 53.002271,-1.055324 53.002454,-1.055461 53.002677,-1.055768 53.003353,-1.057209 53.002960,-1.058094 53.002680,-1.058155 53.002694,-1.058210 53.002836,-1.058313 53.002930,-1.058859 53.003164,-1.059978 53.003817,-1.061563 53.004277)))",LAMBLEY C.A.,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/93
94,,,2020-09-08,"MULTIPOLYGON (((-1.181527 53.062326,-1.181661 53.062035,-1.182249 53.062127,-1.183318 53.061770,-1.183343 53.061703,-1.183796 53.061882,-1.184604 53.062884,-1.184683 53.062900,-1.186252 53.062709,-1.188626 53.062634,-1.188733 53.062686,-1.188820 53.062842,-1.188908 53.062921,-1.189482 53.063180,-1.189666 53.063509,-1.189888 53.063552,-1.190007 53.063360,-1.190138 53.063262,-1.190453 53.063131,-1.190528 53.062989,-1.190661 53.062898,-1.190858 53.062667,-1.190990 53.062601,-1.191055 53.062501,-1.191005 53.062376,-1.191139 53.062237,-1.191147 53.062168,-1.191344 53.062092,-1.191439 53.061932,-1.191473 53.061791,-1.191387 53.061644,-1.191540 53.061503,-1.191941 53.061571,-1.194032 53.061719,-1.194396 53.061720,-1.194554 53.061679,-1.194866 53.061415,-1.194939 53.061335,-1.194931 53.061253,-1.194781 53.061125,-1.194614 53.061061,-1.194851 53.060544,-1.194807 53.060411,-1.194664 53.060238,-1.194727 53.060237,-1.194728 53.059511,-1.194692 53.059445,-1.194720 53.059429,-1.194718 53.059375,-1.194669 53.059026,-1.194496 53.058551,-1.194110 53.057800,-1.193862 53.057109,-1.193025 53.057275,-1.191959 53.057323,-1.191438 53.057288,-1.191007 53.057211,-1.190125 53.056954,-1.189627 53.057048,-1.188995 53.057080,-1.188682 53.057341,-1.188643 53.057420,-1.188704 53.057533,-1.188977 53.057698,-1.188371 53.057835,-1.187817 53.057913,-1.187631 53.057836,-1.186812 53.057926,-1.185633 53.057410,-1.185572 53.057326,-1.185419 53.057341,-1.184917 53.057233,-1.184455 53.057178,-1.183638 53.057185,-1.183588 53.057055,-1.183180 53.057054,-1.183155 53.057040,-1.183181 53.056894,-1.183241 53.056861,-1.183263 53.056672,-1.183367 53.056619,-1.183502 53.055968,-1.183677 53.055881,-1.183662 53.055324,-1.184092 53.055326,-1.184098 53.054454,-1.184250 53.054449,-1.184228 53.054124,-1.184407 53.053923,-1.183790 53.053918,-1.183773 53.053773,-1.183443 53.053765,-1.183382 53.053792,-1.182642 53.053842,-1.182634 53.053714,-1.182031 53.053696,-1.181988 53.053741,-1.181863 53.054785,-1.181336 53.055823,-1.180954 53.055786,-1.180927 53.055899,-1.181023 53.055909,-1.181035 53.055935,-1.180981 53.056187,-1.181101 53.056246,-1.180787 53.056827,-1.180706 53.056815,-1.180454 53.057572,-1.181553 53.057701,-1.181328 53.059124,-1.181315 53.059359,-1.181432 53.059950,-1.181668 53.060539,-1.181815 53.061143,-1.181770 53.061265,-1.181647 53.061377,-1.181024 53.061693,-1.181009 53.061738,-1.180208 53.062330,-1.180392 53.062391,-1.180988 53.062328,-1.181527 53.062326)))",PAPPLEWICK C.A.,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/94
95,,,2020-09-08,"MULTIPOLYGON (((-1.061252 53.023709,-1.061228 53.024158,-1.063807 53.024319,-1.063848 53.023729,-1.064097 53.023789,-1.064367 53.023811,-1.065078 53.023758,-1.065005 53.025002,-1.066026 53.024954,-1.065983 53.024864,-1.065974 53.024727,-1.065999 53.024309,-1.067518 53.024423,-1.067706 53.024552,-1.067768 53.024989,-1.068379 53.025048,-1.068494 53.025107,-1.068723 53.025150,-1.069124 53.025283,-1.070404 53.025299,-1.070457 53.025204,-1.071050 53.025023,-1.071792 53.025345,-1.072228 53.025139,-1.072492 53.024611,-1.072726 53.024583,-1.072661 53.024427,-1.072638 53.024189,-1.072557 53.023928,-1.070798 53.024032,-1.070849 53.022337,-1.073179 53.022190,-1.072807 53.021682,-1.072293 53.021856,-1.071288 53.021898,-1.071282 53.021645,-1.070372 53.021641,-1.070354 53.021596,-1.070196 53.021602,-1.069874 53.021545,-1.069839 53.021589,-1.069704 53.021548,-1.069538 53.021778,-1.068723 53.021598,-1.067496 53.021483,-1.067514 53.021396,-1.067476 53.021343,-1.066950 53.020897,-1.066616 53.020680,-1.066088 53.020436,-1.066098 53.020384,-1.066036 53.020336,-1.065438 53.020200,-1.063103 53.019381,-1.062777 53.019456,-1.062443 53.019649,-1.062104 53.019908,-1.061313 53.020622,-1.060892 53.020931,-1.060762 53.020899,-1.060792 53.020878,-1.059567 53.020559,-1.058881 53.021585,-1.059116 53.021618,-1.058950 53.022082,-1.058482 53.023095,-1.058403 53.023097,-1.058373 53.023204,-1.057408 53.023215,-1.057408 53.023174,-1.057328 53.023169,-1.057314 53.023032,-1.057163 53.022979,-1.056840 53.022997,-1.056665 53.023160,-1.055526 53.023085,-1.055528 53.022757,-1.054942 53.022767,-1.054943 53.022729,-1.054359 53.022773,-1.053445 53.022741,-1.053432 53.022911,-1.053230 53.022806,-1.052501 53.022750,-1.051583 53.022910,-1.051152 53.022897,-1.051207 53.022981,-1.051376 53.023511,-1.051441 53.023595,-1.051486 53.023590,-1.051513 53.023854,-1.051472 53.023959,-1.051478 53.024241,-1.051362 53.024267,-1.051566 53.024486,-1.053074 53.024700,-1.053562 53.024702,-1.054543 53.024583,-1.054680 53.024541,-1.055186 53.024512,-1.057390 53.024488,-1.059276 53.024420,-1.059279 53.024472,-1.059629 53.024503,-1.059634 53.024465,-1.059723 53.024471,-1.059857 53.023670,-1.060054 53.023673,-1.060036 53.024238,-1.060186 53.024248,-1.060201 53.024171,-1.060753 53.024204,-1.060891 53.023535,-1.061079 53.023544,-1.061252 53.023709)))",WOODBOROUGH C.A,local-authority-eng:GED,,conservation-area/local-authority-eng/GED/95
