documentation-url,end-date,entry-date,geography,geometry,name,organisation,reference,start-date,slug
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/clapham,,2021-04-09,conservation-area:CA01,,Clapham,local-authority-eng:LBH,CA01,1968-06-20,/conservation-area/local-authority-eng/LBH/CA01
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/lambeth,,2021-04-09,conservation-area:CA10,,Lambeth Palace,local-authority-eng:LBH,CA10,1968-01-01,/conservation-area/local-authority-eng/LBH/CA10
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/st-marks,,2021-04-09,conservation-area:CA11,,St Marks,local-authority-eng:LBH,CA11,1969-01-01,/conservation-area/local-authority-eng/LBH/CA11
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-21,,2021-04-09,conservation-area:CA12,,Streatham Park & Garrads Road,local-authority-eng:LBH,CA12,1969-01-01,/conservation-area/local-authority-eng/LBH/CA12
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-2,,2021-04-09,conservation-area:CA13,,Brixton Water Lane,local-authority-eng:LBH,CA13,1969-01-01,/conservation-area/local-authority-eng/LBH/CA13
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/gipsy,,2021-04-09,conservation-area:CA14,,Gipsy Hill,local-authority-eng:LBH,CA14,1974-01-01,/conservation-area/local-authority-eng/LBH/CA14
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-22,,2021-04-09,conservation-area:CA15,,Sunnyhill Road,local-authority-eng:LBH,CA15,1973-04-02,/conservation-area/local-authority-eng/LBH/CA15
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/hackford,,2021-04-09,conservation-area:CA16,,Hackford Road,local-authority-eng:LBH,CA16,1974-06-25,/conservation-area/local-authority-eng/LBH/CA16
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-5,,2021-04-09,conservation-area:CA17,,Clapham Park Road/Northbourne Road,local-authority-eng:LBH,CA17,1974-08-09,/conservation-area/local-authority-eng/LBH/CA17
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/trinity,,2021-04-09,conservation-area:CA18,,Trinity Gardens,local-authority-eng:LBH,CA18,1978-08-01,/conservation-area/local-authority-eng/LBH/CA18
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/park,,2021-04-09,conservation-area:CA19,,Park Hall Road,local-authority-eng:LBH,CA19,1974-01-01,/conservation-area/local-authority-eng/LBH/CA19
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles/rectory,,2021-04-09,conservation-area:CA02,,Rectory Grove,local-authority-eng:LBH,CA02,1968-01-01,/conservation-area/local-authority-eng/LBH/CA02
https://beta.lambeth.gov.uk/planning-and-building-control/conservation-and-listed-buildings/conservation-area-profiles-7,,2021-04-09,conservation-area:CA20,,Elderwood,local-authority-eng:LBH,CA20,1976-01-01,/conservation-area/local-authority-eng/LBH/CA20
