conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,reference,start-date,slug
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.436076 51.214855,-0.434776 51.214543,-0.433375 51.214153,-0.433104 51.214109,-0.432530 51.213934,-0.432410 51.213871,-0.431645 51.214251,-0.431581 51.214186,-0.431347 51.214180,-0.431359 51.214259,-0.431112 51.214683,-0.430819 51.215059,-0.430550 51.215314,-0.430489 51.215345,-0.430282 51.215341,-0.429676 51.215230,-0.429439 51.215650,-0.430481 51.215955,-0.431833 51.216281,-0.431800 51.216384,-0.431892 51.216595,-0.432463 51.216957,-0.432406 51.217003,-0.432512 51.217079,-0.432452 51.217147,-0.432581 51.217202,-0.432691 51.217211,-0.432771 51.217171,-0.433301 51.217307,-0.433431 51.217042,-0.434230 51.217273,-0.434609 51.217440,-0.434482 51.217603,-0.434997 51.217733,-0.435103 51.217865,-0.435856 51.218026,-0.436238 51.217398,-0.434996 51.217105,-0.435089 51.216993,-0.435146 51.216850,-0.435275 51.216704,-0.435357 51.216536,-0.435415 51.216302,-0.435538 51.216120,-0.435669 51.215841,-0.435693 51.215682,-0.435886 51.215344,-0.435924 51.215126,-0.436076 51.214855)))",MV1 ABINGER HAMMER 26TH MARCH 1974,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.431038 51.214763,-0.431348 51.214281,-0.431347 51.214180,-0.430564 51.214132,-0.430415 51.214674,-0.429414 51.214175,-0.428804 51.213952,-0.428056 51.213770,-0.426928 51.213594,-0.426122 51.213430,-0.426039 51.213755,-0.425993 51.213815,-0.425873 51.213929,-0.425414 51.214201,-0.425365 51.214275,-0.425335 51.214426,-0.425360 51.214488,-0.425446 51.214529,-0.427939 51.214851,-0.428942 51.215032,-0.430001 51.215307,-0.430417 51.215349,-0.430550 51.215314,-0.430798 51.215081,-0.431038 51.214763)))",MV1a ABINGER HAMMER 25TH APRIL 1995,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.285346 51.310656,-0.285136 51.310597,-0.284985 51.310649,-0.285220 51.310938,-0.285202 51.311019,-0.285046 51.311102,-0.284440 51.311252,-0.283715 51.311303,-0.283903 51.311476,-0.284093 51.311976,-0.284468 51.312175,-0.284634 51.312193,-0.284402 51.312349,-0.284927 51.312607,-0.285387 51.312613,-0.285701 51.312505,-0.286215 51.312425,-0.286485 51.312326,-0.287043 51.312025,-0.287249 51.311815,-0.287302 51.311540,-0.287253 51.311356,-0.286542 51.310657,-0.286206 51.310705,-0.285608 51.310905,-0.285602 51.310760,-0.285560 51.310703,-0.285346 51.310656)))",MV2 ASHTEAD ASHTEAD HOUSE 16TH FEBRUARY 1988,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.299217 51.307332,-0.299272 51.307309,-0.298906 51.306973,-0.298824 51.306858,-0.298820 51.306715,-0.298910 51.306529,-0.298918 51.306406,-0.298203 51.306559,-0.297924 51.306270,-0.297627 51.306432,-0.297695 51.306482,-0.297380 51.306621,-0.297477 51.306712,-0.296782 51.307029,-0.297264 51.307337,-0.297300 51.307400,-0.297271 51.307487,-0.297732 51.307797,-0.298138 51.307627,-0.297950 51.307469,-0.298517 51.307261,-0.298544 51.307253,-0.298795 51.307464,-0.299217 51.307332)))",MV2a ASHTEAD RECTORY LANE 16TH FEBRUARY 1988,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.302842 51.312700,-0.302920 51.312558,-0.302791 51.312376,-0.302997 51.312279,-0.302523 51.311736,-0.302465 51.311762,-0.302276 51.311578,-0.302335 51.311552,-0.302028 51.311217,-0.301391 51.310255,-0.301255 51.310303,-0.301091 51.310112,-0.300206 51.310421,-0.300753 51.311267,-0.301248 51.311886,-0.302047 51.312665,-0.302294 51.312850,-0.302842 51.312700)))",MV2b ASHTEAD WOODFIELD LANE 16TH FEBRUARY 1988,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.267005 51.236184,-0.267515 51.236331,-0.268002 51.236348,-0.268119 51.235806,-0.269566 51.235512,-0.268805 51.233790,-0.268643 51.233752,-0.268455 51.233264,-0.268129 51.232584,-0.267872 51.232450,-0.267719 51.232249,-0.267480 51.231708,-0.266986 51.230276,-0.266825 51.230200,-0.266531 51.230213,-0.262469 51.231211,-0.262803 51.231764,-0.262905 51.231860,-0.262865 51.231882,-0.262975 51.231981,-0.263441 51.232308,-0.264741 51.232908,-0.264654 51.233060,-0.264422 51.233197,-0.264467 51.233376,-0.264590 51.233482,-0.264745 51.233749,-0.264752 51.233980,-0.264634 51.234121,-0.265781 51.234829,-0.266201 51.235229,-0.266422 51.235563,-0.266299 51.235595,-0.266180 51.235753,-0.265986 51.235737,-0.266030 51.235982,-0.265959 51.236086,-0.266105 51.236046,-0.266638 51.236072,-0.267005 51.236184)))",MV3 BETCHWORTH 24TH FEBRUARY 1970,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.377593 51.199704,-0.377576 51.199528,-0.377647 51.199376,-0.378075 51.198922,-0.377888 51.198581,-0.377760 51.198487,-0.378003 51.197714,-0.378061 51.197461,-0.378058 51.197274,-0.378354 51.196634,-0.377080 51.196449,-0.376598 51.197213,-0.376244 51.197655,-0.376062 51.197971,-0.376042 51.198137,-0.375501 51.198799,-0.376034 51.199078,-0.376074 51.199209,-0.376435 51.199536,-0.376762 51.199651,-0.377134 51.199897,-0.377593 51.199704)))",MV4 BROADMOOR 26TH MARCH 1974,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.285087 51.235569,-0.285617 51.235486,-0.287913 51.235291,-0.288577 51.235270,-0.288592 51.235438,-0.289780 51.235242,-0.289800 51.235288,-0.291066 51.235020,-0.291191 51.235046,-0.291501 51.235278,-0.292541 51.234900,-0.292447 51.234321,-0.291907 51.233863,-0.291599 51.232833,-0.291571 51.232643,-0.291647 51.232419,-0.291663 51.232162,-0.293251 51.232103,-0.292571 51.230382,-0.292489 51.229940,-0.291464 51.230004,-0.291268 51.229979,-0.291122 51.229906,-0.290212 51.230061,-0.290103 51.229868,-0.289681 51.229474,-0.289520 51.229370,-0.289403 51.229157,-0.289373 51.229009,-0.289398 51.228790,-0.289430 51.228765,-0.289036 51.228634,-0.288939 51.228652,-0.288879 51.228728,-0.288885 51.228811,-0.288717 51.228836,-0.288363 51.228803,-0.288310 51.228692,-0.288226 51.228653,-0.287642 51.228783,-0.287110 51.228820,-0.286543 51.228933,-0.286265 51.228853,-0.285613 51.228744,-0.285413 51.228796,-0.285169 51.228961,-0.284972 51.229057,-0.284843 51.229080,-0.284620 51.228592,-0.284147 51.228678,-0.283921 51.228599,-0.283727 51.228613,-0.283331 51.228701,-0.283040 51.228823,-0.282904 51.228821,-0.282752 51.228411,-0.282550 51.228218,-0.282407 51.228137,-0.280307 51.228611,-0.280530 51.228919,-0.280320 51.229051,-0.280185 51.229047,-0.280265 51.229183,-0.280541 51.229406,-0.280498 51.229527,-0.280444 51.229524,-0.280439 51.229634,-0.280349 51.229725,-0.280320 51.229874,-0.281072 51.230065,-0.281026 51.230141,-0.281736 51.230322,-0.281508 51.231159,-0.281505 51.231347,-0.281882 51.231987,-0.281981 51.232447,-0.281990 51.232628,-0.282032 51.232670,-0.281974 51.233073,-0.282249 51.234064,-0.282344 51.234261,-0.281518 51.234482,-0.281697 51.234779,-0.281726 51.234966,-0.282027 51.234904,-0.282826 51.234959,-0.283108 51.234919,-0.283406 51.234924,-0.285087 51.235569)))",MV5 BROCKHAM 28TH JULY 1970,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.248723 51.246361,-0.249079 51.246306,-0.249446 51.246105,-0.249323 51.245926,-0.250384 51.245667,-0.250621 51.245517,-0.250759 51.245341,-0.251088 51.245369,-0.251468 51.245826,-0.252463 51.245492,-0.252739 51.245466,-0.255271 51.244945,-0.254739 51.244124,-0.255112 51.243888,-0.255940 51.243442,-0.255677 51.242936,-0.255353 51.242614,-0.255656 51.242367,-0.255574 51.242330,-0.255149 51.242347,-0.255053 51.241950,-0.254572 51.241956,-0.254573 51.241982,-0.253571 51.242074,-0.252921 51.241679,-0.252769 51.241834,-0.252450 51.241822,-0.251759 51.241863,-0.251428 51.241932,-0.251155 51.242039,-0.250331 51.242057,-0.250005 51.242103,-0.249946 51.242150,-0.249823 51.242399,-0.249609 51.243023,-0.249533 51.243136,-0.249412 51.243182,-0.248144 51.243251,-0.248094 51.243622,-0.247471 51.244222,-0.247654 51.244973,-0.247846 51.245316,-0.247925 51.245610,-0.248034 51.245863,-0.248167 51.245987,-0.248528 51.246154,-0.248723 51.246361)))",MV6 BUCKLAND 27TH FEBRUARY 1970,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
mole_valley_district_council_conservation_area_polygon,,,2020-09-05,"MULTIPOLYGON (((-0.318227 51.158870,-0.318302 51.158697,-0.318596 51.158399,-0.318649 51.158395,-0.319012 51.158671,-0.319740 51.157729,-0.320073 51.157799,-0.320089 51.157759,-0.320844 51.157818,-0.320804 51.157598,-0.320697 51.157529,-0.320781 51.157437,-0.321286 51.157314,-0.321559 51.157200,-0.321108 51.156635,-0.321269 51.156591,-0.321197 51.156474,-0.321764 51.156349,-0.321583 51.156143,-0.321541 51.156017,-0.321249 51.155806,-0.320890 51.155458,-0.320855 51.155338,-0.320800 51.155337,-0.320919 51.154850,-0.321366 51.154806,-0.321570 51.154672,-0.321685 51.154452,-0.321776 51.154458,-0.321704 51.153626,-0.321310 51.153627,-0.321232 51.152938,-0.320705 51.152856,-0.320675 51.152274,-0.320539 51.152162,-0.320691 51.151839,-0.320960 51.151685,-0.321079 51.151746,-0.321597 51.151558,-0.321903 51.151487,-0.322174 51.151508,-0.322010 51.151257,-0.322944 51.150832,-0.322638 51.150442,-0.322730 51.150385,-0.322891 51.150527,-0.323162 51.150435,-0.323433 51.150432,-0.323668 51.150121,-0.323299 51.149948,-0.323003 51.149732,-0.322680 51.149357,-0.321955 51.149744,-0.322014 51.149884,-0.321898 51.149889,-0.321579 51.149978,-0.321373 51.150091,-0.320767 51.150324,-0.320741 51.150362,-0.320762 51.150423,-0.320743 51.150545,-0.320407 51.150783,-0.320712 51.151109,-0.320413 51.151304,-0.320255 51.151477,-0.320248 51.151573,-0.320323 51.151699,-0.319626 51.152151,-0.319379 51.152105,-0.319211 51.152432,-0.318507 51.152329,-0.318339 51.152966,-0.318284 51.152989,-0.317695 51.152914,-0.317540 51.152955,-0.316888 51.152992,-0.316628 51.153134,-0.315884 51.153377,-0.315948 51.153566,-0.315815 51.153565,-0.315828 51.153893,-0.315637 51.153934,-0.315906 51.154462,-0.316939 51.154263,-0.317415 51.154068,-0.318855 51.153922,-0.318869 51.154012,-0.319090 51.154429,-0.319069 51.154592,-0.319100 51.154717,-0.319879 51.154550,-0.320267 51.155346,-0.320355 51.155554,-0.319872 51.155571,-0.319917 51.156089,-0.319702 51.156093,-0.319700 51.156198,-0.318730 51.156394,-0.318678 51.156366,-0.318754 51.156710,-0.317294 51.157955,-0.317547 51.158147,-0.317497 51.158248,-0.317787 51.158330,-0.317712 51.158408,-0.317755 51.158425,-0.317590 51.158681,-0.318227 51.158870)))",MV7 CAPEL 16TH JULY 1975,local-authority-eng:MOL,mole_valley_district_council_conservation_area_polygon,,conservation-area/local-authority-eng/MOL/mole-valley-district-council-conservation-area-polygon
