resource,bytes,organisations,endpoints,start-date,end-date
00e78ab08831dfb3f7e9f2c11db147384f155dc19363d385f7b2f1cb5fa94484,351563,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-11-11,2020-11-11
041560991f8c2e27de78b0e49e9e9f2282879bdad6564681568d5ddd2bd4de33,63021,local-authority-eng:SHN,985c16bc25453fd0649f2e03b4901ee882fd008b06d25cd2ed2f2272e8bc8990,2020-09-14,2020-11-27
043fd72cc71429aad3fffa1a42a75d0c063f5946f5de88a65eb4bc9a71bfb54e,3416982,local-authority-eng:NGM,813908b12b2b7e092e32e0c2ed7ae928add989c27ceeaac271caffea9ae7b8d1,2020-09-05,2020-11-30
04b6a85c36342c21fb2cebd25b454ba757dfe18518e48a6252b0725ca913b074,305385,national-park-authority:Q27159704,4fc9852e72e718637117e61c7fd28be432123c9b3bf7e77fe6a3f778cc37e54b,2020-11-29,2020-11-29
04b8f65abfd6ca044fdf320c185865353ee8d7b0fd396a974015b25b041f94f7,85478,local-authority-eng:STH,f6b468c84948ec43983f7dda486b3f224735e2889f94f69cd83ddf0db9b35e19,2020-11-30,2020-11-30
051f59690754d068a4012ef2490ad9a900882fb84746696e3865adaf6f1b0535,168081,local-authority-eng:LND,8ef7c6547386b2330e06d93ba3f5e65cbb21edc4943bbc566203419198a1866b,2020-11-30,2020-11-30
06800122baa5f4e3c37ca4b048eaa5823c0c217f224a40bc32b75a3e92c85715,168081,local-authority-eng:LND,8ef7c6547386b2330e06d93ba3f5e65cbb21edc4943bbc566203419198a1866b,2020-11-29,2020-11-29
07b84eadda99567f835a1f5919bd0a2ab48291932ad7cfaae33032ffb48744b3,1352256,local-authority-eng:SOX,d74730ad1ef0a9baefea7d86e5175c81752896a5cdaf2e28b88027dce9b27317,2020-09-05,2020-11-30
08fbb782cc005066ce927d643cfd0300769648c98e15208300ac52555b0b9f92,1631707,national-park-authority:Q72617988,d9f930af09cef73df4db5745d5555afb5b02f51c4818bd97e804b349f8f3ba4e,2020-09-08,2020-11-27
0b4284077da580a6daea59ee2227f9c7c55a9a45d57ef470d82418a4391ddf9a,362420,local-authority-eng:MAL,f1c0048a9dbf0c716bfdbaba9e4da19870a59d95507aaa046824fcba01064a25,2020-09-14,2020-11-27
0bbbd7d9fa403ba1fe931066753b93d27f1b3c71fea0d789df87da28717ea865,167265,local-authority-eng:LND,8ef7c6547386b2330e06d93ba3f5e65cbb21edc4943bbc566203419198a1866b,2020-11-13,2020-11-13
0d1e38ecf788599647f63fab6baf737228711c5773fbd7445382299bfd89768f,351563,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-11-18,2020-11-18
0da8a123b1b6f699f0d810fede5c41f15688be1a9581c59d6e8d63c864257b1d,46059,local-authority-eng:ROC,01c1fb38c771e2ebd83a12e48edb70c64f1e28ce048a5fce584693623271b50e,2020-11-29,2020-11-30
13cdf05acfbb5ef5155b98e07350f36a2f51bfc0abd8c94be56b954441b8c828,81210,local-authority-eng:KWL,b9613a49ae549aefc90774f71cda0c99c11814f5d3b7c5da6ade6b2893b277b6,2020-09-07,2020-11-27
142208963c0ae0bfaf9630180e9a11e10a399fef70f5956fb9d10f39f85c4b84,167260,local-authority-eng:LND,8ef7c6547386b2330e06d93ba3f5e65cbb21edc4943bbc566203419198a1866b,2020-09-06,2020-09-07
15431d3826c565baa665b72b7860de8b4e99f4287855a756739b5d93c4f2a6b5,351588,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-09-24,2020-09-24
1644833244ccecf8b75067b98116750a7408908ef7aadd5702398aee745cbf6a,351563,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-11-27,2020-11-27
16bee450f8dda9a2069b545208f954b215d9157dc3a85e8bb0b4422d05247c70,167265,local-authority-eng:LND,8ef7c6547386b2330e06d93ba3f5e65cbb21edc4943bbc566203419198a1866b,2020-10-12,2020-10-12
16cd4703a5d780f9fbc637cd888b47c2082975bab80bc56e09192aa125ef89c9,351563,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-11-22,2020-11-22
17934a9db4021f3877b28ae80f03414d78fb56352f38c1ab2afeed8006ecaae6,502377,local-authority-eng:BOS,79c8d68e7c08230c990410038451d84f11566963510e8c364a3e9966ac6a1cb8,2020-09-06,2020-11-27
19153f50f521cd41541d3e6187eab79a33a2c7f9b1b8eb32598899d427119cef,1705113,local-authority-eng:COT,bcb30cd5d27070adb905b1a330d3129f0d4c2fae70a1a9a82a7052806d2c50ac,2020-11-30,2020-11-30
198a5e49f7a6f8ed17d792c0267c333ca2e3f08b6a6d6cc40ed91dd38c14663b,256886,local-authority-eng:LCE,e16847d72fae8c0561a5093e1aa8f98ee64070746b682928e906c75ae9fa3671,2020-09-06,2020-11-30
1a6949bbc04a84696511fed4d275d7629426a81eb854d30556a1493a0e7c7ce7,81562,local-authority-eng:KWL,b9613a49ae549aefc90774f71cda0c99c11814f5d3b7c5da6ade6b2893b277b6,2020-11-29,2020-11-29
1c2b87289740a3fc142df980f2a067f131a7caeab5345701cf8bff0a8591a614,351588,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-10-12,2020-10-12
1ca02be5df4301b982b67968b43b913c416be4eb2605257d832990f489d793b0,63510,local-authority-eng:BAR,91ab6be088bfb215edd320eee06ad41dc291b8a20c21d5d555f2a91fb65afabc,2020-11-29,2020-11-29
1d309804ab44e69e3d15a640e03ef344e2e320d8b0b77de39bb01d7bc7cf9d74,606721,local-authority-eng:YOR,c89258d2677ecee8125a4258ebc3d7cc794d21bd626a33c5ef05312e5e92ce29,2020-11-21,2020-11-27
1d3dbca3e353ae86575d2f31a69c41dd00940668d34a529961de837223b6738f,351588,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-09-17,2020-09-17
1eb168a7b080c36e8d4fe76ca9c7ad289dafab2bf9dff9171e5dee013b3ce1e2,1481296,local-authority-eng:SNR,c12b7a839854363d0992dd250014caf44f6bddd0cc8eb3836f02925b048b4575,2020-09-06,2020-09-17
1ee42cdabb3d317f243dcd6cb14da53092083ed9a87c863eab49662b23591999,117270,local-authority-eng:SEG,1e54db15e6aacb60345575ec20d558851d722a4711bb20b324ccb7cbffd1afa9,2020-09-11,2020-11-30
21a17b323b38064cb8cb44cc4942c12ca16d7160161bac01354ae8cf4a5ee3ae,315376,local-authority-eng:BOL,497ff12e5e4ff3aeef32e70159343a218fa721ac494eb3eb3428b19cb6187e22,2020-09-05,2020-11-30
23f623c4aadc4b08bdc65edd8439ec1a0f96d9add4dc5e08e0e120178d9895c4,351563,national-park-authority:Q5225646,b89a17ca70af985a2b4849fb1b95d90be4b10b7f53a2846f1b9865dd07e31339,2020-11-12,2020-11-12
24266e1422e22c0e373fb37d5bbaf8ae264b0b4fad01d0a72dffdc750243da71,606721,local-authority-eng:YOR,c89258d2677ecee8125a4258ebc3d7cc794d21bd626a33c5ef05312e5e92ce29,2020-11-19,2020-11-20
289ba18eaa6040f3f00d515fe5d0b6c8d0efa94ea4e069ecb8eb7a09013832a3,275731,local-authority-eng:KET,5d141ba07b62c506302430c5ceaa4468c8579538752f7f261ab10fb229f8c4df,2020-09-06,2020-11-27
