conservation-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date
dpd_conservation.11,,,2020-09-05,"MULTIPOLYGON (((-2.464740 53.569810, -2.464657 53.570066, -2.464467 53.570416, -2.464533 53.570772, -2.463488 53.570699, -2.462555 53.569764, -2.463076 53.569763, -2.463051 53.569541, -2.463080 53.569443, -2.463055 53.569429, -2.462993 53.568878, -2.463075 53.568824, -2.462734 53.568742, -2.462361 53.568746, -2.462357 53.568680, -2.462238 53.568686, -2.462197 53.568618, -2.462129 53.568171, -2.463275 53.567711, -2.465097 53.567108, -2.465163 53.568020, -2.465945 53.567908, -2.466397 53.567895, -2.466413 53.568380, -2.466266 53.568658, -2.466174 53.569160, -2.465490 53.569120, -2.465358 53.569748, -2.465213 53.569743, -2.465187 53.569855, -2.464740 53.569810)))",Deane Village,local-authority-eng:BOL,
dpd_conservation.12,,,2020-09-05,"MULTIPOLYGON (((-2.426295 53.577668, -2.426235 53.577568, -2.426002 53.577627, -2.425983 53.577600, -2.425808 53.577635, -2.425750 53.577548, -2.425312 53.577580, -2.425296 53.577632, -2.425098 53.577669, -2.425281 53.577996, -2.424868 53.578104, -2.424721 53.577837, -2.424172 53.578134, -2.423882 53.577951, -2.423431 53.578194, -2.424811 53.578419, -2.424900 53.578873, -2.426782 53.578781, -2.426617 53.578291, -2.426295 53.577668)))",Silverwell Street/Wood Street,local-authority-eng:BOL,
dpd_conservation.13,,,2020-09-05,"MULTIPOLYGON (((-2.427771 53.576921, -2.428183 53.576830, -2.428686 53.577612, -2.428910 53.578098, -2.428033 53.578187, -2.427993 53.578151, -2.426617 53.578291, -2.426295 53.577668, -2.425628 53.576627, -2.425955 53.576559, -2.427340 53.576159, -2.427771 53.576921)))",Mawdsley Street/Nelson Square,local-authority-eng:BOL,
dpd_conservation.14,,,2020-09-05,"MULTIPOLYGON (((-2.420288 53.612123, -2.420362 53.611970, -2.420525 53.611860, -2.421180 53.611869, -2.421537 53.612010, -2.421628 53.612106, -2.422258 53.612175, -2.422480 53.612296, -2.423222 53.612541, -2.423765 53.612497, -2.424253 53.612536, -2.424569 53.612519, -2.424712 53.612483, -2.424827 53.612414, -2.424840 53.612262, -2.426019 53.612178, -2.426279 53.612286, -2.426023 53.612549, -2.426955 53.612707, -2.427086 53.612567, -2.427098 53.612483, -2.427291 53.612522, -2.427460 53.612464, -2.428009 53.611898, -2.427765 53.611820, -2.427957 53.611568, -2.427800 53.611522, -2.427960 53.611312, -2.428065 53.611258, -2.427974 53.611073, -2.427438 53.611128, -2.426616 53.611311, -2.426486 53.611301, -2.425888 53.611101, -2.425842 53.611030, -2.425647 53.610203, -2.428159 53.610042, -2.429555 53.609878, -2.429520 53.609982, -2.429130 53.610518, -2.429700 53.610650, -2.429260 53.611334, -2.429507 53.611400, -2.429585 53.611577, -2.430160 53.611522, -2.429659 53.612326, -2.430853 53.612196, -2.430845 53.611461, -2.431458 53.611383, -2.432004 53.611404, -2.432092 53.612014, -2.432255 53.612322, -2.432447 53.612497, -2.433428 53.613081, -2.436284 53.614928, -2.436522 53.615064, -2.437312 53.615400, -2.437698 53.615642, -2.437956 53.615986, -2.438032 53.616223, -2.438013 53.616660, -2.437856 53.617406, -2.437838 53.617427, -2.437613 53.617392, -2.437582 53.617359, -2.437418 53.616915, -2.437345 53.616872, -2.437198 53.616525, -2.436094 53.616158, -2.435848 53.616048, -2.435475 53.616274, -2.434807 53.616486, -2.434569 53.616588, -2.434478 53.616666, -2.433384 53.617002, -2.433010 53.616712, -2.432921 53.616550, -2.432707 53.616634, -2.432514 53.616478, -2.432203 53.616401, -2.431839 53.616170, -2.431434 53.616079, -2.431341 53.615958, -2.431003 53.615831, -2.431046 53.615794, -2.431042 53.615749, -2.430933 53.615702, -2.430651 53.615713, -2.430526 53.615672, -2.430313 53.615662, -2.430203 53.615689, -2.430106 53.615670, -2.430021 53.615740, -2.429871 53.615732, -2.428619 53.615560, -2.428576 53.615799, -2.428527 53.615881, -2.428323 53.616074, -2.428225 53.616088, -2.428066 53.615804, -2.428012 53.615639, -2.427731 53.615321, -2.427536 53.615558, -2.427091 53.615435, -2.427206 53.615297, -2.426573 53.615115, -2.424692 53.614786, -2.424433 53.615271, -2.424016 53.615185, -2.424129 53.614672, -2.424166 53.614614, -2.422620 53.614064, -2.422924 53.613757, -2.422491 53.613638, -2.422107 53.613455, -2.421894 53.613287, -2.421810 53.613063, -2.420753 53.612762, -2.420439 53.612634, -2.420417 53.612576, -2.420504 53.612383, -2.420286 53.612200, -2.420288 53.612123)))",Eagley Bank,local-authority-eng:BOL,
dpd_conservation.15,,,2020-09-05,"MULTIPOLYGON (((-2.477329 53.601798, -2.476313 53.601731, -2.476202 53.601878, -2.475572 53.602188, -2.475528 53.602280, -2.475605 53.602529, -2.475036 53.602587, -2.474866 53.602422, -2.474682 53.602358, -2.473447 53.602026, -2.473366 53.602074, -2.473042 53.602000, -2.472923 53.601947, -2.472796 53.601839, -2.471407 53.601294, -2.471087 53.601533, -2.470296 53.601250, -2.469924 53.600750, -2.469993 53.600685, -2.469992 53.600602, -2.470169 53.600478, -2.469811 53.599984, -2.471241 53.599590, -2.471114 53.599281, -2.471618 53.599137, -2.471714 53.599182, -2.472592 53.598938, -2.472942 53.599478, -2.471965 53.599776, -2.471316 53.600043, -2.471090 53.600091, -2.471162 53.600146, -2.470812 53.600370, -2.471421 53.600368, -2.471959 53.600570, -2.472063 53.600483, -2.472199 53.600562, -2.472427 53.600546, -2.472667 53.600571, -2.472657 53.600473, -2.475054 53.601200, -2.475288 53.601248, -2.475944 53.601195, -2.476502 53.601060, -2.476664 53.601179, -2.476360 53.601380, -2.476364 53.601532, -2.476778 53.601669, -2.477329 53.601798)))",Barrow Bridge,local-authority-eng:BOL,
dpd_conservation.16,,,2020-09-05,"MULTIPOLYGON (((-2.446318 53.595448, -2.447089 53.595615, -2.447034 53.595697, -2.447049 53.595793, -2.447300 53.596021, -2.447528 53.596302, -2.448049 53.596679, -2.448817 53.597043, -2.448707 53.597283, -2.449213 53.597337, -2.446502 53.598257, -2.445907 53.597945, -2.445570 53.597867, -2.445255 53.597873, -2.444268 53.597988, -2.443673 53.597289, -2.443736 53.597128, -2.443532 53.596876, -2.443579 53.596807, -2.443947 53.596709, -2.443848 53.596535, -2.444428 53.596413, -2.444567 53.596588, -2.445533 53.596377, -2.445391 53.596126, -2.445881 53.595964, -2.445573 53.595910, -2.445910 53.595244, -2.446407 53.595273, -2.446318 53.595448)))",Hill Top,local-authority-eng:BOL,
dpd_conservation.17,,,2020-09-05,"MULTIPOLYGON (((-2.422633 53.578888, -2.422707 53.578753, -2.422671 53.578743, -2.423079 53.578399, -2.423121 53.578417, -2.423431 53.578194, -2.424811 53.578419, -2.424900 53.578873, -2.426782 53.578781, -2.426849 53.579105, -2.426865 53.579607, -2.426488 53.580276, -2.425865 53.580128, -2.425749 53.580255, -2.424869 53.580023, -2.424572 53.579898, -2.424178 53.579983, -2.423348 53.579770, -2.423105 53.579644, -2.422819 53.579280, -2.422696 53.579169, -2.422333 53.578966, -2.422365 53.578835, -2.422633 53.578888)))",Churchgate,local-authority-eng:BOL,
dpd_conservation.18,,,2020-09-05,"MULTIPOLYGON (((-2.449728 53.595575, -2.450980 53.595971, -2.451430 53.596042, -2.451933 53.596184, -2.452074 53.596086, -2.452284 53.596096, -2.452220 53.596397, -2.452175 53.596514, -2.451362 53.596655, -2.449462 53.596097, -2.448929 53.596797, -2.448847 53.596925, -2.448817 53.597043, -2.448049 53.596679, -2.447528 53.596302, -2.447300 53.596021, -2.447049 53.595793, -2.447034 53.595697, -2.447089 53.595615, -2.446318 53.595448, -2.446407 53.595273, -2.445910 53.595244, -2.445762 53.594759, -2.445814 53.594582, -2.446358 53.594731, -2.447074 53.594836, -2.449728 53.595575)))",Saint Paul's Halliwell,local-authority-eng:BOL,
dpd_conservation.19,,,2020-09-05,"MULTIPOLYGON (((-2.423985 53.605458, -2.423982 53.605732, -2.423103 53.605664, -2.422794 53.605667, -2.422822 53.606367, -2.422051 53.606374, -2.422054 53.605784, -2.421542 53.605823, -2.421539 53.605992, -2.420871 53.605981, -2.420866 53.605882, -2.420762 53.605882, -2.420630 53.605599, -2.421360 53.605492, -2.421439 53.605304, -2.421375 53.604844, -2.422915 53.604935, -2.423315 53.605387, -2.423985 53.605458)))",Bank Top,local-authority-eng:BOL,
dpd_conservation.20,,,2020-09-05,"MULTIPOLYGON (((-2.432763 53.599830, -2.432759 53.599916, -2.432456 53.599917, -2.432453 53.599817, -2.432093 53.599817, -2.432094 53.599914, -2.430791 53.599925, -2.430776 53.599347, -2.431960 53.599330, -2.431965 53.599437, -2.432102 53.599436, -2.432103 53.599506, -2.432774 53.599500, -2.432763 53.599830)))",Birley Street,local-authority-eng:BOL,
