pipeline,resource,field,fields,separator,entry-date,start-date,end-date
conservation-area,f617d13ef7ff061424ec50ed641f05779797ff03beb2cde6935f2a307c01ab44,name,layerreference, ,2020-11-02,,
conservation-area,17934a9db4021f3877b28ae80f03414d78fb56352f38c1ab2afeed8006ecaae6,conservation-area,inspireid_identifier_localid, ,2020-11-02,,
conservation-area,289ba18eaa6040f3f00d515fe5d0b6c8d0efa94ea4e069ecb8eb7a09013832a3,conservation-area,name_5, ,2020-11-02,,
conservation-area,bd5a54fc8d0377744c5f5c53d6235337e1e9b92aa8552de0e47b414b21d54e76,conservation-area,id, ,2020-11-02,,
conservation-area,f3969617c89ddb64fee83ce19fb5628301f0e1f853159ee6057958693d806da7,conservation-area,id, ,2020-11-02,,
conservation-area,292ababefd38db91e5f0a1c766db1a6fd1e004b49b399ba5af18c2d6fdb238d9,conservation-area,name, ,2020-11-02,,
conservation-area,f46f960e44ec42f41d500bb9586097bdcdb98ec0b6cf20d9dc47eb914b997e9a,conservation-area,INFO, ,2020-11-02,,
conservation-area,1eb168a7b080c36e8d4fe76ca9c7ad289dafab2bf9dff9171e5dee013b3ce1e2,conservation-area,ca_name, ,2020-11-02,,
