old-entity,status,entity
44008389,301,44009617
44008390,301,44009617
44008391,301,44009621
44008392,301,44009621
44008393,301,44009621
44008394,301,44009621
44008395,301,44009621
44008396,301,44009621
44008397,301,44009621
44008398,301,44009621
44008399,301,44009621
44008400,301,44009646
44008401,301,44009653
44008402,301,44009642
44008403,301,44009642
44008404,301,44009642
44008405,301,44009621
44008406,301,44009619
44008407,301,44009619
44008408,301,44009658
44008409,301,44009646
44008410,301,44009641
44008411,301,44009648
44008412,301,44009648
44008413,301,44009648
44008414,301,44009648
44008415,301,44009621
44008416,301,44009623
44008417,301,44009648
44008418,301,44009659
44008419,301,44009621
44008420,301,44009621
44008421,301,44009621
44008422,301,44009658
44008423,301,44009646
44008424,301,44009646
44008425,301,44009622
44008426,301,44009622
44008427,301,44009653
44008428,301,44009653
44008429,301,44009634
44008430,301,44009634
44008431,301,44009647
44008432,301,44009634
44008433,301,44009642
44008434,301,44009642
44008435,301,44009642
44008436,301,44009642
44008437,301,44009659
44008438,301,44009642
44008439,301,44009648
44008440,301,44009648
44008441,301,44009645
44008442,301,44009652
44008443,301,44009648
44008444,301,44009659
44008445,301,44009659
44008446,301,44009659
44008447,301,44009659
44008448,301,44009662
44008449,301,44009650
44008450,301,44009659
44008451,301,44009659
44008452,301,44009659
44008453,301,44009659
44008454,301,44009659
44008455,301,44009659
44008457,301,44009648
44008458,301,44009631
44008459,301,44009650
44008460,301,44009631
44008461,301,44009625
44008462,301,44009625
44008463,301,44009625
44008464,301,44009660
44008466,301,44009624
44008467,301,44009624
44008468,301,44009624
44008469,301,44009630
44008470,301,44009650
44008471,301,44009650
44008472,301,44009650
44008473,301,44009650
44008474,301,44009647
44008475,301,44009656
44008476,301,44009656
44008477,301,44009656
44008478,301,44009656
44008479,301,44009656
44008480,301,44009656
44008481,301,44009656
44008482,301,44009656
44008483,301,44009647
44008484,301,44009615
44008485,301,44009615
44008486,301,44009615
44008487,301,44009646
44008488,301,44009615
44008489,301,44009615
44008490,301,44009615
44008491,301,44009632
44008492,301,44009623
44008493,301,44009623
44008494,301,44009623
44008495,301,44009621
44008496,301,44009621
44008497,301,44009623
44008498,301,44009621
44008499,301,44009617
44008500,301,44009623
44008501,301,44009623
44008502,301,44009623
44008503,301,44009656
44008504,301,44009623
44008505,301,44009656
44008506,301,44009623
44008507,301,44009623
44008508,301,44009623
44008509,301,44009623
44008510,301,44009639
44008511,301,44009622
44008512,301,44009654
44008513,301,44009622
44008514,301,44009654
44008515,301,44009622
44008516,301,44009622
44008517,301,44009656
44008518,301,44009656
44008519,301,44009641
44008520,301,44009646
44008521,301,44009621
44008522,301,44009621
44008523,301,44009660
44008524,301,44009646
44008525,301,44009621
44008526,301,44009621
44008527,301,44009621
44008528,301,44009647
44008529,301,44009647
44008530,301,44009650
44008531,301,44009621
44008532,301,44009621
44008533,301,44009621
44008534,301,44009621
44008535,301,44009621
44008536,301,44009621
44008537,301,44009621
