WKT,gml_id,OBJECTID,Name
"MULTIPOLYGON (((532664.857 180843.011,532670.414 180851.613,532673.559 180856.918,532678.45 180854.55,532682.6 180852.95,532682.3 180852.15,532686.1 180850.55,532688.7 180856.6,532691.2 180855.5,532691.65 180857.45,532697.95 180856.2,532698.0 180856.2,532718.3 180851.3,532722.261 180850.303,532720.781 180845.267,532722.85 180844.8,532732.9 180841.2,532737.05 180841.0,532738.05 180844.05,532741.3 180843.1,532743.3 180842.5,532743.15 180841.95,532755.0 180837.85,532753.7 180833.7,532754.75 180833.3,532761.3 180831.0,532763.257 180830.302,532758.654 180818.369,532755.967 180810.424,532752.51 180798.959,532746.024 180778.356,532743.85 180778.9,532742.25 180779.35,532740 180780,532728.9 180783.2,532730.95 180789.25,532731.02 180789.44,532729.98 180789.79,532729.4 180791.32,532722.21 180794.38,532723.85 180798.25,532707.26 180805.32,532695.27 180810.43,532687.693 180813.577,532692.265 180824.988,532664.857 180843.011)))",Conservation_Areas,639713,Laurence Pountney Hill
"MULTIPOLYGON (((533373.987 181022.142,533383.632 181028.449,533398.91 181040.11,533394.65 181045.75,533387.2 181057.05,533389.408 181058.459,533389.75 181057.7,533392.9 181060.7,533395.75 181063.4,533397.647 181065.103,533405.85 181072.4,533410.4 181076.3,533413.15 181078.65,533411.85 181080.15,533413.7 181081.7,533421.0 181068.15,533424.698 181061.012,533442.157 181075.886,533448.047 181068.211,533459.293 181053.396,533466.968 181043.489,533474.286 181032.066,533477.856 181026.889,533484.217 181016.668,533491.037 181007.416,533513.382 180981.212,533520.561 180974.392,533525.407 180969.994,533529.535 180966.674,533522.256 180954.415,533516 180945,533513.342 180940.756,533501.21 180924.781,533500.0 180925.15,533498.25 180925.8,533495.7 180926.55,533495.26 180926.96,533490.8 180931.1,533480.7 180934.1,533478.45 180934.6,533472.45 180936.25,533471.3 180936.55,533455.8 180940.75,533452.8 180941.6,533442.5 180944.45,533438.5 180945.55,533437.5 180945.83,533431.2 180947.6,533430.65 180947.75,533426.54 180948.89,533426.5 180948.9,533415.8 180951.9,533414.37 180952.33,533414.3 180952.35,533413.177 180952.647,533406.955 180970.784,533396.351 180990.389,533392.87 180995.452,533377.995 181016.445,533373.987 181022.142)))",Conservation_Areas,639714,Lloyd's Avenue
"MULTIPOLYGON (((531938.25 181859.889,531948.05 181865.24,531961.03 181871.37,531980.52 181880.58,531994.21 181886.77,532000.0 181889.3,532006.82 181892.27,532022.78 181897.29,532022.93 181897.33,532028.28 181898.81,532032.54 181900.11,532037.34 181901.51,532042.02 181902.96,532048.78 181905.01,532053.93 181906.61,532062.03 181908.86,532068.19 181910.76,532074.49 181912.62,532079.33 181914.06,532079.85 181914.22,532079.968 181911.491,532080.209 181908.55,532081.3 181902.25,532081.9 181897.9,532083.35 181890.55,532083.4 181890.35,532084.7 181885.65,532086.6 181876.6,532087.017 181874.265,532084.75 181874.05,532081.4 181873.7,532072.5 181872.85,532072.65 181871.55,532071.4 181871.4,532071.75 181870.3,532071.25 181870.15,532073.6 181845.25,532073.603 181845.226,532073.0 181845.15,532073.02 181845.01,532070.71 181844.77,532070.7 181844.93,532069.7 181844.82,532069.67 181844.82,532069.69 181844.67,532067.39 181844.45,532067.37 181844.6,532066.5 181844.5,532066.33 181844.48,532064.04 181844.24,532062.98 181844.13,532060.69 181843.91,532060.15 181843.87,532059.67 181843.83,532057.36 181843.61,532056.64 181843.54,532056.31 181843.51,532054.03 181843.28,532052.99 181843.18,532050.69 181842.95,532049.63 181842.84,532047.34 181842.61,532046.29 181842.51,532043.99 181842.27,532042.94 181842.16,532040.67 181841.93,532039.6 181841.83,532037.29 181841.62,532036.24 181841.49,532034.45 181841.29,532033.99 181841.24,532032.91 181841.14,532030.62 181840.91,532029.54 181840.82,532027.3 181840.57,532026.22 181840.48,532023.97 181840.22,532022.89 181840.13,532020.64 181839.87,532019.58 181839.79,532019.56 181839.79,532017.32 181839.52,532016.23 181839.45,532014.43 181839.26,532013.94 181839.21,532012.89 181839.11,532010.6 181838.87,532009.56 181838.77,532007.26 181838.54,532006.22 181838.44,532003.92 181838.2,532002.88 181838.1,532000.65 181837.88,532000.0 181837.8,531999.95 181837.79,531999.54 181837.75,531997.25 181837.53,531996.21 181837.41,531993.92 181837.19,531992.86 181837.07,531990.86 181836.89,531990.59 181836.86,531989.52 181836.73,531987.27 181836.53,531986.19 181836.39,531983.94 181836.19,531983.35 181836.12,531982.15 181835.9,531982.05 181836.45,531978.3 181835.75,531978.05 181835.7,531976.95 181835.55,531970.5 181833.95,531960.55 181831.5,531960.34 181832.02,531957.08 181840.07,531957.05 181840.15,531954.05 181847.75,531953.81 181848.3,531953.75 181848.45,531951.34 181854.41,531951.3 181854.5,531950.559 181856.377,531950.55 181856.4,531941.751 181854.973,531938.445 181859.622,531938.25 181859.889)))",Conservation_Areas,639715,Charterhouse Square
"MULTIPOLYGON (((532528.27 181098.49,532531.29 181111.29,532534.21 181110.6,532534.94 181113.7,532534.46 181113.82,532535.51 181118.28,532536.38 181118.07,532538.74 181128.06,532542.253 181140.996,532551.175 181138.904,532553.732 181149.059,532559.725 181169.121,532565.754 181192.319,532564.652 181192.543,532565.496 181195.736,532578.535 181245.096,532589.156 181283.681,532605.468 181283.338,532620.35 181336.749,532630.14 181373.042,532631.882 181380.141,532635.739 181397.322,532639.345 181415.828,532641.566 181450.012,532642.425 181469.279,532642.756 181507.283,532653.819 181563.522,532711.274 181551.997,532788.731 181535.065,532844.62 181521.356,532925.285 181503.084,532924.38 181500.66,532923.4 181495.7,532922.0 181490.8,532921.82 181490.23,532921.2 181488.25,532920.95 181487.55,532920.75 181486.85,532920.45 181486.0,532920.2 181485.1,532919.8 181484.05,532919.45 181483.0,532918.85 181481.7,532918.25 181480.3,532917.25 181477.9,532916.85 181477.1,532916.4 181476.25,532915.85 181475.35,532915.4 181474.4,532914.1 181471.05,532914.05 181470.85,532911.9 181465.9,532911.35 181464.75,532909.7 181460.95,532909.25 181459.85,532912.35 181458.95,532923.3 181455.7,532924.6 181455.35,532926.074 181455.052,532928.315 181454.577,532922.368 181438.596,532956.747 181428.457,532955.05 181422.0,532952.2 181412.35,532949.75 181404.1,532947.2 181395.1,532949.35 181394.5,532952.9 181393.45,532956.05 181391.8,532965.05 181388.75,532963.35 181382.85,532971.55 181380.3,532972.3 181382.8,532978.15 181381.1,532977.2 181378.6,532981.92 181377.09,532979.6 181369.63,532979.13 181368.11,532978.98 181367.64,532978.06 181364.68,532976.02 181358.11,532969.618 181360.082,532969.56 181360.1,532963.1 181337.95,532962.35 181335.4,532962.05 181334.4,532952.65 181336.5,532952.85 181336.3,532953.05 181336.0,532953.15 181335.65,532953.3 181335.25,532953.35 181334.9,532953.4 181334.6,532953.4 181334.35,532953.45 181334.05,532966.15 181331.85,532969.028 181331.304,532969.004 181331.292,532969.05 181331.3,532969.45 181325.95,532969.9 181319.65,532971.95 181319.8,532974.55 181307.4,532977.477 181303.646,532988.872 181313.138,532997.01 181320.995,533000.5 181316.95,533001.7 181315.85,533002.9 181314.85,533012.35 181307.05,533010.0 181304.1,533013.15 181301.5,533011.55 181299.95,533018.65 181292.5,533019.5 181291.6,533025.25 181285.7,533026.457 181284.729,533030.684 181281.309,533033.587 181284.634,533040.8 181278.55,533041.807 181279.708,533044.8 181283.15,533053.464 181293.159,533055.3 181291.7,533058.65 181289.1,533070.596 181279.565,533080.366 181271.767,533085.99 181278.335,533097.984 181269.519,533078.606 181247.547,533075.182 181242.737,533067.944 181228.518,533065.316 181223.274,533061.928 181213.832,533053.316 181185.376,533050.577 181171.691,533045.719 181152.05,533042.486 181132.3,533038.701 181113.436,533036.065 181105.608,533026.359 181083.5,533009.018 181040.71,533002.157 181027.442,532994.8 181030.15,532993.25 181030.75,532985.25 181033.95,532984.1 181031.6,532964.45 181040.95,532956.55 181044.7,532955.4 181045.25,532954.443 181043.209,532927.989 181053.848,532924.024 181039.565,532934.578 181034.353,532934.0 181033.05,532933.26 181031.51,532931.02 181026.87,532926.01 181029.24,532923.81 181024.79,532928.8 181022.26,532926.77 181018.04,532926.05 181016.55,532925.147 181014.608,532912.85 181020.35,532903.55 181000.85,532899.756 180992.716,532920.41 180979.082,532962.869 180966.304,532967.254 180964.839,532976.69 180963.224,532955.171 180907.498,532947.284 180887.866,532942.647 180876.998,532939.353 180870.891,532928.55 180857.519,532923.828 180852.737,532920.586 180849.668,532911.965 180843.692,532906.764 180841.549,532900.854 180839.789,532889.004 180837.599,532883.198 180838.119,532878.157 180839.566,532870.497 180843.157,532861.44 180847.068,532856.846 180849.674,532851.304 180852.32,532843.046 180855.277,532798.059 180866.898,532782.078 180871.335,532776.351 180873.107,532752.131 180880.152,532750.059 180880.771,532723.736 180888.017,532681.771 180899.056,532689.512 180926.447,532688.2 180926.75,532687.4 180926.95,532685.5 180927.5,532678.4 180929.6,532677.35 180929.9,532678.65 180933.75,532679.65 180933.4,532679.75 180933.8,532681.5 180939.05,532680.8 180939.35,532679.85 180941.5,532679.8 180941.65,532680.3 180943.0,532682.55 180942.1,532686.35 180953.25,532690.35 180964.9,532690.6 180965.65,532698.05 180962.85,532700.15 180962.05,532703.252 180968.222,532705.1 180971.7,532710.8 180983.55,532699.1 180989.55,532695.8 180991.25,532691.9 180993.25,532685.55 180996.5,532685.7 180996.9,532678.85 181000.0,532665.5 181005.95,532658.0 181008.8,532653.5 181010.3,532652.5 181010.65,532653.184 181012.594,532633.021 181020.141,532626.3 181022.263,532619.189 181024.698,532629.366 181054.571,532602.906 181068.126,532598.333 181072.699,532593.27 181082.497,532581.608 181078.326,532566.386 181071.995,532541.116 181061.485,532536.632 181059.558,532532.05 181068.867,532530.828 181077.331,532530.916 181083.17,532531.439 181086.744,532528.606 181087.048,532528.623 181087.12,532529.22 181089.46,532529.48 181090.56,532529.54 181090.82,532531.19 181097.8,532528.27 181098.49)))",Conservation_Areas,639716,Bank
"MULTIPOLYGON (((533353.939 180868.18,533367.735 180870.907,533399.098 180880.308,533408.244 180883.184,533412.934 180884.659,533413.65 180879.2,533413.7 180878.8,533415.05 180866.85,533415.7 180861.05,533416.1 180857.55,533416.25 180856.45,533416.4 180854.95,533417.75 180843.1,533427.9 180844.35,533429.4 180844.5,533433.1 180844.95,533462.8 180848.65,533466.25 180849.05,533467.6 180849.2,533482.55 180851.05,533484.65 180851.3,533488.509 180851.738,533490.089 180839.254,533493.373 180807.585,533498.89 180808.29,533499.49 180808.36,533500.0 180808.44,533501.16 180808.63,533514.05 180810.5,533519.33 180811.38,533519.21 180812.07,533525.53 180813.14,533525.65 180812.45,533530.1 180813.2,533531.31 180813.4,533530.53 180818.83,533539.93 180820.19,533541.61 180820.44,533551.124 180821.379,533552.46 180814.06,533553.96 180796.96,533553.53 180792.97,533550.78 180783.83,533534.555 180781.542,533528.264 180780.655,533514.839 180778.774,533508.031 180777.33,533503.39 180776.73,533500.14 180776.0,533496.134 180774.605,533493.337 180773.381,533487.222 180769.907,533484.98 180768.37,533480.83 180764.39,533475.46 180758.607,533472.773 180755.551,533463.851 180743.199,533461.605 180739.867,533458.313 180734.587,533455.954 180730.284,533451.056 180720.33,533445.195 180707.778,533435.743 180709.318,533418.023 180712.04,533410.195 180712.304,533377.991 180713.867,533378.483 180715.928,533386.233 180748.371,533389.445 180754.406,533391.392 180767.936,533388.861 180831.791,533383.0 180831.5,533377.3 180831.306,533362.4 180830.801,533359.8 180843.75,533359.05 180847.2,533358.8 180848.25,533358.2 180848.1,533357.3 180852.75,533354.85 180864.1,533353.939 180868.18)))",Conservation_Areas,639717,Trinity Square
"MULTIPOLYGON (((533379.158 180928.942,533385.857 180952.158,533387.07 180955.969,533387.012 180959.03,533386.031 180961.975,533390.14 180963.69,533391.45 180964.2,533393.78 180965.1,533394.62 180965.43,533405.75 180970.05,533406.955 180970.784,533413.177 180952.647,533414.3 180952.35,533414.37 180952.33,533415.8 180951.9,533426.5 180948.9,533426.54 180948.89,533430.65 180947.75,533431.2 180947.6,533437.5 180945.83,533438.5 180945.55,533442.5 180944.45,533452.8 180941.6,533455.8 180940.75,533471.3 180936.55,533472.45 180936.25,533478.45 180934.6,533480.7 180934.1,533490.8 180931.1,533495.26 180926.96,533495.7 180926.55,533498.25 180925.8,533500.0 180925.15,533501.199 180924.784,533501.21 180924.781,533501.253 180924.747,533501.231 180924.775,533504.1 180923.9,533507.3 180923.0,533518.05 180919.75,533521.8 180918.65,533524.05 180917.95,533526.1 180917.35,533527.733 180916.869,533534.0 180886.05,533533.5 180886.2,533533.45 180886.21,533533.43 180886.21,533531.5 180886.75,533531.0 180886.89,533525.8 180888.35,533523.95 180888.85,533523.24 180889.07,533523.15 180889.1,533523.5 180888.25,533515.55 180885.25,533511.8 180884.0,533510.55 180883.5,533510.25 180883.35,533500.0 180879.55,533497.7 180878.75,533495.073 180877.534,533490.964 180898.178,533489.15 180898.7,533487.45 180899.15,533483.7 180900.4,533482.7 180901.3,533482.55 180901.45,533479.9 180902.15,533476.15 180903.1,533475.6 180903.25,533471.365 180904.382,533466.52 180902.222,533449.364 180896.004,533437.389 180892.09,533412.934 180884.659,533408.244 180883.184,533407.2 180888.4,533405.1 180899.2,533404.15 180905.15,533403.65 180909.05,533403.05 180916.6,533403.1 180922.15,533402.35 180922.35,533391.45 180925.4,533385.0 180927.2,533379.158 180928.942)))",Conservation_Areas,639718,Fenchurch Street Station
"MULTIPOLYGON (((532360.395 180839.252,532363.952 180867.961,532366.577 180888.964,532367.085 180894.732,532368.271 180915.65,532370.134 180943.098,532370.896 180948.01,532374.538 180976.974,532375.893 180987.814,532376.401 180993.234,532383.226 180991.146,532435.827 180974.998,532449.543 180970.787,532488.214 180959.28,532503.332 180954.238,532547.177 180938.298,532588.292 180924.157,532584.722 180913.269,532571.27 180856.104,532566.708 180836.17,532559.739 180809.399,532554.97 180793.324,532513.245 180804.78,532504.736 180806.87,532492.727 180809.793,532475.858 180814.363,532456.527 180819.662,532440.465 180823.787,532417.289 180829.736,532375.759 180836.66,532360.395 180839.252)))",Conservation_Areas,639723,Queen Street
"MULTIPOLYGON (((532711.274 181551.997,532738.617 181641.357,532740.729 181648.02,532780.741 181767.115,532780.984 181767.873,532787.21 181764.18,532815.84 181751.74,532880.71 181723.55,532879.882 181721.396,532880.568 181720.998,532945.146 181693.024,533015.681 181662.342,533022.521 181657.367,533026.667 181650.733,533027.393 181643.167,533024.905 181635.394,532987.44 181582.087,532959.849 181544.635,532938.707 181512.403,532933.187 181501.707,532925.285 181503.084,532844.62 181521.356,532788.731 181535.065,532711.274 181551.997)))",Conservation_Areas,639724,Finsbury Circus
"MULTIPOLYGON (((533597.6 180849.25,533599.2 180849.5,533600.95 180838.3,533607.8 180839.0,533608.3 180838.65,533608.411 180838.768,533616.1 180846.95,533615.6 180847.45,533624.35 180853.3,533624.65 180852.85,533629.15 180853.75,533629.1 180854.5,533634.9 180855.8,533635.25 180855.9,533635.65 180855.9,533636.806 180855.74,533641.55 180855.6,533641.95 180855.5,533649.95 180853.15,533653.6 180852.15,533657.3 180851.15,533662.8 180849.7,533667.15 180848.6,533668.3 180848.3,533669.95 180847.95,533671.87 180847.52,533673.95 180847.05,533677.18 180846.421,533682 180826,533691 180791,533696.58 180763.7,533684.643 180756.624,533670.986 180749.482,533662.82 180745.34,533655.56 180740.55,533651.228 180736.851,533648.2 180733.85,533639.95 180740.4,533640.25 180743.6,533634.95 180749.0,533633.25 180748.7,533631.7 180755.35,533631.2 180760.55,533630.538 180769.629,533630.2 180773.6,533629.8 180776.35,533623.85 180775.85,533609.85 180773.65,533604.391 180807.006,533602.724 180816.443,533597.6 180849.25)))",Conservation_Areas,639725,Crescent
"MULTIPOLYGON (((532991.546 180999.404,533000.667 181024.562,533002.154 181027.436,533009.018 181040.71,533022.824 181074.749,533026.359 181083.5,533031.5 181082.45,533035.85 181081.5,533041.65 181080.15,533062.8 181075.2,533071.45 181073.2,533077.55 181071.75,533078.05 181073.75,533084.4 181072.25,533092.794 181069.989,533105.1 181067.0,533116.2 181064.3,533117.9 181063.9,533117.65 181062.7,533117.35 181061.3,533116.2 181056.45,533115.5 181053.6,533114.75 181050.9,533114.27 181048.89,533114.25 181048.8,533113.777 181046.958,533132.709 181042.127,533149.161 181033.414,533160.838 181025.902,533163.752 181024.09,533166.099 181026.98,533167.267 181028.683,533170.7 181027.0,533182.55 181021.7,533189.6 181018.35,533187.45 181008.0,533187.2 181006.9,533185.25 181000.0,533184.75 180998.7,533181 181000,533180.7 181000.1,533180.75 181000.0,533180.65 180999.5,533179.95 180997.45,533178.85 180995.65,533177.5 180993.25,533177.1 180990.45,533177.05 180989.95,533175.25 180977.0,533174.966 180974.539,533174.943 180974.343,533164.318 180975.406,533142.895 180978.034,533142.55 180975.25,533141.4 180968.75,533131.85 180969.85,533131.7 180967.7,533131.4 180963.5,533129.85 180935.55,533129.7 180932.95,533129.55 180931.0,533129.163 180924.717,533122.627 180924.535,533098.614 180927.746,533088.224 180929.319,533076.909 180931.159,533068.719 180932.454,533070.027 180937.592,533077.177 180963.343,533080.366 180972.354,533073.32 180974.56,533062.18 180977.18,533060.78 180977.1,533052.55 180979.04,533053.14 180981.88,533041.43 180984.31,533039.82 180984.64,533019.65 180992.55,533012.6 180994.3,533001.32 180997.01,532991.546 180999.404)))",Conservation_Areas,639726,Leadenhall Market
