WKT,gml_id,POLICY_AND_SITE,POLICY_REF
"MULTIPOLYGON (((473952.755 196747.727,473952.25 196749.04,473951.85 196750.44,473951.25 196752.34,473950.65 196754.14,473949.65 196756.94,473948.65 196759.84,473947.45 196763.14,473946.45 196766.44,473945.45 196769.24,473944.85 196772.14,473944.75 196773.44,473944.65 196773.74,473945.95 196774.14,473946.85 196774.54,473946.85 196773.54,473946.95 196772.54,473947.45 196769.74,473948.35 196767.14,473949.45 196763.84,473950.65 196760.54,473951.65 196757.64,473952.45 196754.84,473953.15 196752.94,473953.75 196751.14,473954.45 196748.94,473952.755 196747.727)))",,Aston Rowant Special Area Conservation (part),DM13
"MULTIPOLYGON (((474302.9 196479.24,474286.1 196468.83,474265.1 196455.63,474235.5 196437.33,474214.1 196424.03,474210.4 196422.93,474206.4 196427.33,474205.3 196434.13,474202.047 196451.975,474202.6 196439.73,474204.1 196419.43,474205.1 196412.83,474205.8 196407.23,474206.4 196399.43,474207.2 196389.33,474208.0 196381.43,474208.5 196376.83,474209.1 196371.93,474210.0 196367.33,474210.5 196364.33,474211.2 196362.13,474211.6 196360.73,474214.2 196357.23,474216.6 196353.83,474218.8 196351.23,474221.4 196348.43,474224.3 196346.33,474230.0 196342.43,474236.6 196338.33,474250.8 196329.73,474262.775 196322.545,474265.5 196328.63,474266.3 196329.93,474267.2 196331.13,474268.3 196332.13,474269.4 196333.03,474270.4 196333.83,474271.5 196334.53,474272.8 196336.43,474276.1 196341.03,474280.3 196346.93,474283.8 196352.03,474286.0 196355.03,474288.6 196359.63,474291.6 196364.53,474294.4 196368.73,474297.1 196372.83,474300.2 196378.23,474303.6 196384.63,474307.2 196391.13,474309.6 196395.73,474311.5 196400.03,474312.6 196403.03,474313.4 196405.03,474313.8 196406.93,474314.5 196409.23,474315.3 196413.73,474316.5 196419.43,474316.6 196420.33,474317.3 196422.73,474318.1 196424.93,474318.8 196426.73,474319.8 196428.33,474320.2 196428.73,474321.6 196430.23,474323.0 196431.63,474325.1 196433.33,474327.3 196434.93,474329.4 196436.13,474331.4 196437.13,474331.2 196437.43,474329.5 196439.13,474321.5 196449.63,474315.8 196457.53,474311.3 196464.93,474307.8 196470.93,474304.81 196475.49,474302.9 196479.24)))",,Aston Rowant Special Area Conservation (part) (Revised),DM13
"MULTIPOLYGON (((475364.88 197769.3,475364.845 197763.184,475366.48 197763.5,475367.28 197763.3,475368.38 197763.1,475369.98 197762.9,475371.48 197762.6,475373.48 197762.3,475376.08 197761.5,475378.08 197761.0,475380.38 197760.4,475382.08 197759.8,475383.68 197759.2,475385.48 197758.2,475387.08 197757.5,475388.78 197756.6,475391.38 197755.2,475392.68 197754.4,475394.08 197753.5,475395.48 197752.4,475396.78 197751.9,475398.08 197751.0,475399.48 197749.8,475400.88 197749.2,475402.48 197747.8,475404.28 197746.4,475405.98 197744.9,475408.08 197743.2,475410.48 197740.7,475414.98 197736.1,475424.68 197725.9,475424.98 197725.5,475425.08 197725.4,475425.48 197725.1,475426.08 197724.5,475426.38 197724.3,475427.48 197723.6,475427.98 197723.2,475428.98 197722.6,475429.28 197722.3,475429.78 197722.0,475430.08 197721.5,475431.28 197720.3,475431.68 197719.8,475431.98 197719.5,475432.28 197719.0,475432.48 197718.7,475432.78 197718.2,475433.08 197717.8,475433.28 197717.3,475433.38 197717.2,475435.68 197713.0,475436.88 197710.8,475438.08 197708.9,475442.08 197702.7,475444.68 197698.6,475446.48 197695.9,475447.98 197693.7,475449.88 197690.9,475451.48 197688.6,475453.38 197686.1,475455.48 197683.2,475457.28 197680.9,475458.78 197678.9,475460.48 197677.0,475462.88 197674.1,475465.48 197670.7,475476.48 197658.2,475484.88 197648.8,475495.88 197636.4,475497.88 197634.2,475498.38 197633.8,475499.48 197632.5,475501.08 197631.0,475502.08 197630.1,475503.08 197628.9,475504.08 197628.2,475505.48 197627.0,475506.68 197625.9,475508.28 197624.7,475509.08 197624.2,475509.98 197623.4,475510.78 197622.9,475511.68 197622.4,475512.68 197621.7,475513.48 197621.1,475514.38 197620.4,475515.38 197619.9,475516.08 197619.4,475516.68 197619.1,475519.18 197617.7,475520.08 197617.3,475520.78 197616.7,475522.68 197615.2,475525.08 197613.0,475527.18 197611.1,475529.88 197608.4,475530.78 197607.6,475532.48 197605.1,475534.08 197602.6,475537.68 197599.2,475548.68 197589.1,475559.48 197579.1,475560.98 197577.5,475562.68 197575.3,475564.48 197572.7,475565.98 197570.9,475567.38 197569.2,475568.58 197567.8,475572.08 197564.3,475574.28 197562.0,475577.08 197559.3,475580.38 197556.2,475581.42 197555.31,475581.78 197555.0,475585.0 197552.05,475589.02 197548.71,475592.13 197546.07,475594.58 197544.04,475601.85 197538.97,475602.86 197538.14,475604.3 197536.83,475606.34 197535.62,475608.28 197534.19,475620.11 197532.29,475619.1 197528.82,475620.12 197527.7,475621.86 197526.39,475623.08 197524.98,475624.3 197523.48,475624.82 197522.77,475625.02 197522.57,475625.62 197521.87,475626.02 197521.17,475626.62 197520.27,475627.32 197518.97,475628.22 197517.67,475628.92 197516.57,475632.32 197511.17,475632.92 197510.17,475633.62 197509.37,475634.32 197508.37,475634.72 197507.87,475635.42 197506.97,475636.02 197506.07,475637.72 197504.37,475638.32 197503.87,475638.52 197503.67,475644.42 197498.97,475649.12 197495.77,475652.92 197493.17,475654.42 197492.07,475655.72 197491.07,475657.12 197489.97,475657.42 197489.77,475658.12 197489.07,475658.52 197488.77,475661.02 197485.97,475661.92 197484.97,475662.72 197484.07,475663.02 197483.67,475663.32 197483.47,475663.72 197483.27,475664.62 197482.37,475665.02 197481.77,475665.42 197481.37,475665.62 197480.97,475666.22 197480.37,475666.22 197480.17,475669.12 197476.37,475670.12 197474.77,475671.02 197473.57,475672.22 197472.17,475673.12 197470.87,475675.52 197467.97,475675.62 197467.67,475676.52 197466.97,475678.42 197465.07,475680.22 197463.57,475683.52 197460.57,475685.92 197458.77,475687.32 197457.77,475689.02 197456.27,475690.22 197455.07,475691.82 197453.37,475692.62 197452.67,475692.92 197452.07,475693.62 197451.67,475694.12 197451.17,475694.72 197450.67,475695.62 197450.17,475696.12 197449.67,475696.92 197449.07,475697.92 197448.57,475699.02 197447.97,475700.82 197447.17,475704.72 197445.27,475706.52 197443.97,475707.72 197443.07,475709.02 197441.97,475710.72 197440.17,475713.42 197437.27,475716.62 197434.37,475718.42 197432.67,475719.32 197431.37,475720.02 197430.77,475721.02 197429.27,475721.72 197427.47,475723.12 197425.07,475723.82 197423.37,475724.82 197422.97,475726.62 197422.17,475728.42 197421.27,475730.12 197420.47,475731.62 197419.77,475735.42 197418.17,475737.42 197416.77,475739.42 197415.67,475741.92 197413.77,475744.02 197411.97,475745.62 197410.57,475747.42 197409.07,475749.42 197407.07,475750.42 197405.97,475751.22 197405.17,475752.02 197403.97,475752.72 197403.07,475754.22 197401.17,475756.52 197398.07,475759.22 197394.47,475760.22 197393.37,475761.12 197392.27,475764.12 197389.27,475769.02 197384.77,475769.62 197383.97,475772.52 197381.07,475773.12 197380.37,475774.12 197379.37,475774.92 197378.27,475776.42 197376.27,475777.12 197375.17,475778.32 197373.37,475779.12 197372.47,475779.72 197371.77,475783.02 197367.47,475783.22 197367.27,475783.813 197366.574,475784.52 197365.97,475785.32 197365.17,475785.72 197364.67,475786.22 197364.27,475786.72 197363.97,475787.22 197363.57,475787.72 197363.27,475788.216 197362.875,475789.12 197362.27,475790.02 197361.77,475791.12 197361.27,475792.12 197360.87,475792.52 197360.67,475793.72 197360.17,475794.82 197359.87,475796.02 197359.47,475797.32 197359.07,475798.72 197358.67,475800.22 197358.27,475801.82 197357.97,475803.32 197357.67,475804.12 197357.57,475806.52 197357.17,475807.62 197357.07,475808.82 197356.97,475809.92 197356.87,475814.92 197356.87,475815.52 197356.97,475816.22 197357.07,475816.82 197357.17,475817.52 197357.27,475818.52 197357.47,475819.02 197357.67,475819.32 197357.77,475819.82 197357.97,475820.22 197358.07,475820.72 197358.27,475821.12 197358.47,475821.62 197358.67,475822.02 197358.97,475822.816 197359.365,475823.42 197359.97,475823.82 197360.17,475824.22 197360.47,475824.52 197360.77,475824.82 197361.17,475825.22 197361.47,475825.52 197361.87,475826.02 197362.37,475826.32 197362.77,475826.52 197363.17,475826.82 197363.57,475827.02 197363.97,475827.32 197364.37,475827.42 197364.77,475827.62 197365.17,475827.82 197365.67,475829.82 197369.37,475830.22 197369.97,475830.62 197370.47,475831.02 197370.87,475831.42 197371.37,475831.82 197371.77,475832.32 197372.17,475832.42 197372.27,475832.82 197372.57,475833.52 197372.87,475834.02 197373.17,475835.22 197373.57,475835.72 197373.77,475836.32 197373.87,475836.52 197373.97,475838.62 197373.97,475839.62 197373.87,475840.52 197373.67,475841.22 197373.57,475842.32 197373.37,475843.32 197373.07,475844.12 197372.67,475845.12 197372.27,475846.62 197371.77,475848.62 197370.67,475851.52 197369.07,475855.82 197366.37,475857.82 197364.77,475860.02 197362.97,475861.62 197361.37,475863.82 197359.27,475864.775 197358.251,475866.82 197356.07,475868.42 197354.77,475869.82 197352.87,475873.02 197348.87,475877.316 197342.974,475878.12 197342.07,475883.72 197337.67,475889.02 197333.67,475892.72 197337.77,475894.02 197339.27,475895.32 197340.17,475895.52 197340.47,475896.02 197340.97,475896.62 197341.37,475896.82 197341.57,475897.12 197341.67,475897.42 197341.87,475897.82 197341.97,475898.12 197342.07,475898.42 197342.07,475898.72 197342.17,475902.12 197342.17,475903.02 197341.87,475903.32 197341.87,475903.62 197341.77,475903.82 197341.77,475904.42 197341.47,475904.62 197341.27,475904.82 197341.17,475905.02 197340.97,475905.22 197340.57,475910.52 197332.07,475915.12 197324.27,475928.82 197316.07,475929.72 197315.77,475949.72 197314.27,475959.52 197313.47,475962.52 197313.37,475967.62 197313.27,475990.714 197312.471,476000.0 197311.98,476000.22 197311.97,476001.12 197311.87,476017.412 197311.67,476038.82 197311.37,476044.07 197311.37,476048.02 197311.37,476051.82 197322.67,476057.82 197340.37,476062.82 197353.47,476071.22 197373.97,476094.02 197429.07,476107.72 197461.17,476110.56 197467.676,476099.52 197473.07,476092.668 197476.83,476088.22 197479.27,476074.82 197486.67,476061.72 197494.17,476049.02 197501.67,476037.82 197508.97,476023.12 197517.17,476013.22 197523.77,476005.72 197527.87,476000.22 197531.77,476000.0 197531.9,475987.22 197539.67,475976.62 197546.37,475972.62 197548.77,475969.72 197550.57,475967.12 197552.37,475965.22 197553.57,475963.42 197554.57,475961.02 197555.57,475958.02 197556.87,475949.52 197560.97,475937.02 197567.17,475935.82 197568.07,475928.82 197571.47,475920.72 197575.47,475911.824 197579.669,475909.52 197580.87,475902.52 197584.17,475897.42 197586.47,475893.32 197588.07,475890.32 197589.57,475884.52 197592.17,475882.32 197592.97,475879.82 197594.17,475877.62 197594.77,475875.22 197596.07,475869.32 197598.67,475866.12 197600.17,475863.42 197601.57,475861.82 197602.17,475855.72 197605.67,475851.62 197607.97,475849.52 197608.77,475846.62 197610.57,475837.62 197616.17,475834.32 197617.97,475830.82 197619.97,475827.12 197622.37,475822.82 197624.57,475816.82 197628.57,475811.42 197632.07,475808.02 197634.77,475805.92 197635.97,475803.42 197637.77,475801.02 197640.07,475798.52 197641.87,475792.22 197646.37,475789.32 197648.87,475786.12 197651.07,475784.02 197652.27,475782.32 197653.27,475780.82 197654.17,475778.62 197655.87,475776.92 197656.97,475774.72 197658.77,475772.82 197660.07,475771.02 197661.17,475770.82 197661.27,475769.52 197662.47,475767.42 197663.87,475765.72 197665.37,475762.72 197667.27,475760.12 197669.27,475759.52 197669.57,475756.52 197672.17,475754.32 197673.77,475752.52 197675.37,475750.42 197677.37,475747.92 197679.27,475745.52 197681.37,475743.32 197683.07,475739.82 197686.07,475737.42 197688.07,475734.32 197691.37,475731.22 197694.27,475726.92 197698.17,475723.32 197701.87,475719.62 197705.77,475716.72 197708.87,475713.92 197711.47,475710.32 197714.97,475706.52 197718.77,475704.32 197720.87,475702.22 197722.77,475699.82 197724.67,475695.32 197728.47,475694.32 197729.37,475689.62 197732.77,475683.32 197737.47,475681.52 197738.77,475677.91 197741.38,475674.8 197743.67,475671.48 197745.48,475668.77 197747.19,475665.56 197749.2,475660.74 197751.81,475657.64 197753.52,475655.22 197754.84,475649.18 197757.45,475646.57 197758.25,475643.07 197759.27,475640.15 197760.06,475637.85 197760.78,475632.82 197761.89,475626.89 197763.7,475620.57 197765.31,475615.94 197766.73,475613.73 197767.33,475610.21 197768.24,475606.7 197768.84,475603.99 197769.44,475595.06 197771.47,475591.35 197772.07,475587.73 197772.68,475580.19 197774.19,475575.18 197775.29,475570.75 197776.3,475564.93 197777.31,475559.2 197778.63,475553.27 197779.84,475549.16 197781.05,475541.42 197782.35,475539.41 197782.66,475536.7 197783.57,475530.77 197784.48,475524.24 197785.4,475518.14 197786.31,475507.32 197788.23,475501.11 197789.14,475495.41 197790.15,475492.1 197790.45,475486.1 197791.97,475485.1 197791.98,475476.99 197793.09,475472.28 197794.1,475472.2 197793.53,475471.88 197791.4,475466.78 197792.1,475460.88 197793.2,475453.78 197794.0,475451.08 197794.2,475449.08 197794.4,475447.48 197794.5,475445.98 197794.6,475444.38 197794.5,475443.08 197794.6,475440.78 197794.6,475438.98 197794.8,475437.08 197794.8,475435.68 197794.6,475433.78 197794.0,475432.88 197793.8,475431.68 197793.6,475430.48 197793.1,475429.48 197792.8,475417.98 197789.3,475414.08 197788.2,475412.88 197788.2,475411.68 197787.8,475410.68 197787.2,475409.08 197786.6,475406.08 197785.6,475404.48 197784.9,475396.98 197782.3,475392.48 197780.4,475388.28 197778.8,475385.68 197778.0,475382.48 197777.0,475379.78 197775.4,475376.48 197774.1,475364.88 197769.3)))",,Chilterns Beechwoods Special Area Conservation (part) (Revised),DM13
