WKT,gml_id,ogc_fid,id,name,size
"MULTIPOLYGON (((377377.6902 393061.6209,377381.8374 393052.3735,377387.9883 393038.9174,377390.1897 393033.9188,377395.0378 393023.2718,377395.4913 393022.2721,377395.986 393021.2224,377396.4889 393020.2727,377396.9342 393019.5229,377397.3876 393018.8231,377398.1874 393017.5735,377399.1851 393016.1739,377399.688 393015.4741,377399.8941 393015.2641,377400.2404 393014.8242,377400.5455 393014.4743,377402.0461 393012.6149,377403.9425 393010.3655,377404.1486 393010.0656,377404.1981 393009.9157,377404.1486 393009.8157,377404.1486 393009.6657,377404.0909 393009.5658,377403.9425 393009.3658,377403.6456 393009.0659,377403.5467 393008.9159,377403.3983 393008.766,377403.2911 393008.616,377403.2416 393008.4661,377403.1922 393008.3661,377403.1922 393008.1662,377403.2416 393008.0662,377403.2829 393008.0162,377403.0932 393007.8562,377396.4147 393004.2373,377396.8847 393005.167,377394.9883 393004.2673,377390.1402 393002.0179,377383.2391 392998.9188,377376.4369 392995.8697,377370.7891 392993.3104,377363.1871 392989.8614,377354.4886 392986.2624,377341.7829 392983.1133,377341.8819 392982.6135,377344.7347 392976.2153,377348.0822 392970.0171,377350.0857 392966.2182,377351.2895 392963.8688,377354.3402 392958.0705,377355.1399 392956.421,377357.5887 392951.6223,377359.3944 392948.0534,377359.4191 392947.9934,377360.6889 392945.4741,377363.4922 392939.9157,377363.9869 392938.916,377366.3862 392934.1173,377367.0376 392932.8177,377367.7384 392931.3681,377370.0882 392926.7195,377371.1436 392924.6201,377373.1389 392920.7612,377374.0376 392919.0117,377374.0459 392919.0117,377375.1919 392917.3122,377358.6029 392906.1554,377359.2377 392904.6158,377329.0443 392890.5598,377321.2445 392886.281,377320.6838 392885.9111,377323.5861 392879.2631,377326.7357 392873.6147,377328.7887 392870.0157,377334.0821 392860.7184,377339.4331 392851.471,377340.9914 392848.8218,377344.5863 392842.0137,377344.7347 392841.7138,377318.1856 392828.8775,377303.8886 392821.9695,377288.4374 392814.4716,377266.4808 392803.8146,377266.184 392804.7644,377263.1333 392813.5219,377262.9354 392814.0217,377262.7375 392814.6715,377259.6374 392824.0189,377259.3818 392824.6687,377259.2829 392825.0186,377256.4878 392833.2662,377255.8859 392835.1157,377253.5855 392842.5136,377252.7363 392845.1128,377251.3758 392849.4716,377250.5761 392851.9209,377249.43 392855.4199,377247.5254 392861.2182,377247.1296 392862.3679,377245.9753 392865.9669,377244.6231 392870.2156,377242.7268 392876.2139,377241.7786 392879.2131,377239.775 392885.6612,377238.9258 392888.4104,377238.8763 392888.3904,377226.4758 392932.8077,377224.5464 392938.786,377221.133 392937.8863,377160.7296 392923.0205,377104.1685 393016.6237,377107.9777 393019.273,377120.2546 393027.0907,377127.0486 393031.4895,377133.9002 393036.0382,377140.4221 393040.237,377145.2207 393043.3161,377146.7708 393044.4258,377148.3703 393045.4755,377150.0193 393046.5252,377150.2172 393046.6251,377150.4233 393046.7751,377150.5717 393046.8751,377150.7696 393047.075,377150.9675 393047.225,377150.9757 393047.215,377151.1159 393047.4249,377151.6189 393048.0247,377151.9734 393048.4246,377152.2702 393048.7745,377152.6165 393049.2244,377152.7732 393049.4243,377153.1689 393049.8242,377153.5152 393050.0742,377154.2243 393050.474,377154.7767 393050.724,377155.3786 393050.9239,377155.931 393051.0739,377157.679 393051.7737,377159.6743 393052.5235,377164.8769 393054.5229,377165.924 393054.9728,377167.4741 393055.4926,377167.9771 393055.6726,377170.5248 393056.4223,377180.3364 393059.2215,377188.3259 393061.4809,377188.5237 393061.5309,377189.0267 393061.6808,377189.2246 393061.6808,377189.4225 393061.7308,377189.8265 393061.7808,377190.2222 393061.8808,377190.5768 393061.9308,377191.5249 393062.0807,377192.4237 393062.1807,377193.3224 393062.3306,377194.1221 393062.4806,377194.9219 393062.5806,377195.6722 393062.7305,377196.2246 393062.7805,377201.9055 393062.1407,377207.0092 393064.9299,377211.8985 393055.2527,377214.438 393056.5223,377215.8809 393057.0222,377219.8302 393058.9716,377228.7761 393062.7205,377242.3805 393068.219,377242.7762 393067.919,377252.1261 393070.4083,377249.43 393077.7162,377266.7364 393081.7251,377269.4655 393082.235,377294.7284 393087.0236,377312.7438 393089.8228,377321.1373 393088.6131,377332.029 393081.5851,377336.1516 393079.5357,377362.3131 393063.8502,377370.1624 393058.3818,377374.3922 393060.3212,377377.6902 393061.6209)))",,1,1,Ashton Upon Mersey,4.4711505874634
"MULTIPOLYGON (((377062.0999 386175.5976,377062.7512 386174.9978,377068.0528 386169.8993,377070.5016 386167.6499,377073.4533 386165.2506,377074.5499 386164.4008,377080.1978 386160.302,377082.5476 386158.7025,377085.1036 386157.1029,377087.0989 386155.9033,377087.371 386155.7333,377090.8998 386136.4988,377090.7514 386136.3989,377090.6525 386136.2989,377090.5536 386136.1489,377090.5041 386135.999,377090.5536 386135.799,377090.603 386135.6491,377090.603 386135.5991,377090.702 386135.3991,377090.8504 386135.2492,377091.0483 386135.0992,377091.4523 386134.7993,377093.9505 386133.2498,377092.4994 386130.8005,377092.4005 386130.7005,377092.3015 386130.5505,377092.2026 386130.4006,377092.1036 386130.2006,377092.0459 386130.0007,377092.0459 386129.8007,377091.9964 386129.5508,377092.1036 386129.051,377092.1531 386128.801,377092.2026 386128.6511,377094.1979 386123.8025,377099.1037 386110.5463,377101.8988 386103.6482,377103.3004 386100.0993,377108.9978 386085.3035,377112.6503 386075.6463,377115.6515 386068.1484,377117.4489 386063.3498,377120.5986 386063.4997,377137.6493 386014.4538,377139.1499 386004.1467,377145.8037 385982.9028,377144.3526 385982.303,377146.0016 385977.2244,377151.2537 385961.0491,377154.4033 385951.1019,377156.0523 385949.2024,377161.9888 385930.3578,377140.5516 385920.1008,377139.4468 385919.7009,377137.9462 385918.9011,377134.7471 385917.3016,377126.8483 385912.6029,377114.3983 385905.195,377109.7975 385902.5458,377108.5525 385898.5969,377103.8528 385896.0477,377103.8528 385896.0976,377103.6962 385896.2976,377103.5478 385896.4475,377103.3994 385896.5975,377103.3004 385896.6475,377103.3004 385896.6975,377103.1025 385896.7974,377102.8964 385896.8974,377102.6985 385896.9474,377102.2038 385897.0474,377101.9482 385897.0474,377101.4535 385896.9474,377101.2969 385896.8974,377100.1013 385896.2976,377091.2461 385892.1488,377083.5535 385888.3998,377083.3968 385888.2999,377083.1 385888.0999,377082.8032 385887.8,377082.696 385887.75,377082.2013 385887.2002,377082.0529 385887.0002,377081.6984 385886.3005,377078.3509 385885.2008,377076.6029 385885.6007,377076.2978 385885.5507,377075.5475 385885.4507,377072.4474 385883.8012,377062.5533 385878.5527,377062.2483 385878.2528,377061.9514 385877.9528,377061.3495 385877.303,377060.6487 385876.3533,377060.5993 385876.3033,377060.2035 385875.5035,377059.9974 385874.9537,377055.4461 385873.4041,377055.3966 385873.4541,377055.2977 385873.6041,377055.1493 385873.754,377055.0503 385873.804,377054.8524 385873.954,377054.6463 385874.054,377054.399 385874.1539,377054.2506 385874.2039,377054.2011 385874.2039,377053.9537 385874.2539,377053.154 385874.2539,377051.7523 385873.6041,377042.3035 385869.2453,377042.1468 385869.1454,377041.446 385868.5955,377041.347 385868.5455,377041.1986 385868.3456,377041.0007 385868.1456,377040.8523 385867.9457,377040.6462 385867.4458,377040.5967 385867.3459,377040.3494 385866.2962,377035.5508 385864.7966,377035.4023 385864.9466,377035.2539 385865.0465,377034.9489 385865.1965,377034.7015 385865.2465,377034.5036 385865.2965,377034.0996 385865.2965,377034.0502 385865.2465,377033.4483 385865.1465,377033.2009 385865.0465,377032.9536 385864.8966,377026.4482 385861.5975,377020.3963 385858.0485,377019.8522 385857.3987,377009.6035 385847.7515,377007.7979 385845.952,377006.0994 385844.3025,376999.998 385839.3039,376989.5021 385834.1954,376982.601 385830.7963,376980.0038 385829.4967,376975.6009 385827.9971,376971.701 385826.0977,376966.8034 385823.6984,376959.4983 385818.2999,376951.4017 385811.5019,376942.2991 385804.104,376937.0965 385799.6952,376933.4027 385792.2974,376919.147 385812.4516,376901.552 385837.9043,376884.7981 385862.1973,376883.0006 385866.996,376867.7308 385902.4358,376847.4974 385950.2022,376836.6469 385970.4264,376814.278 385964.4081,376778.8902 385953.5612,376778.4203 385962.0488,376778.7418 385975.4349,376779.6983 385986.9017,376772.4838 385988.7911,376778.5687 385999.2781,376782.4604 386001.3075,376788.6524 386031.249,376793.7973 386056.1518,376788.5535 386066.9487,376742.2162 386101.9987,376736.9311 386101.9987,376730.6731 386105.8276,376716.302 386096.8202,376716.302 386091.5217,376718.3797 386090.422,376720.2431 386088.9924,376722.2219 386086.8131,376723.739 386084.2938,376724.7367 386081.5346,376725.1407 386078.6254,376724.6377 386074.5566,376723.5824 386071.8173,376722.0241 386069.3281,376720.8533 386067.9984,376719.5505 386066.8088,376717.5965 386065.5092,376716.4339 386064.9293,376718.0664 386045.8448,376717.5635 386043.1356,376716.6235 386040.5563,376714.7684 386037.4372,376711.9074 386034.478,376708.4032 386032.2787,376703.3655 386030.8991,376687.6999 386025.1007,376684.8471 386021.1019,376682.7034 386018.3027,376680.5514 386015.4035,376678.251 386012.7543,376677.5997 386012.1544,376676.7669 386011.5046,376674.9035 386010.155,376671.9023 386015.8034,376671.5478 386016.5032,376671.1026 386017.203,376670.3028 386017.9028,376669.4041 386018.6026,376664.2509 386022.5015,376671.4489 386033.9982,376669.2474 386035.3978,376667.3511 386035.2978,376660.854 386035.0479,376655.7503 386035.0979,376653.7467 386035.1478,376646.5982 386035.6977,376643.9516 386035.8976,376637.9986 386036.5474,376634.4038 386037.0473,376631.0481 386037.6471,376625.4991 386038.7968,376623.0503 386039.4966,376618.6475 386040.8962,376617.1964 386042.7957,376615.3989 386054.7522,376614.3518 386055.402,376612.3483 386054.7822,376612.2081 386054.5423,376606.8488 386053.1027,376602.6108 386055.3821,376597.6473 386057.5014,376586.7391 386050.7134,376531.5054 386019.1924,376521.2321 386011.6446,376512.4264 386003.257,376501.5264 385996.329,376502.5735 385993.1899,376495.021 385988.9911,376488.5239 386004.2967,376588.1655 386062.5,376609.6686 386074.0867,376613.1975 386075.7462,376613.6015 386078.9953,376615.3 386081.3546,376552.753 386171.3988,376589.5012 386199.5708,376594.1019 386194.9021,376610.7982 386177.6271,376616.7346 386172.5285,376623.8089 386168.2897,376628.6982 386165.7005,376630.9986 386164.9007,376632.6971 386164.9007,376636.8526 386165.5505,376647.0023 386169.2495,376658.3227 386174.228,376670.0472 386180.2463,376675.8022 386182.7456,376690.5527 386173.6482,376698.402 386169.6493,376702.104 386167.0001,376690.396 386157.7028,376698.0474 386148.2955,376717.2007 386117.1044,376723.302 386120.6034,376726.3527 386122.5028,376727.4493 386123.2026,376734.2515 386127.7513,376738.003 386130.3506,376743.5519 386134.4994,376744.0466 386134.8993,376781.7513 386170.749,376790.6477 386177.797,376789.9963 386178.5468,376781.4462 386190.4034,376771.7912 386203.7096,376768.3531 386208.4482,376757.3459 386223.6039,376744.3022 386241.4488,376741.5484 386246.2474,376738.2998 386244.9178,376734.6967 386247.847,376730.6484 386249.5465,376722.5353 386252.0158,376710.6541 386255.4148,376686.4961 386261.9029,376667.5489 386285.976,376629.6382 386276.9486,376623.4461 386280.6276,376612.0432 386325.3648,376577.1996 386319.1466,376570.4469 386328.3539,376567.2972 386357.4456,376565.5493 386373.9509,376546.6516 386376.7001,376561.501 386475.3518,376564.5104 386484.7791,376573.481 386490.3275,376580.8604 386500.0048,376592.3787 386516.59,376636.1023 386494.6463,376648.8986 386486.7986,376649.55 386486.3987,376655.9481 386482.6997,376661.8021 386479.3507,376663.3522 386478.6509,376663.7974 386479.7506,376672.1002 386476.1016,376681.2028 386472.2027,376681.9036 386471.9028,376684.2534 386470.8531,376691.4514 386467.754,376695.7471 386466.1045,376699.2017 386464.7549,376705.9462 386462.3456,376710.6541 386460.946,376715.4527 386459.8963,376721.348 386458.9965,376722.9475 386460.2462,376726.3032 386459.3964,376727.7461 386459.0465,376727.9028 386458.9965,376734.3504 386457.447,376742.4965 386455.2476,376750.1974 386453.0482,376750.5025 386452.9482,376760.6522 386450.1491,376766.1516 386450.399,376800.8468 386437.6526,376787.696 386411.2002,376820.198 386393.1954,376829.754 386409.2508,376857.3008 386396.7043,376853.3019 386386.8972,376847.9509 386381.1488,376830.9001 386362.3042,376842.2535 386351.1474,376858.1005 386339.9506,376871.0535 386336.3016,376887.3046 386321.4659,376897.1986 386312.0486,376901.8983 386321.6958,376904.5038 386319.9463,376911.8501 386314.9478,376921.4968 386308.4496,376931.3497 386301.7015,376931.5476 386301.5516,376941.3015 386294.8535,376951.2038 386288.1954,376959.2015 386282.747,376960.1497 386282.0972,376971.6021 386274.2994,376981.2983 386267.6513,376985.4538 386264.8521,376987.2017 386263.6524,377006.9981 386248.5468,377011.0464 386248.5967,377022.1031 386248.5967,377022.3999 386248.6467,377024.5024 386248.6467,377025.8463 386248.5967,377027.3964 386248.4468,377030.9005 386247.9969,377036.9524 386246.9972,377038.9312 386241.8387,377040.9513 386236.6002,377041.2976 386234.3508,377041.6521 386232.6013,377041.9984 386231.2517,377042.5013 386229.5022,377042.8971 386228.4525,377046.5002 386215.7961,377050.2022 386202.8998,377052.5026 386195.1021,377053.3024 386192.5028,377053.4013 386192.1529,377053.5497 386191.653,377053.6487 386191.1532,377053.7476 386190.1535,377053.7476 386189.6036,377053.6981 386189.1038,377053.6487 386188.6539,377053.5992 386188.354,377053.5497 386188.0041,377053.4508 386187.7042,377053.3024 386187.4043,377053.154 386187.1043,377052.9973 386186.8044,377052.75 386186.5545,377052.7005 386186.4545,377051.2988 386185.1049,377058.2989 386178.9467,377062.0999 386175.5976)))",,2,2,Ashley Heath,20.662740623474
"MULTIPOLYGON (((376649.2037 397545.653,376636.6052 397578.0137,376636.6052 397578.0137,376724.1925 397612.064,376748.903 397583.6421,376758.0962 397573.465,376758.1127 397573.445,376768.4025 397561.3485,376773.4732 397555.8601,376775.9797 397553.1508,376781.7018 397546.9526,376784.3979 397544.2534,376786.6488 397542.304,376788.9987 397540.4545,376790.2767 397539.5747,376790.3014 397539.5447,376771.2636 397514.8718,376741.1608 397493.128,376751.8712 397452.9295,376745.4813 397424.0678,376743.1891 397433.6351,376741.1526 397439.7533,376739.6025 397443.1024,376737.7969 397446.3514,376736.8322 397447.891,376735.851 397449.4505,376726.1961 397441.9527,376715.1724 397433.2852,376703.4479 397424.3477,376679.8011 397405.893,376650.2508 397442.0926,376646.8291 397439.3734,376643.3992 397436.6542,376637.5534 397437.504,376635.1294 397440.693,376630.306 397446.9912,376605.4636 397393.9964,376556.4467 397371.8927,376500.0011 397419.899,376459.6085 397450.3003,376464.3989 397452.7996,376468.2493 397454.0492,376479.9491 397456.0986,376487.7489 397457.8481,376491.7477 397458.9478,376494.8479 397460.5474,376496.4474 397461.897,376500.0011 397463.4965,376507.5041 397466.7956,376505.954 397474.7533,376513.8033 397472.254,376516.7468 397473.4537,376546.0497 397485.3003,376546.6516 397486.4499,376549.8507 397492.5982,376565.6482 397499.9961,376570.1995 397502.2454,376572.0464 397503.2951,376583.5483 397511.5528,376601.102 397523.6993,376608.201 397527.7481,376611.8041 397529.5976,376614.5002 397530.7972,376649.2037 397545.653)))",,3,3,Barton Upon Irwell,3.53631743927
"MULTIPOLYGON (((376098.3017 387155.6971,376109.4572 387163.4049,376115.2041 387153.5477,376127.1017 387138.8519,376148.9016 387175.1515,376175.0467 387177.3009,376214.252 387179.1504,376212.9493 387186.5483,376261.9497 387186.6982,376259.3277 387255.8384,376319.2034 387258.2477,376324.0515 387259.2474,376331.6039 387262.8964,376340.4014 387260.2672,376347.5499 387256.4982,376350.4521 387253.749,376385.1968 387231.2954,376414.7636 387212.2309,376443.4482 387197.795,376456.4012 387194.9459,376475.8678 387195.2558,376489.299 387194.9958,376507.1495 387195.7956,376526.847 387195.8456,376553.3713 387194.1261,376571.5517 387194.446,376617.3035 387191.2969,376619.8513 387159.6959,376623.3966 387127.895,376627.2471 387106.4512,376660.1531 387109.0005,376662.9977 387094.9545,376662.0 387094.5546,376661.0518 387093.6548,376659.4028 387094.4546,376657.3993 387095.2044,376655.5029 387095.8042,376653.4994 387096.0542,376649.5994 387096.1041,376646.5982 387095.9542,376610.5014 387096.3541,376610.4024 387096.8039,376593.7804 387096.9939,376588.5365 387096.2241,376553.3384 387097.6637,376546.8495 387070.7514,376571.5022 387066.8225,376575.633 387063.1936,376580.0524 387058.125,376581.2396 387057.0953,376583.169 387055.8657,376586.1207 387054.796,376588.0088 387054.5161,376590.5731 387053.8762,376593.4011 387052.1067,376595.0501 387050.2173,376596.93 387046.3484,376598.3976 387041.4698,376599.5025 387038.4706,376600.6733 387036.4012,376605.8676 387028.1236,376626.2329 387027.7337,376636.4733 387026.714,376648.742 387024.2447,376673.8482 387025.8043,376678.3005 386963.902,376678.4984 386964.5518,376690.1487 386919.9546,376690.2476 386919.8046,376690.3465 386919.5547,376690.4537 386919.3547,376690.5032 386919.1548,376690.5032 386919.0048,376692.449 386910.2473,376692.7541 386908.6978,376693.0509 386907.1482,376693.4467 386905.5487,376693.8507 386904.0491,376694.4031 386901.5998,376694.9473 386899.2005,376697.0992 386890.603,376698.4514 386885.7544,376697.5527 386885.5544,376698.402 386882.8952,376698.7977 386881.5956,376699.2017 386880.2459,376699.548 386879.1962,376699.9026 386878.0966,376700.4962 386876.3471,376701.0486 386874.5976,376702.9532 386869.1491,376703.2995 386867.9994,376703.7035 386866.8998,376704.1488 386865.6501,376704.6022 386864.4005,376705.0475 386863.3008,376705.402 386862.1511,376706.8037 386858.5022,376707.4963 386856.6027,376708.1476 386854.6533,376708.5022 386853.1537,376708.799 386851.6541,376709.1041 386850.3045,376709.3514 386848.9049,376709.5493 386847.4453,376709.6977 386845.9957,376709.7966 386844.7461,376709.8461 386843.3965,376709.9038 386842.1968,376709.9533 386840.9972,376710.0028 386839.3476,376710.0028 386837.6981,376709.9533 386833.8992,376709.7472 386829.2505,376709.6977 386827.451,376705.3525 386803.5479,376701.3537 386783.0038,376700.1994 386776.9455,376697.2477 386762.5496,376693.5539 386746.8041,376691.9461 386738.4465,376690.1981 386730.3488,376687.5515 386731.5985,376681.7964 386734.3977,376682.052 386734.8476,376676.0496 386737.5468,376675.9012 386737.1969,376664.5972 386742.1455,376664.8033 386742.6953,376662.099 386743.745,376662.2474 386744.8047,376659.8975 386745.9044,376655.4534 386747.304,376638.6005 386755.5016,376629.2506 386760.0503,376627.5027 386758.1009,376625.8537 386757.9509,376621.9538 386754.7519,376619.7029 386752.9024,376617.4025 386751.0529,376615.2505 386749.2534,376613.0986 386747.5539,376609.5532 386744.8547,376605.9501 386742.2954,376599.8487 386737.6468,376577.0017 386720.8016,376570.8014 386716.2529,376565.5493 386712.204,376565.4009 386712.1541,376565.3019 386712.1041,376565.2525 386712.1041,376565.1041 386712.0041,376564.9969 386711.9541,376562.6965 386710.2046,376598.6037 386658.6994,376609.7511 386642.8039,376580.3986 386621.45,376564.9474 386643.3537,376550.3372 386632.7668,376535.3476 386621.8999,376538.8518 386616.8513,376553.9485 386595.3475,376518.5524 386570.1047,376508.6996 386573.1039,376525.1567 386545.2918,376540.5997 386526.0073,376547.1463 386515.5903,376543.6587 386500.6346,376538.827 386494.1764,376542.4466 386489.9577,376551.0132 386487.9582,376559.5469 386486.8585,376564.5104 386484.7791,376561.501 386475.3518,376546.6516 386376.7001,376538.7034 386322.8955,376527.152 386321.4459,376527.6962 386316.7972,376461.9831 386305.9403,376436.5965 386298.9523,376417.097 386292.8041,376361.5005 386283.0469,376296.348 386273.0797,376293.1737 386281.3974,376284.0464 386279.4979,376251.9979 386276.9486,376249.2523 386303.551,376226.8504 386301.8015,376215.0517 386359.345,376213.5017 386366.553,376213.1471 386368.3025,376212.5535 386370.4519,376212.0011 386372.5513,376208.6536 386385.6975,376208.5464 386386.0974,376208.0517 386388.7466,376206.6006 386395.1048,376206.3532 386396.3045,376205.8503 386399.0537,376205.3473 386401.6529,376204.5475 386407.3513,376203.352 386415.9488,376203.9539 386416.3987,376196.3519 386426.6458,376201.4969 386429.195,376201.1011 386431.5544,376199.147 386445.4504,376198.5039 386450.399,376197.9515 386454.4478,376197.3001 386459.6963,376192.6004 386460.746,376191.8007 386461.4458,376185.9467 386460.2961,376172.804 386459.4464,376172.8453 386464.5549,376165.6473 386464.5549,376165.6473 386462.5955,376161.5001 386462.6955,376161.698 386458.4967,376157.0972 386458.4967,376151.1525 386458.4967,376145.2985 386458.0968,376139.7496 386457.7969,376139.7001 386453.4481,376126.6977 386453.3981,376113.9508 386453.3481,376113.5963 386459.4464,376113.3984 386471.7029,376112.9532 386479.6006,376112.9202 386480.9602,376101.7481 386480.7503,376088.2509 386481.1502,376070.252 386481.6,376067.9021 386481.65,376055.6994 386481.9499,376043.3483 386482.1499,376038.5992 386472.4027,376036.9007 386468.6538,376030.4036 386471.9528,376019.5036 386477.5512,376008.6037 386483.0496,376000.0041 386487.4484,375988.2466 386493.3467,375975.2524 386500.0048,375971.0969 386502.0542,375952.8011 386461.2959,375942.6514 386464.295,375932.947 386429.405,375907.0987 386433.5538,375904.1964 386419.2979,375899.1999 386372.9511,375857.1007 386376.6501,375861.3963 386434.1036,375807.251 386444.4007,375800.7539 386439.752,375796.5984 386361.0546,375792.0966 386314.248,375787.1661 386302.6813,375782.7962 386304.0009,375738.6521 386304.2508,375748.3978 386315.5476,375751.704 386321.4959,375754.9526 386336.0017,375757.253 386359.2951,375757.3024 386385.1976,375763.8985 386432.0542,375766.4462 386471.8029,375777.2472 386511.1516,375825.0521 386509.752,375838.8461 386510.1019,375839.448 386513.6509,375845.5988 386511.2016,375848.6989 386502.854,375863.7297 386499.395,375878.1503 386495.616,375881.234 386513.061,375876.996 386514.5006,375879.5025 386523.9979,375888.3 386567.4455,375878.1008 386571.9042,375860.8027 386582.5512,375842.3997 386592.7482,375844.898 386598.4466,375849.6471 386609.9033,375851.5023 386614.2021,375843.249 386618.101,375836.0015 386621.3001,375825.7529 386625.7988,375816.7988 386629.7476,375816.2464 386628.598,375815.7022 386626.2986,375815.5538 386625.6488,375815.3971 386624.4991,375815.0014 386620.2004,375813.4018 386615.2518,375811.7034 386610.6531,375795.6502 386617.0513,375780.3969 386623.1495,375772.1518 386622.2998,375762.6535 386622.5997,375762.3814 386624.6791,375761.9444 386625.6688,375760.5428 386627.3683,375756.4037 386633.6965,375752.6522 386637.4954,375750.3024 386639.8547,375750.3024 386639.8547,375750.3024 386639.8547,375749.346 386640.7045,375750.3024 386639.8547,375750.3024 386639.8547,375749.346 386640.7045,375748.3483 386641.5043,375746.7488 386642.6539,375745.0998 386643.6537,375743.7476 386644.3035,375742.3954 386644.7933,375741.1998 386645.2532,375740.3011 386645.5531,375738.0502 386646.2529,375734.7522 386647.4526,375733.2021 386648.8522,375727.2492 386648.1524,375722.5495 386647.7025,375713.447 386647.0027,375713.1996 386647.0027,375706.348 386646.7028,375703.8002 386646.7528,375699.9498 386646.9527,375693.8979 386647.3926,375696.8497 386657.4997,375696.8002 386657.4997,375696.7012 386657.7496,375696.6023 386657.9496,375696.5528 386658.1495,375696.5528 386658.3994,375696.5034 386658.6494,375696.5528 386658.8493,375698.4987 386666.2972,375703.0994 386684.252,375707.6507 386702.4468,375709.2008 386709.9047,375710.1489 386715.4531,375710.8003 386719.8019,375710.9982 386721.8513,375711.0971 386722.901,375711.2538 386725.2503,375711.2538 386730.8987,375711.1961 386733.8978,375711.0971 386736.2472,375710.7014 386743.2951,375710.3468 386747.154,375710.1489 386749.0535,375709.1513 386755.6016,375708.4505 386759.3505,375707.4528 386764.1492,375706.1501 386769.5976,375704.0971 386777.6953,375687.104 386820.753,375688.9014 386825.8015,375692.8508 386834.3491,375697.0475 386843.1965,375702.547 386854.9532,375704.8968 386859.9018,375708.302 386867.1497,375713.851 386879.0963,375718.1466 386888.9035,375719.1031 386890.8029,375721.4034 386895.4516,375727.1997 386907.3982,375733.7463 386921.3042,375739.254 386932.9009,375743.5497 386941.7983,375745.1987 386945.0974,375745.1987 386945.1973,375745.2482 386945.3473,375745.2482 386945.6472,375750.2034 386943.5978,375750.4508 386943.5478,375750.6487 386943.4478,375750.7476 386943.3979,375760.0975 386936.3999,375772.3002 386927.5524,375774.6995 386925.8029,375782.2025 386937.0997,375786.6961 386944.4476,375793.4488 386955.7043,375799.9459 386966.6512,375800.0036 386966.7012,375803.2522 386972.1496,375805.0001 386974.8988,375808.7022 386983.1965,375809.8977 386985.9957,375812.297 386991.6041,375814.6963 386997.0025,375815.999 387000.0017,375819.5032 387007.8994,375822.7023 387015.5472,375824.2029 387018.6463,375826.0992 387023.195,375826.3961 387023.7549,375830.601 387021.3955,375832.0192 387020.6358,375836.9992 387028.5035,375840.9981 387034.8517,375851.0983 387050.9471,375858.8486 387063.2536,375866.3516 387075.1002,375876.6992 387070.8014,375882.6026 387084.5475,375874.5967 387087.0967,375879.0985 387097.9036,375879.9972 387100.053,375885.1504 387112.2495,375885.2493 387112.3995,375892.6534 387127.3952,375899.4968 387140.7514,375906.2 387153.3977,375910.8997 387161.3455,375916.7537 387171.2027,375926.7467 387184.1489,375937.4488 387197.845,375947.7469 387210.6014,375954.953 387218.3991,375951.6962 387221.0484,375946.0979 387225.5471,375937.152 387232.845,375923.4981 387244.7016,375924.603 387245.8513,375926.9528 387248.4006,375927.5959 387249.0004,375929.4016 387250.45,375931.0506 387251.5996,375932.4523 387252.4494,375934.2992 387253.3991,375935.7008 387253.999,375943.2038 387256.9981,375944.6962 387257.5479,375947.6974 387258.5976,375949.198 387259.0475,375953.0484 387259.9972,375957.4513 387260.947,375960.6009 387261.4468,375962.151 387261.6468,375966.0509 387262.0466,375970.0003 387262.1966,375972.6469 387262.1966,375976.349 387261.8967,375980.0015 387261.3968,375982.2524 387260.9969,375988.9969 387259.4974,375992.5505 387258.5476,376000.0041 387256.4483,376017.7969 387251.5497,376029.9501 387248.1006,376034.1469 387246.901,376035.2517 387246.4011,376036.3483 387245.8013,376044.6511 387239.963,376051.5522 387234.2146,376056.3508 387228.7962,376058.0493 387225.997,376065.8986 387212.2509,376071.398 387202.6037,376072.9976 387199.8045,376079.8492 387187.8479,376082.0012 387183.999,376082.702 387181.7496,376082.8999 387181.4997,376084.7963 387178.7505,376085.1013 387178.3006,376085.8516 387177.2009,376086.5525 387175.9513,376090.4524 387169.1532,376096.1002 387159.546,376098.3017 387155.6971)))",,4,4,Bowdon,68.561219218445
